"Oct 21 2015 01: +0" 1.09 45
"Oct 22 2015 01: +0" 1.086 35
"Oct 23 2015 01: +0" 1.105 30
"Oct 24 2015 01: +0" 1.101 15
"Oct 25 2015 01: +0" 1.087 17
"Oct 26 2015 01: +0" 1.12 19
"Oct 27 2015 01: +0" 1.183 14
"Oct 28 2015 01: +0" 1.11 90
"Oct 29 2015 01: +0" 1.03 169
"Oct 30 2015 01: +0" 0.382 1519
"Oct 31 2015 01: +0" 0.255 1604
"Nov 01 2015 01: +0" 0.269 1890
"Nov 02 2015 01: +0" 0.258 845
"Nov 03 2015 01: +0" 0.249 477
"Nov 04 2015 01: +0" 0.227 500
"Nov 05 2015 01: +0" 0.216 473
"Nov 06 2015 01: +0" 0.219 584
"Nov 07 2015 01: +0" 0.222 616
"Nov 08 2015 01: +0" 0.22 477
"Nov 09 2015 01: +0" 0.214 349
"Nov 10 2015 01: +0" 0.212 350
"Nov 11 2015 01: +0" 0.211 311
"Nov 12 2015 01: +0" 0.214 352
"Nov 13 2015 01: +0" 0.215 355
"Nov 14 2015 01: +0" 0.221 435
"Nov 15 2015 01: +0" 0.223 325
"Nov 16 2015 01: +0" 0.226 287
"Nov 17 2015 01: +0" 0.222 214
"Nov 18 2015 01: +0" 0.217 332
"Nov 19 2015 01: +0" 0.22 309
"Nov 20 2015 01: +0" 0.228 251
"Nov 21 2015 01: +0" 0.234 341
"Nov 22 2015 01: +0" 0.224 238
"Nov 23 2015 01: +0" 0.22 228
"Nov 24 2015 01: +0" 0.237 300
"Nov 25 2015 01: +0" 0.237 222
"Nov 26 2015 01: +0" 0.208 240
"Nov 27 2015 01: +0" 0.209 230
"Nov 28 2015 01: +0" 0.21 574
"Nov 29 2015 01: +0" 0.217 252
"Nov 30 2015 01: +0" 0.201 358
"Dec 01 2015 01: +0" 0.214 203
"Dec 02 2015 01: +0" 0.22 274
"Dec 03 2015 01: +0" 0.218 226
"Dec 04 2015 01: +0" 0.234 253
"Dec 05 2015 01: +0" 0.24 282
"Dec 06 2015 01: +0" 0.251 294
"Dec 07 2015 01: +0" 0.252 260
"Dec 08 2015 01: +0" 0.258 251
"Dec 09 2015 01: +0" 0.258 302
"Dec 10 2015 01: +0" 0.278 238
"Dec 11 2015 01: +0" 0.283 233
"Dec 12 2015 01: +0" 0.295 259
"Dec 13 2015 01: +0" 0.299 237
"Dec 14 2015 01: +0" 0.301 175
"Dec 15 2015 01: +0" 0.303 204
"Dec 16 2015 01: +0" 0.297 228
"Dec 17 2015 01: +0" 0.295 242
"Dec 18 2015 01: +0" 0.36 680
"Dec 19 2015 01: +0" 0.356 152
"Dec 20 2015 01: +0" 0.357 166
"Dec 21 2015 01: +0" 0.34 117
"Dec 22 2015 01: +0" 0.318 117
"Dec 23 2015 01: +0" 0.289 143
"Dec 24 2015 01: +0" 0.294 123
"Dec 25 2015 01: +0" 0.298 194
"Dec 26 2015 01: +0" 0.301 189
"Dec 27 2015 01: +0" 0.296 225
"Dec 28 2015 01: +0" 0.298 202
"Dec 29 2015 01: +0" 0.293 225
"Dec 30 2015 01: +0" 0.304 221
"Dec 31 2015 01: +0" 0.304 226
"Jan 01 2016 01: +0" 0.302 201
"Jan 02 2016 01: +0" 0.297 209
"Jan 03 2016 01: +0" 0.304 194
"Jan 04 2016 01: +0" 0.304 214
"Jan 05 2016 01: +0" 0.347 133
"Jan 06 2016 01: +0" 0.351 223
"Jan 07 2016 01: +0" 0.494 528
"Jan 08 2016 01: +0" 0.525 121
"Jan 09 2016 01: +0" 0.534 104
"Jan 10 2016 01: +0" 0.494 168
"Jan 11 2016 01: +0" 0.515 72
"Jan 12 2016 01: +0" 0.481 247
"Jan 13 2016 01: +0" 0.46 86
"Jan 14 2016 01: +0" 0.519 293
"Jan 15 2016 01: +0" 0.555 167
"Jan 16 2016 01: +0" 0.539 207
"Jan 17 2016 01: +0" 0.537 159
"Jan 18 2016 01: +0" 0.569 175
"Jan 19 2016 01: +0" 0.632 106
"Jan 20 2016 01: +0" 0.689 163
"Jan 21 2016 01: +0" 0.655 123
"Jan 22 2016 01: +0" 0.577 100
"Jan 23 2016 01: +0" 0.669 142
"Jan 24 2016 01: +0" 0.605 182
"Jan 25 2016 01: +0" 0.717 124
"Jan 26 2016 01: +0" 0.662 98
"Jan 27 2016 01: +0" 0.62 65
"Jan 28 2016 01: +0" 0.597 84
"Jan 29 2016 01: +0" 0.575 71
"Jan 30 2016 01: +0" 0.527 94
"Jan 31 2016 01: +0" 0.556 82
"Feb 01 2016 01: +0" 0.511 88
"Feb 02 2016 01: +0" 0.55 76
"Feb 03 2016 01: +0" 0.504 66
"Feb 04 2016 01: +0" 0.49 123
"Feb 05 2016 01: +0" 0.521 139
"Feb 06 2016 01: +0" 0.473 202
"Feb 07 2016 01: +0" 0.5 124
"Feb 08 2016 01: +0" 0.504 60
"Feb 09 2016 01: +0" 0.522 109
"Feb 10 2016 01: +0" 0.498 94
"Feb 11 2016 01: +0" 0.495 76
"Feb 12 2016 01: +0" 0.511 93
"Feb 13 2016 01: +0" 0.566 103
"Feb 14 2016 01: +0" 0.539 82
"Feb 15 2016 01: +0" 0.51 144
"Feb 16 2016 01: +0" 0.54 69
"Feb 17 2016 01: +0" 0.556 67
"Feb 18 2016 01: +0" 0.447 232
"Feb 19 2016 01: +0" 0.565 169
"Feb 20 2016 01: +0" 0.629 98
"Feb 21 2016 01: +0" 0.824 294
"Feb 22 2016 01: +0" 0.731 196
"Feb 23 2016 01: +0" 0.781 115
"Feb 24 2016 01: +0" 0.679 56
"Feb 25 2016 01: +0" 0.629 93
"Feb 26 2016 01: +0" 0.592 97
"Feb 27 2016 01: +0" 0.609 257
"Feb 28 2016 01: +0" 0.636 66
"Feb 29 2016 01: +0" 0.582 56
"Mar 01 2016 01: +0" 0.548 72
"Mar 02 2016 01: +0" 0.546 85
"Mar 03 2016 01: +0" 0.552 97
"Mar 04 2016 01: +0" 0.571 77
"Mar 05 2016 01: +0" 0.592 104
"Mar 06 2016 01: +0" 0.543 90
"Mar 07 2016 01: +0" 0.487 86
"Mar 08 2016 01: +0" 0.476 83
"Mar 09 2016 01: +0" 0.512 72
"Mar 10 2016 01: +0" 0.547 62
"Mar 11 2016 01: +0" 0.562 76
"Mar 12 2016 01: +0" 0.592 94
"Mar 13 2016 01: +0" 0.597 67
"Mar 14 2016 01: +0" 0.609 48
"Mar 15 2016 01: +0" 0.58 50
"Mar 16 2016 01: +0" 0.601 47
"Mar 17 2016 01: +0" 0.549 82
"Mar 18 2016 01: +0" 0.464 141
"Mar 19 2016 01: +0" 0.477 103
"Mar 20 2016 01: +0" 0.501 56
"Mar 21 2016 01: +0" 0.506 58
"Mar 22 2016 01: +0" 0.497 52
"Mar 23 2016 01: +0" 0.432 156
"Mar 24 2016 01: +0" 0.451 87
"Mar 25 2016 01: +0" 0.457 67
"Mar 26 2016 01: +0" 0.47 66
"Mar 27 2016 01: +0" 0.48 71
"Mar 28 2016 01: +0" 0.458 64
"Mar 29 2016 01: +0" 0.417 71
"Mar 30 2016 01: +0" 0.429 75
"Mar 31 2016 01: +0" 0.438 69
"Apr 01 2016 01: +0" 0.433 84
"Apr 02 2016 01: +0" 0.453 69
"Apr 03 2016 01: +0" 0.375 121
"Apr 04 2016 01: +0" 0.366 74
"Apr 05 2016 01: +0" 0.395 49
"Apr 06 2016 01: +0" 0.378 49
"Apr 07 2016 01: +0" 0.411 48
"Apr 08 2016 01: +0" 0.423 59
"Apr 09 2016 01: +0" 0.418 47
"Apr 10 2016 01: +0" 0.444 53
"Apr 11 2016 01: +0" 0.45 38
