Oct 21 2015 01: +0,1.162,297
Oct 22 2015 01: +0,1.128,161
Oct 23 2015 01: +0,1.131,163
Oct 24 2015 01: +0,1.105,155
Oct 25 2015 01: +0,1.125,117
Oct 26 2015 01: +0,1.108,110
Oct 27 2015 01: +0,1.119,112
Oct 28 2015 01: +0,1.127,255
Oct 29 2015 01: +0,1.003,300
Oct 30 2015 01: +0,0.807,621
Oct 31 2015 01: +0,0.374,2716
Nov 01 2015 01: +0,0.283,9267
Nov 02 2015 01: +0,0.281,2506
Nov 03 2015 01: +0,0.27,2083
Nov 04 2015 01: +0,0.253,1939
Nov 05 2015 01: +0,0.241,1594
Nov 06 2015 01: +0,0.236,1680
Nov 07 2015 01: +0,0.233,2267
Nov 08 2015 01: +0,0.227,2351
Nov 09 2015 01: +0,0.217,1399
Nov 10 2015 01: +0,0.224,1251
Nov 11 2015 01: +0,0.225,1264
Nov 12 2015 01: +0,0.237,1004
Nov 13 2015 01: +0,0.24,1283
Nov 14 2015 01: +0,0.245,1218
Nov 15 2015 01: +0,0.255,1121
Nov 16 2015 01: +0,0.251,841
Nov 17 2015 01: +0,0.242,817
Nov 18 2015 01: +0,0.253,906
Nov 19 2015 01: +0,0.247,880
Nov 20 2015 01: +0,0.253,917
Nov 21 2015 01: +0,0.259,957
Nov 22 2015 01: +0,0.251,796
Nov 23 2015 01: +0,0.248,623
Nov 24 2015 01: +0,0.256,916
Nov 25 2015 01: +0,0.245,976
Nov 26 2015 01: +0,0.234,697
Nov 27 2015 01: +0,0.223,1024
Nov 28 2015 01: +0,0.244,794
Nov 29 2015 01: +0,0.244,818
Nov 30 2015 01: +0,0.226,736
Dec 01 2015 01: +0,0.23,585
Dec 02 2015 01: +0,0.238,588
Dec 03 2015 01: +0,0.252,589
Dec 04 2015 01: +0,0.258,764
Dec 05 2015 01: +0,0.266,893
Dec 06 2015 01: +0,0.267,813
Dec 07 2015 01: +0,0.262,857
Dec 08 2015 01: +0,0.263,736
Dec 09 2015 01: +0,0.27,834
Dec 10 2015 01: +0,0.297,745
Dec 11 2015 01: +0,0.318,585
Dec 12 2015 01: +0,0.333,900
Dec 13 2015 01: +0,0.345,840
Dec 14 2015 01: +0,0.337,685
Dec 15 2015 01: +0,0.331,972
Dec 16 2015 01: +0,0.354,842
Dec 17 2015 01: +0,0.365,518
Dec 18 2015 01: +0,0.383,456
Dec 19 2015 01: +0,0.404,525
Dec 20 2015 01: +0,0.407,403
Dec 21 2015 01: +0,0.388,404
Dec 22 2015 01: +0,0.392,477
Dec 23 2015 01: +0,0.346,420
Dec 24 2015 01: +0,0.369,360
Dec 25 2015 01: +0,0.391,417
Dec 26 2015 01: +0,0.387,500
Dec 27 2015 01: +0,0.385,550
Dec 28 2015 01: +0,0.396,540
Dec 29 2015 01: +0,0.398,658
Dec 30 2015 01: +0,0.418,634
Dec 31 2015 01: +0,0.436,375
Jan 01 2016 01: +0,0.446,621
