"Oct 21 2015 01: +0" 1.153 322
"Oct 22 2015 01: +0" 1.128 198
"Oct 23 2015 01: +0" 1.126 228
"Oct 24 2015 01: +0" 1.109 179
"Oct 25 2015 01: +0" 1.112 165
"Oct 26 2015 01: +0" 1.112 169
"Oct 27 2015 01: +0" 1.113 265
"Oct 28 2015 01: +0" 1.118 275
"Oct 29 2015 01: +0" 0.895 460
"Oct 30 2015 01: +0" 0.919 455
"Oct 31 2015 01: +0" 0.873 986
"Nov 01 2015 01: +0" 0.274 13858
"Nov 02 2015 01: +0" 0.26 4986
"Nov 03 2015 01: +0" 0.252 3129
"Nov 04 2015 01: +0" 0.235 2537
"Nov 05 2015 01: +0" 0.232 2392
"Nov 06 2015 01: +0" 0.231 2519
"Nov 07 2015 01: +0" 0.235 2922
"Nov 08 2015 01: +0" 0.23 2774
"Nov 09 2015 01: +0" 0.228 1834
"Nov 10 2015 01: +0" 0.228 1690
"Nov 11 2015 01: +0" 0.236 1563
"Nov 12 2015 01: +0" 0.239 1364
"Nov 13 2015 01: +0" 0.24 1494
"Nov 14 2015 01: +0" 0.251 1760
"Nov 15 2015 01: +0" 0.237 1769
"Nov 16 2015 01: +0" 0.242 1285
"Nov 17 2015 01: +0" 0.242 1155
"Nov 18 2015 01: +0" 0.245 1160
"Nov 19 2015 01: +0" 0.245 1153
"Nov 20 2015 01: +0" 0.249 1336
"Nov 21 2015 01: +0" 0.255 1497
"Nov 22 2015 01: +0" 0.241 1021
"Nov 23 2015 01: +0" 0.237 834
"Nov 24 2015 01: +0" 0.245 1200
"Nov 25 2015 01: +0" 0.24 1090
"Nov 26 2015 01: +0" 0.217 1120
"Nov 27 2015 01: +0" 0.211 1375
"Nov 28 2015 01: +0" 0.22 1355
"Nov 29 2015 01: +0" 0.222 1222
"Nov 30 2015 01: +0" 0.213 1225
"Dec 01 2015 01: +0" 0.215 833
"Dec 02 2015 01: +0" 0.223 1051
"Dec 03 2015 01: +0" 0.23 988
"Dec 04 2015 01: +0" 0.246 979
"Dec 05 2015 01: +0" 0.258 1167
"Dec 06 2015 01: +0" 0.262 1168
"Dec 07 2015 01: +0" 0.263 799
"Dec 08 2015 01: +0" 0.267 829
"Dec 09 2015 01: +0" 0.271 905
"Dec 10 2015 01: +0" 0.296 780
"Dec 11 2015 01: +0" 0.304 897
"Dec 12 2015 01: +0" 0.308 1196
"Dec 13 2015 01: +0" 0.311 1078
"Dec 14 2015 01: +0" 0.307 789
"Dec 15 2015 01: +0" 0.308 787
"Dec 16 2015 01: +0" 0.313 770
"Dec 17 2015 01: +0" 0.319 771
"Dec 18 2015 01: +0" 0.319 816
"Dec 19 2015 01: +0" 0.322 991
"Dec 20 2015 01: +0" 0.329 612
"Dec 21 2015 01: +0" 0.318 584
"Dec 22 2015 01: +0" 0.318 625
"Dec 23 2015 01: +0" 0.3 709
"Dec 24 2015 01: +0" 0.305 574
"Dec 25 2015 01: +0" 0.298 729
"Dec 26 2015 01: +0" 0.315 692
"Dec 27 2015 01: +0" 0.318 737
"Dec 28 2015 01: +0" 0.313 920
"Dec 29 2015 01: +0" 0.322 693
"Dec 30 2015 01: +0" 0.314 651
"Dec 31 2015 01: +0" 0.318 660
"Jan 01 2016 01: +0" 0.323 686
"Jan 02 2016 01: +0" 0.319 988
"Jan 03 2016 01: +0" 0.315 741
"Jan 04 2016 01: +0" 0.307 629
"Jan 05 2016 01: +0" 0.324 632
"Jan 06 2016 01: +0" 0.323 533
"Jan 07 2016 01: +0" 0.332 1106
"Jan 08 2016 01: +0" 0.344 1062
"Jan 09 2016 01: +0" 0.373 875
"Jan 10 2016 01: +0" 0.412 501
"Jan 11 2016 01: +0" 0.375 637
"Jan 12 2016 01: +0" 0.41 578
"Jan 13 2016 01: +0" 0.397 442
"Jan 14 2016 01: +0" 0.404 680
"Jan 15 2016 01: +0" 0.4 669
"Jan 16 2016 01: +0" 0.418 621
"Jan 17 2016 01: +0" 0.421 698
"Jan 18 2016 01: +0" 0.439 425
"Jan 19 2016 01: +0" 0.45 327
"Jan 20 2016 01: +0" 0.448 493
"Jan 21 2016 01: +0" 0.449 497
"Jan 22 2016 01: +0" 0.475 376
"Jan 23 2016 01: +0" 0.486 374
"Jan 24 2016 01: +0" 0.462 437
"Jan 25 2016 01: +0" 0.446 401
"Jan 26 2016 01: +0" 0.443 482
"Jan 27 2016 01: +0" 0.431 536
"Jan 28 2016 01: +0" 0.433 414
"Jan 29 2016 01: +0" 0.413 666
"Jan 30 2016 01: +0" 0.422 634
"Jan 31 2016 01: +0" 0.416 604
"Feb 01 2016 01: +0" 0.417 586
"Feb 02 2016 01: +0" 0.411 527
"Feb 03 2016 01: +0" 0.413 504
"Feb 04 2016 01: +0" 0.412 531
"Feb 05 2016 01: +0" 0.424 527
"Feb 06 2016 01: +0" 0.409 563
"Feb 07 2016 01: +0" 0.404 437
"Feb 08 2016 01: +0" 0.41 363
"Feb 09 2016 01: +0" 0.404 329
"Feb 10 2016 01: +0" 0.415 306
"Feb 11 2016 01: +0" 0.416 369
"Feb 12 2016 01: +0" 0.433 358
"Feb 13 2016 01: +0" 0.459 453
"Feb 14 2016 01: +0" 0.457 344
"Feb 15 2016 01: +0" 0.452 343
"Feb 16 2016 01: +0" 0.453 323
"Feb 17 2016 01: +0" 0.463 326
"Feb 18 2016 01: +0" 0.367 871
"Feb 19 2016 01: +0" 0.426 503
"Feb 20 2016 01: +0" 0.45 559
"Feb 21 2016 01: +0" 0.454 461
"Feb 22 2016 01: +0" 0.439 356
"Feb 23 2016 01: +0" 0.436 437
"Feb 24 2016 01: +0" 0.439 384
"Feb 25 2016 01: +0" 0.43 429
"Feb 26 2016 01: +0" 0.424 509
"Feb 27 2016 01: +0" 0.429 558
"Feb 28 2016 01: +0" 0.425 394
"Feb 29 2016 01: +0" 0.424 445
"Mar 01 2016 01: +0" 0.415 513
"Mar 02 2016 01: +0" 0.426 325
"Mar 03 2016 01: +0" 0.415 479
"Mar 04 2016 01: +0" 0.413 600
"Mar 05 2016 01: +0" 0.427 626
"Mar 06 2016 01: +0" 0.419 562
"Mar 07 2016 01: +0" 0.406 537
"Mar 08 2016 01: +0" 0.404 490
"Mar 09 2016 01: +0" 0.406 407
"Mar 10 2016 01: +0" 0.428 277
"Mar 11 2016 01: +0" 0.435 415
"Mar 12 2016 01: +0" 0.467 348
"Mar 13 2016 01: +0" 0.47 294
"Mar 14 2016 01: +0" 0.492 200
"Mar 15 2016 01: +0" 0.486 231
"Mar 16 2016 01: +0" 0.487 214
"Mar 17 2016 01: +0" 0.483 255
"Mar 18 2016 01: +0" 0.429 387
"Mar 19 2016 01: +0" 0.436 296
"Mar 20 2016 01: +0" 0.451 225
"Mar 21 2016 01: +0" 0.449 201
"Mar 22 2016 01: +0" 0.461 152
"Mar 23 2016 01: +0" 0.453 152
"Mar 24 2016 01: +0" 0.442 216
"Mar 25 2016 01: +0" 0.445 204
"Mar 26 2016 01: +0" 0.436 265
"Mar 27 2016 01: +0" 0.442 229
"Mar 28 2016 01: +0" 0.427 238
"Mar 29 2016 01: +0" 0.432 236
"Mar 30 2016 01: +0" 0.436 259
"Mar 31 2016 01: +0" 0.439 295
"Apr 01 2016 01: +0" 0.45 234
"Apr 02 2016 01: +0" 0.453 261
"Apr 03 2016 01: +0" 0.33 418
