Aug 05 2014 01: +0,0.506,9369
Aug 06 2014 01: +0,0.508,3848
Aug 07 2014 01: +0,0.506,2793
Aug 08 2014 01: +0,0.528,2284
Aug 09 2014 01: +0,0.465,2302
Aug 10 2014 01: +0,0.474,1888
Aug 11 2014 01: +0,0.458,1864
Aug 12 2014 01: +0,0.467,2073
Aug 13 2014 01: +0,0.448,2991
Aug 14 2014 01: +0,0.627,5830
Aug 15 2014 01: +0,1.024,5016
Aug 16 2014 01: +0,1.017,4571
Aug 17 2014 01: +0,0.135,35700
Aug 18 2014 01: +0,0.138,13170
Aug 19 2014 01: +0,0.262,5382
Aug 20 2014 01: +0,0.302,3928
Aug 21 2014 01: +0,0.266,3184
Aug 22 2014 01: +0,0.257,3292
Aug 23 2014 01: +0,0.26,3164
Aug 24 2014 01: +0,0.264,2711
Aug 25 2014 01: +0,0.265,2799
Aug 26 2014 01: +0,0.258,2496
Aug 27 2014 01: +0,0.269,2515
Aug 28 2014 01: +0,0.277,2413
Aug 29 2014 01: +0,0.293,2552
Aug 30 2014 01: +0,0.34,2574
Aug 31 2014 01: +0,0.349,2326
Sep 01 2014 01: +0,0.378,2185
Sep 02 2014 01: +0,0.416,2159
Sep 03 2014 01: +0,0.445,1834
Sep 04 2014 01: +0,0.398,1508
Sep 05 2014 01: +0,0.357,1853
Sep 06 2014 01: +0,0.364,2031
Sep 07 2014 01: +0,0.379,1862
Sep 08 2014 01: +0,0.389,1498
Sep 09 2014 01: +0,0.384,1371
Sep 10 2014 01: +0,0.38,1525
Sep 11 2014 01: +0,0.37,1791
Sep 12 2014 01: +0,0.327,1896
Sep 13 2014 01: +0,0.357,2090
Sep 14 2014 01: +0,0.365,1875
Sep 15 2014 01: +0,0.358,1503
Sep 16 2014 01: +0,0.355,1587
Sep 17 2014 01: +0,0.379,1610
Sep 18 2014 01: +0,0.377,1622
Sep 19 2014 01: +0,0.37,1693
Sep 20 2014 01: +0,0.361,1863
Sep 21 2014 01: +0,0.386,1490
Sep 22 2014 01: +0,0.387,1366
Sep 23 2014 01: +0,0.392,1194
Sep 24 2014 01: +0,0.39,1249
Sep 25 2014 01: +0,0.383,1264
Sep 26 2014 01: +0,0.375,1493
Sep 27 2014 01: +0,0.376,1815
Sep 28 2014 01: +0,0.376,1647
Sep 29 2014 01: +0,0.377,1400
Sep 30 2014 01: +0,0.377,1321
Oct 01 2014 01: +0,0.373,1428
Oct 02 2014 01: +0,0.379,1396
Oct 03 2014 01: +0,0.372,1644
Oct 04 2014 01: +0,0.397,1707
Oct 05 2014 01: +0,0.401,1635
Oct 06 2014 01: +0,0.398,1129
Oct 07 2014 01: +0,0.418,1082
Oct 08 2014 01: +0,0.396,1374
Oct 09 2014 01: +0,0.389,1294
Oct 10 2014 01: +0,0.391,1451
Oct 11 2014 01: +0,0.402,1718
Oct 12 2014 01: +0,0.41,1475
Oct 13 2014 01: +0,0.407,1196
Oct 14 2014 01: +0,0.403,1193
Oct 15 2014 01: +0,0.413,1310
Oct 16 2014 01: +0,0.403,1237
Oct 17 2014 01: +0,0.425,1268
Oct 18 2014 01: +0,0.413,1549
Oct 19 2014 01: +0,0.397,1444
Oct 20 2014 01: +0,0.371,1227
Oct 21 2014 01: +0,0.391,1008
Oct 22 2014 01: +0,0.387,1078
Oct 23 2014 01: +0,0.389,1063
Oct 24 2014 01: +0,0.396,1383
Oct 25 2014 01: +0,0.365,1652
Oct 26 2014 01: +0,0.343,1586
Oct 27 2014 01: +0,0.37,1108
Oct 28 2014 01: +0,0.381,1001
Oct 29 2014 01: +0,0.373,951
Oct 30 2014 01: +0,0.376,1111
Oct 31 2014 01: +0,0.369,1267
Nov 01 2014 01: +0,0.366,1517
Nov 02 2014 01: +0,0.361,1398
Nov 03 2014 01: +0,0.362,966
Nov 04 2014 01: +0,0.352,990
Nov 05 2014 01: +0,0.357,871
Nov 06 2014 01: +0,0.348,905
Nov 07 2014 01: +0,0.347,946
Nov 08 2014 01: +0,0.35,1243
Nov 09 2014 01: +0,0.34,1175
Nov 10 2014 01: +0,0.341,906
Nov 11 2014 01: +0,0.342,1066
Nov 12 2014 01: +0,0.249,1614
Nov 13 2014 01: +0,0.27,1186
Nov 14 2014 01: +0,0.308,1113
Nov 15 2014 01: +0,0.299,1298
Nov 16 2014 01: +0,0.299,1309
Nov 17 2014 01: +0,0.324,997
Nov 18 2014 01: +0,0.323,855
Nov 19 2014 01: +0,0.3,973
Nov 20 2014 01: +0,0.302,989
Nov 21 2014 01: +0,0.235,1633
Nov 22 2014 01: +0,0.223,1333
Nov 23 2014 01: +0,0.226,1232
Nov 24 2014 01: +0,0.252,977
Nov 25 2014 01: +0,0.242,938
Nov 26 2014 01: +0,0.247,1007
Nov 27 2014 01: +0,0.238,1093
Nov 28 2014 01: +0,0.213,1151
Nov 29 2014 01: +0,0.184,950
Nov 30 2014 01: +0,0.159,1696
Dec 01 2014 01: +0,0.182,985
Dec 02 2014 01: +0,0.217,774
Dec 03 2014 01: +0,0.249,696
Dec 04 2014 01: +0,0.265,699
Dec 05 2014 01: +0,0.259,806
Dec 06 2014 01: +0,0.269,965
Dec 07 2014 01: +0,0.274,908
Dec 08 2014 01: +0,0.272,668
Dec 09 2014 01: +0,0.263,674
Dec 10 2014 01: +0,0.255,810
Dec 11 2014 01: +0,0.261,760
Dec 12 2014 01: +0,0.246,829
Dec 13 2014 01: +0,0.241,1017
Dec 14 2014 01: +0,0.23,1064
Dec 15 2014 01: +0,0.229,837
Dec 16 2014 01: +0,0.239,812
Dec 17 2014 01: +0,0.241,732
Dec 18 2014 01: +0,0.238,785
Dec 19 2014 01: +0,0.242,913
Dec 20 2014 01: +0,0.255,824
Dec 21 2014 01: +0,0.244,854
Dec 22 2014 01: +0,0.261,882
Dec 23 2014 01: +0,0.259,894
Dec 24 2014 01: +0,0.271,906
Dec 25 2014 01: +0,0.292,1080
Dec 26 2014 01: +0,0.288,1091
Dec 27 2014 01: +0,0.307,1140
Dec 28 2014 01: +0,0.322,1055
Dec 29 2014 01: +0,0.341,963
Dec 30 2014 01: +0,0.339,1033
Dec 31 2014 01: +0,0.369,885
Jan 01 2015 01: +0,0.364,817
Jan 02 2015 01: +0,0.387,1086
Jan 03 2015 01: +0,0.422,866
Jan 04 2015 01: +0,0.443,877
Jan 05 2015 01: +0,0.441,721
Jan 06 2015 01: +0,0.443,746
Jan 07 2015 01: +0,0.464,836
Jan 08 2015 01: +0,0.468,635
Jan 09 2015 01: +0,0.456,897
Jan 10 2015 01: +0,0.469,1011
Jan 11 2015 01: +0,0.497,914
Jan 12 2015 01: +0,0.495,608
Jan 13 2015 01: +0,0.463,740
Jan 14 2015 01: +0,0.485,721
Jan 15 2015 01: +0,0.469,772
Jan 16 2015 01: +0,0.478,736
Jan 17 2015 01: +0,0.47,891
Jan 18 2015 01: +0,0.471,893
Jan 19 2015 01: +0,0.489,743
Jan 20 2015 01: +0,0.5,706
Jan 21 2015 01: +0,0.523,575
Jan 22 2015 01: +0,0.502,591
Jan 23 2015 01: +0,0.495,708
Jan 24 2015 01: +0,0.509,935
Jan 25 2015 01: +0,0.487,956
Jan 26 2015 01: +0,0.471,774
Jan 27 2015 01: +0,0.471,742
Jan 28 2015 01: +0,0.484,675
Jan 29 2015 01: +0,0.467,759
Jan 30 2015 01: +0,0.472,818
Jan 31 2015 01: +0,0.477,931
Feb 01 2015 01: +0,0.47,933
Feb 02 2015 01: +0,0.482,742
Feb 03 2015 01: +0,0.493,630
Feb 04 2015 01: +0,0.493,665
Feb 05 2015 01: +0,0.494,728
Feb 06 2015 01: +0,0.506,757
Feb 07 2015 01: +0,0.497,1049
Feb 08 2015 01: +0,0.492,840
Feb 09 2015 01: +0,0.501,686
Feb 10 2015 01: +0,0.516,591
Feb 11 2015 01: +0,0.502,569
Feb 12 2015 01: +0,0.52,600
Feb 13 2015 01: +0,0.528,656
Feb 14 2015 01: +0,0.53,783
Feb 15 2015 01: +0,0.549,794
Feb 16 2015 01: +0,0.526,729
Feb 17 2015 01: +0,0.515,643
Feb 18 2015 01: +0,0.545,662
