Aug 05 2014 01: +0,0.549,4106
Aug 06 2014 01: +0,0.526,1915
Aug 07 2014 01: +0,0.524,1439
Aug 08 2014 01: +0,0.492,1235
Aug 09 2014 01: +0,0.539,1265
Aug 10 2014 01: +0,0.523,1099
Aug 11 2014 01: +0,0.488,1110
Aug 12 2014 01: +0,0.494,1308
Aug 13 2014 01: +0,0.508,1887
Aug 14 2014 01: +0,1.062,4691
Aug 15 2014 01: +0,1.487,2741
Aug 16 2014 01: +0,1.252,1631
Aug 17 2014 01: +0,0.116,14182
Aug 18 2014 01: +0,0.096,5704
Aug 19 2014 01: +0,0.218,2363
Aug 20 2014 01: +0,0.211,1600
Aug 21 2014 01: +0,0.197,1441
Aug 22 2014 01: +0,0.188,1466
Aug 23 2014 01: +0,0.188,1373
Aug 24 2014 01: +0,0.182,1250
Aug 25 2014 01: +0,0.187,1355
Aug 26 2014 01: +0,0.181,1251
Aug 27 2014 01: +0,0.19,1164
Aug 28 2014 01: +0,0.192,1147
Aug 29 2014 01: +0,0.202,1131
Aug 30 2014 01: +0,0.22,1198
Aug 31 2014 01: +0,0.242,1229
Sep 01 2014 01: +0,0.276,1147
Sep 02 2014 01: +0,0.356,1223
Sep 03 2014 01: +0,0.343,966
Sep 04 2014 01: +0,0.278,944
Sep 05 2014 01: +0,0.266,902
Sep 06 2014 01: +0,0.25,962
Sep 07 2014 01: +0,0.246,868
Sep 08 2014 01: +0,0.243,717
Sep 09 2014 01: +0,0.249,715
Sep 10 2014 01: +0,0.241,754
Sep 11 2014 01: +0,0.206,869
Sep 12 2014 01: +0,0.197,916
Sep 13 2014 01: +0,0.204,1026
Sep 14 2014 01: +0,0.224,864
Sep 15 2014 01: +0,0.234,626
Sep 16 2014 01: +0,0.229,671
Sep 17 2014 01: +0,0.235,771
Sep 18 2014 01: +0,0.228,730
Sep 19 2014 01: +0,0.215,734
Sep 20 2014 01: +0,0.211,809
Sep 21 2014 01: +0,0.232,778
Sep 22 2014 01: +0,0.219,614
Sep 23 2014 01: +0,0.212,576
Sep 24 2014 01: +0,0.217,614
Sep 25 2014 01: +0,0.216,629
Sep 26 2014 01: +0,0.209,736
Sep 27 2014 01: +0,0.214,849
Sep 28 2014 01: +0,0.217,776
Sep 29 2014 01: +0,0.208,636
Sep 30 2014 01: +0,0.206,604
Oct 01 2014 01: +0,0.207,721
Oct 02 2014 01: +0,0.211,664
Oct 03 2014 01: +0,0.21,690
Oct 04 2014 01: +0,0.223,747
Oct 05 2014 01: +0,0.222,732
Oct 06 2014 01: +0,0.216,549
Oct 07 2014 01: +0,0.214,643
Oct 08 2014 01: +0,0.214,593
Oct 09 2014 01: +0,0.216,611
Oct 10 2014 01: +0,0.221,691
Oct 11 2014 01: +0,0.224,778
Oct 12 2014 01: +0,0.229,699
Oct 13 2014 01: +0,0.228,655
Oct 14 2014 01: +0,0.223,572
Oct 15 2014 01: +0,0.232,581
Oct 16 2014 01: +0,0.226,494
Oct 17 2014 01: +0,0.234,550
Oct 18 2014 01: +0,0.238,682
Oct 19 2014 01: +0,0.23,690
Oct 20 2014 01: +0,0.222,563
Oct 21 2014 01: +0,0.224,575
Oct 22 2014 01: +0,0.234,520
Oct 23 2014 01: +0,0.243,571
Oct 24 2014 01: +0,0.237,714
Oct 25 2014 01: +0,0.225,746
Oct 26 2014 01: +0,0.228,710
Oct 27 2014 01: +0,0.227,554
Oct 28 2014 01: +0,0.228,499
Oct 29 2014 01: +0,0.23,617
Oct 30 2014 01: +0,0.229,554
Oct 31 2014 01: +0,0.231,597
Nov 01 2014 01: +0,0.226,823
Nov 02 2014 01: +0,0.222,682
Nov 03 2014 01: +0,0.227,511
Nov 04 2014 01: +0,0.222,485
Nov 05 2014 01: +0,0.222,582
Nov 06 2014 01: +0,0.219,599
Nov 07 2014 01: +0,0.219,565
Nov 08 2014 01: +0,0.226,763
Nov 09 2014 01: +0,0.229,594
Nov 10 2014 01: +0,0.225,509
Nov 11 2014 01: +0,0.223,509
Nov 12 2014 01: +0,0.175,808
Nov 13 2014 01: +0,0.168,565
Nov 14 2014 01: +0,0.19,574
Nov 15 2014 01: +0,0.197,612
Nov 16 2014 01: +0,0.204,585
