Aug 05 2014 01: +0,0.461,8564
Aug 06 2014 01: +0,0.46,3650
Aug 07 2014 01: +0,0.483,2621
Aug 08 2014 01: +0,0.5,2211
Aug 09 2014 01: +0,0.492,2171
Aug 10 2014 01: +0,0.504,1819
Aug 11 2014 01: +0,0.514,1712
Aug 12 2014 01: +0,0.545,2075
Aug 13 2014 01: +0,0.619,2814
Aug 14 2014 01: +0,0.587,4582
Aug 15 2014 01: +0,0.367,3890
Aug 16 2014 01: +0,0.253,5588
Aug 17 2014 01: +0,0.079,34455
Aug 18 2014 01: +0,0.069,12396
Aug 19 2014 01: +0,0.15,6794
Aug 20 2014 01: +0,0.165,3822
Aug 21 2014 01: +0,0.152,3390
Aug 22 2014 01: +0,0.147,3455
Aug 23 2014 01: +0,0.149,3208
Aug 24 2014 01: +0,0.151,2985
Aug 25 2014 01: +0,0.146,3110
Aug 26 2014 01: +0,0.151,3117
Aug 27 2014 01: +0,0.172,2908
Aug 28 2014 01: +0,0.194,2643
Aug 29 2014 01: +0,0.195,2784
Aug 30 2014 01: +0,0.202,2841
Aug 31 2014 01: +0,0.213,2735
Sep 01 2014 01: +0,0.221,2452
Sep 02 2014 01: +0,0.269,3909
Sep 03 2014 01: +0,0.289,2003
Sep 04 2014 01: +0,0.249,1744
Sep 05 2014 01: +0,0.223,2089
Sep 06 2014 01: +0,0.23,2329
Sep 07 2014 01: +0,0.228,2084
Sep 08 2014 01: +0,0.213,1754
Sep 09 2014 01: +0,0.226,1511
Sep 10 2014 01: +0,0.232,1546
Sep 11 2014 01: +0,0.198,1855
Sep 12 2014 01: +0,0.19,1985
Sep 13 2014 01: +0,0.192,2100
Sep 14 2014 01: +0,0.198,2246
Sep 15 2014 01: +0,0.199,1626
Sep 16 2014 01: +0,0.198,1633
Sep 17 2014 01: +0,0.213,1621
Sep 18 2014 01: +0,0.214,1626
Sep 19 2014 01: +0,0.211,1688
Sep 20 2014 01: +0,0.207,1885
Sep 21 2014 01: +0,0.216,1683
Sep 22 2014 01: +0,0.213,1456
Sep 23 2014 01: +0,0.214,1387
Sep 24 2014 01: +0,0.212,1472
Sep 25 2014 01: +0,0.215,1528
Sep 26 2014 01: +0,0.215,1699
Sep 27 2014 01: +0,0.219,1892
Sep 28 2014 01: +0,0.22,1691
Sep 29 2014 01: +0,0.217,1328
Sep 30 2014 01: +0,0.208,1405
Oct 01 2014 01: +0,0.212,1589
Oct 02 2014 01: +0,0.202,1664
Oct 03 2014 01: +0,0.21,1633
Oct 04 2014 01: +0,0.215,2005
Oct 05 2014 01: +0,0.227,2031
Oct 06 2014 01: +0,0.234,1548
Oct 07 2014 01: +0,0.235,1333
Oct 08 2014 01: +0,0.232,1608
Oct 09 2014 01: +0,0.249,1371
Oct 10 2014 01: +0,0.249,1484
Oct 11 2014 01: +0,0.25,1788
Oct 12 2014 01: +0,0.254,1703
Oct 13 2014 01: +0,0.247,1406
Oct 14 2014 01: +0,0.251,1352
Oct 15 2014 01: +0,0.245,1316
Oct 16 2014 01: +0,0.242,1428
Oct 17 2014 01: +0,0.246,1359
Oct 18 2014 01: +0,0.246,1775
Oct 19 2014 01: +0,0.24,1529
Oct 20 2014 01: +0,0.232,1309
Oct 21 2014 01: +0,0.244,1235
Oct 22 2014 01: +0,0.244,1291
Oct 23 2014 01: +0,0.25,1197
Oct 24 2014 01: +0,0.254,1299
Oct 25 2014 01: +0,0.237,1506
Oct 26 2014 01: +0,0.232,1556
Oct 27 2014 01: +0,0.227,1280
Oct 28 2014 01: +0,0.236,1090
Oct 29 2014 01: +0,0.238,1129
Oct 30 2014 01: +0,0.236,1140
Oct 31 2014 01: +0,0.247,1382
Nov 01 2014 01: +0,0.252,1384
Nov 02 2014 01: +0,0.234,1509
Nov 03 2014 01: +0,0.243,1150
Nov 04 2014 01: +0,0.239,1138
Nov 05 2014 01: +0,0.246,1029
Nov 06 2014 01: +0,0.236,1303
Nov 07 2014 01: +0,0.237,1211
Nov 08 2014 01: +0,0.235,1508
Nov 09 2014 01: +0,0.231,1351
Nov 10 2014 01: +0,0.23,1068
Nov 11 2014 01: +0,0.227,1090
Nov 12 2014 01: +0,0.168,1651
Nov 13 2014 01: +0,0.17,1152
Nov 14 2014 01: +0,0.182,1230
Nov 15 2014 01: +0,0.198,1371
Nov 16 2014 01: +0,0.206,1340
Nov 17 2014 01: +0,0.202,1056
Nov 18 2014 01: +0,0.205,1068
Nov 19 2014 01: +0,0.201,936
Nov 20 2014 01: +0,0.204,897
Nov 21 2014 01: +0,0.161,1553
Nov 22 2014 01: +0,0.149,1206
Nov 23 2014 01: +0,0.163,1189
Nov 24 2014 01: +0,0.164,973
Nov 25 2014 01: +0,0.162,922
Nov 26 2014 01: +0,0.162,1012
Nov 27 2014 01: +0,0.164,1380
Nov 28 2014 01: +0,0.173,1267
Nov 29 2014 01: +0,0.158,851
Nov 30 2014 01: +0,0.119,1835
Dec 01 2014 01: +0,0.127,1144
Dec 02 2014 01: +0,0.155,1108
Dec 03 2014 01: +0,0.18,978
Dec 04 2014 01: +0,0.176,884
Dec 05 2014 01: +0,0.201,836
Dec 06 2014 01: +0,0.203,1045
Dec 07 2014 01: +0,0.197,1090
Dec 08 2014 01: +0,0.195,891
Dec 09 2014 01: +0,0.196,771
Dec 10 2014 01: +0,0.192,875
Dec 11 2014 01: +0,0.188,1030
Dec 12 2014 01: +0,0.18,988
Dec 13 2014 01: +0,0.186,1101
Dec 14 2014 01: +0,0.185,1048
Dec 15 2014 01: +0,0.179,930
Dec 16 2014 01: +0,0.159,950
Dec 17 2014 01: +0,0.188,898
Dec 18 2014 01: +0,0.195,778
