"Aug 05 2014 01: +0" 0.362 4180
"Aug 06 2014 01: +0" 0.331 1952
"Aug 07 2014 01: +0" 0.34 1482
"Aug 08 2014 01: +0" 0.333 1200
"Aug 09 2014 01: +0" 0.351 1336
"Aug 10 2014 01: +0" 0.346 1177
"Aug 11 2014 01: +0" 0.332 1259
"Aug 12 2014 01: +0" 0.335 1410
"Aug 13 2014 01: +0" 0.343 1910
"Aug 14 2014 01: +0" 0.285 3658
"Aug 15 2014 01: +0" 0.202 3012
"Aug 16 2014 01: +0" 0.212 1921
"Aug 17 2014 01: +0" 0.071 13272
"Aug 18 2014 01: +0" 0.06 5812
"Aug 19 2014 01: +0" 0.128 2868
"Aug 20 2014 01: +0" 0.147 1590
"Aug 21 2014 01: +0" 0.141 1396
"Aug 22 2014 01: +0" 0.14 1409
"Aug 23 2014 01: +0" 0.143 1501
"Aug 24 2014 01: +0" 0.141 1288
"Aug 25 2014 01: +0" 0.138 1192
"Aug 26 2014 01: +0" 0.143 1232
"Aug 27 2014 01: +0" 0.154 1223
"Aug 28 2014 01: +0" 0.165 1070
"Aug 29 2014 01: +0" 0.167 1028
"Aug 30 2014 01: +0" 0.178 1203
"Aug 31 2014 01: +0" 0.192 1163
"Sep 01 2014 01: +0" 0.204 1043
"Sep 02 2014 01: +0" 0.239 1360
"Sep 03 2014 01: +0" 0.248 885
"Sep 04 2014 01: +0" 0.224 771
"Sep 05 2014 01: +0" 0.208 877
"Sep 06 2014 01: +0" 0.213 884
"Sep 07 2014 01: +0" 0.208 860
"Sep 08 2014 01: +0" 0.2 683
"Sep 09 2014 01: +0" 0.214 600
"Sep 10 2014 01: +0" 0.221 636
"Sep 11 2014 01: +0" 0.19 669
"Sep 12 2014 01: +0" 0.175 805
"Sep 13 2014 01: +0" 0.176 929
"Sep 14 2014 01: +0" 0.195 719
"Sep 15 2014 01: +0" 0.193 624
"Sep 16 2014 01: +0" 0.191 717
"Sep 17 2014 01: +0" 0.205 632
"Sep 18 2014 01: +0" 0.2 644
"Sep 19 2014 01: +0" 0.198 710
"Sep 20 2014 01: +0" 0.197 726
