Aug 05 2014 01: +0,1.424,5207
Aug 06 2014 01: +0,1.462,2249
Aug 07 2014 01: +0,1.444,1637
Aug 08 2014 01: +0,1.438,1432
Aug 09 2014 01: +0,1.62,1342
Aug 10 2014 01: +0,1.57,1173
Aug 11 2014 01: +0,1.533,1243
Aug 12 2014 01: +0,1.663,1450
Aug 13 2014 01: +0,1.921,2071
Aug 14 2014 01: +0,2.153,3958
Aug 15 2014 01: +0,1.697,2403
Aug 16 2014 01: +0,0.807,2596
Aug 17 2014 01: +0,0.288,17376
Aug 18 2014 01: +0,0.232,6566
Aug 19 2014 01: +0,0.442,2736
Aug 20 2014 01: +0,0.455,1962
Aug 21 2014 01: +0,0.42,1352
Aug 22 2014 01: +0,0.424,1584
Aug 23 2014 01: +0,0.412,1518
Aug 24 2014 01: +0,0.409,1385
Aug 25 2014 01: +0,0.409,1435
Aug 26 2014 01: +0,0.387,1294
Aug 27 2014 01: +0,0.394,1199
Aug 28 2014 01: +0,0.409,1305
Aug 29 2014 01: +0,0.406,1301
Aug 30 2014 01: +0,0.468,1261
Aug 31 2014 01: +0,0.523,1259
Sep 01 2014 01: +0,0.616,959
Sep 02 2014 01: +0,0.703,1303
Sep 03 2014 01: +0,0.777,1016
Sep 04 2014 01: +0,0.652,723
Sep 05 2014 01: +0,0.554,882
Sep 06 2014 01: +0,0.51,995
Sep 07 2014 01: +0,0.491,838
Sep 08 2014 01: +0,0.488,753
Sep 09 2014 01: +0,0.514,654
Sep 10 2014 01: +0,0.516,607
Sep 11 2014 01: +0,0.493,867
Sep 12 2014 01: +0,0.457,930
Sep 13 2014 01: +0,0.439,990
Sep 14 2014 01: +0,0.442,838
Sep 15 2014 01: +0,0.434,691
Sep 16 2014 01: +0,0.42,809
Sep 17 2014 01: +0,0.439,766
Sep 18 2014 01: +0,0.43,780
Sep 19 2014 01: +0,0.424,757
Sep 20 2014 01: +0,0.417,852
Sep 21 2014 01: +0,0.438,679
Sep 22 2014 01: +0,0.425,710
Sep 23 2014 01: +0,0.412,586
Sep 24 2014 01: +0,0.416,609
Sep 25 2014 01: +0,0.442,534
Sep 26 2014 01: +0,0.49,974
Sep 27 2014 01: +0,0.59,855
Sep 28 2014 01: +0,0.496,845
Sep 29 2014 01: +0,0.477,648
Sep 30 2014 01: +0,0.523,746
Oct 01 2014 01: +0,0.604,641
Oct 02 2014 01: +0,0.608,641
Oct 03 2014 01: +0,0.563,756
Oct 04 2014 01: +0,0.541,741
Oct 05 2014 01: +0,0.529,760
Oct 06 2014 01: +0,0.539,596
Oct 07 2014 01: +0,0.518,627
Oct 08 2014 01: +0,0.496,640
Oct 09 2014 01: +0,0.458,667
Oct 10 2014 01: +0,0.462,735
Oct 11 2014 01: +0,0.455,859
Oct 12 2014 01: +0,0.474,766
Oct 13 2014 01: +0,0.455,704
Oct 14 2014 01: +0,0.476,647
Oct 15 2014 01: +0,0.475,662
Oct 16 2014 01: +0,0.478,652
Oct 17 2014 01: +0,0.481,664
Oct 18 2014 01: +0,0.481,752
Oct 19 2014 01: +0,0.466,621
Oct 20 2014 01: +0,0.482,584
Oct 21 2014 01: +0,0.488,496
Oct 22 2014 01: +0,0.476,635
Oct 23 2014 01: +0,0.478,610
Oct 24 2014 01: +0,0.479,649
Oct 25 2014 01: +0,0.438,839
Oct 26 2014 01: +0,0.434,744
Oct 27 2014 01: +0,0.444,588
Oct 28 2014 01: +0,0.455,501
Oct 29 2014 01: +0,0.448,597
Oct 30 2014 01: +0,0.438,551
Oct 31 2014 01: +0,0.435,723
Nov 01 2014 01: +0,0.457,747
Nov 02 2014 01: +0,0.442,649
Nov 03 2014 01: +0,0.434,465
Nov 04 2014 01: +0,0.413,664
Nov 05 2014 01: +0,0.407,591
Nov 06 2014 01: +0,0.4,549
Nov 07 2014 01: +0,0.389,625
Nov 08 2014 01: +0,0.388,719
Nov 09 2014 01: +0,0.382,654
Nov 10 2014 01: +0,0.398,555
Nov 11 2014 01: +0,0.39,520
Nov 12 2014 01: +0,0.311,948
Nov 13 2014 01: +0,0.3,638
Nov 14 2014 01: +0,0.324,622
Nov 15 2014 01: +0,0.35,725
Nov 16 2014 01: +0,0.351,682
Nov 17 2014 01: +0,0.333,579
Nov 18 2014 01: +0,0.35,450
Nov 19 2014 01: +0,0.342,487
Nov 20 2014 01: +0,0.349,534
Nov 21 2014 01: +0,0.313,979
Nov 22 2014 01: +0,0.28,682
Nov 23 2014 01: +0,0.294,618
Nov 24 2014 01: +0,0.269,514
Nov 25 2014 01: +0,0.264,663
Nov 26 2014 01: +0,0.257,609
Nov 27 2014 01: +0,0.261,580
Nov 28 2014 01: +0,0.253,571
Nov 29 2014 01: +0,0.235,463
Nov 30 2014 01: +0,0.192,829
Dec 01 2014 01: +0,0.202,511
Dec 02 2014 01: +0,0.222,536
Dec 03 2014 01: +0,0.254,419
Dec 04 2014 01: +0,0.257,365
Dec 05 2014 01: +0,0.291,369
Dec 06 2014 01: +0,0.316,527
Dec 07 2014 01: +0,0.326,506
Dec 08 2014 01: +0,0.315,453
Dec 09 2014 01: +0,0.323,406
Dec 10 2014 01: +0,0.304,479
Dec 11 2014 01: +0,0.272,410
Dec 12 2014 01: +0,0.244,555
Dec 13 2014 01: +0,0.258,554
Dec 14 2014 01: +0,0.255,545
Dec 15 2014 01: +0,0.256,515
Dec 16 2014 01: +0,0.268,481
Dec 17 2014 01: +0,0.273,421
Dec 18 2014 01: +0,0.265,362
Dec 19 2014 01: +0,0.278,576
Dec 20 2014 01: +0,0.326,422
Dec 21 2014 01: +0,0.308,457
Dec 22 2014 01: +0,0.312,487
Dec 23 2014 01: +0,0.323,433
Dec 24 2014 01: +0,0.331,423
Dec 25 2014 01: +0,0.362,491
Dec 26 2014 01: +0,0.362,526
Dec 27 2014 01: +0,0.358,595
Dec 28 2014 01: +0,0.361,530
Dec 29 2014 01: +0,0.362,557
Dec 30 2014 01: +0,0.373,576
Dec 31 2014 01: +0,0.387,476
Jan 01 2015 01: +0,0.409,448
Jan 02 2015 01: +0,0.436,538
Jan 03 2015 01: +0,0.45,445
Jan 04 2015 01: +0,0.451,455
Jan 05 2015 01: +0,0.463,410
Jan 06 2015 01: +0,0.475,414
Jan 07 2015 01: +0,0.486,343
Jan 08 2015 01: +0,0.508,314
Jan 09 2015 01: +0,0.496,391
Jan 10 2015 01: +0,0.523,398
Jan 11 2015 01: +0,0.516,427
Jan 12 2015 01: +0,0.488,379
Jan 13 2015 01: +0,0.504,381
Jan 14 2015 01: +0,0.523,389
Jan 15 2015 01: +0,0.535,327
Jan 16 2015 01: +0,0.532,380
Jan 17 2015 01: +0,0.526,441
Jan 18 2015 01: +0,0.53,456
Jan 19 2015 01: +0,0.509,405
Jan 20 2015 01: +0,0.534,338
Jan 21 2015 01: +0,0.543,316
Jan 22 2015 01: +0,0.561,389
Jan 23 2015 01: +0,0.609,423
Jan 24 2015 01: +0,0.642,425
Jan 25 2015 01: +0,0.614,451
Jan 26 2015 01: +0,0.598,438
Jan 27 2015 01: +0,0.637,414
Jan 28 2015 01: +0,0.657,389
Jan 29 2015 01: +0,0.621,410
Jan 30 2015 01: +0,0.574,676
Jan 31 2015 01: +0,0.593,587
Feb 01 2015 01: +0,0.622,528
Feb 02 2015 01: +0,0.625,379
Feb 03 2015 01: +0,0.615,375
Feb 04 2015 01: +0,0.612,424
Feb 05 2015 01: +0,0.603,418
Feb 06 2015 01: +0,0.601,454
Feb 07 2015 01: +0,0.619,805
Feb 08 2015 01: +0,0.691,613
Feb 09 2015 01: +0,0.731,409
Feb 10 2015 01: +0,0.791,300
Feb 11 2015 01: +0,0.766,305
Feb 12 2015 01: +0,0.737,394
Feb 13 2015 01: +0,0.797,408
Feb 14 2015 01: +0,0.839,481
Feb 15 2015 01: +0,0.865,428
Feb 16 2015 01: +0,0.798,412
Feb 17 2015 01: +0,0.787,347
Feb 18 2015 01: +0,0.826,350
Feb 19 2015 01: +0,0.834,417
Feb 20 2015 01: +0,0.874,411
Feb 21 2015 01: +0,0.889,351
Feb 22 2015 01: +0,0.87,397
Feb 23 2015 01: +0,0.847,368
Feb 24 2015 01: +0,0.892,307
Feb 25 2015 01: +0,0.908,316
Feb 26 2015 01: +0,0.909,301
Feb 27 2015 01: +0,0.648,580
Feb 28 2015 01: +0,0.666,412
Mar 01 2015 01: +0,0.652,350
Mar 02 2015 01: +0,0.618,310
Mar 03 2015 01: +0,0.64,268
Mar 04 2015 01: +0,0.693,230
Mar 05 2015 01: +0,0.719,234
Mar 06 2015 01: +0,0.704,236
Mar 07 2015 01: +0,0.706,289
Mar 08 2015 01: +0,0.675,239
Mar 09 2015 01: +0,0.689,242
Mar 10 2015 01: +0,0.664,240
Mar 11 2015 01: +0,0.678,203
Mar 12 2015 01: +0,0.626,254
Mar 13 2015 01: +0,0.606,263
Mar 14 2015 01: +0,0.519,343
Mar 15 2015 01: +0,0.385,456
Mar 16 2015 01: +0,0.409,274
Mar 17 2015 01: +0,0.505,167
Mar 18 2015 01: +0,0.526,182
Mar 19 2015 01: +0,0.512,172
Mar 20 2015 01: +0,0.56,163
Mar 21 2015 01: +0,0.513,194
Mar 22 2015 01: +0,0.488,211
Mar 23 2015 01: +0,0.508,194
Mar 24 2015 01: +0,0.493,175
Mar 25 2015 01: +0,0.466,223
Mar 26 2015 01: +0,0.485,195
Mar 27 2015 01: +0,0.482,221
Mar 28 2015 01: +0,0.512,255
Mar 29 2015 01: +0,0.512,240
Mar 30 2015 01: +0,0.506,188
Mar 31 2015 01: +0,0.516,150
Apr 01 2015 01: +0,0.501,246
Apr 02 2015 01: +0,0.511,211
Apr 03 2015 01: +0,0.52,223
Apr 04 2015 01: +0,0.506,241
Apr 05 2015 01: +0,0.529,234
Apr 06 2015 01: +0,0.533,237
Apr 07 2015 01: +0,0.547,283
Apr 08 2015 01: +0,0.567,277
Apr 09 2015 01: +0,0.569,256
Apr 10 2015 01: +0,0.552,294
Apr 11 2015 01: +0,0.595,327
Apr 12 2015 01: +0,0.594,312
Apr 13 2015 01: +0,0.628,189
Apr 14 2015 01: +0,0.578,202
Apr 15 2015 01: +0,0.571,221
Apr 16 2015 01: +0,0.559,202
Apr 17 2015 01: +0,0.54,261
Apr 18 2015 01: +0,0.571,286
Apr 19 2015 01: +0,0.597,226
Apr 20 2015 01: +0,0.582,225
Apr 21 2015 01: +0,0.602,207
Apr 22 2015 01: +0,0.623,185
Apr 23 2015 01: +0,0.649,169
Apr 24 2015 01: +0,0.661,202
Apr 25 2015 01: +0,0.67,208
Apr 26 2015 01: +0,0.665,182
Apr 27 2015 01: +0,0.68,163
Apr 28 2015 01: +0,0.736,149
Apr 29 2015 01: +0,0.757,125
Apr 30 2015 01: +0,0.757,149
May 01 2015 01: +0,0.778,167
May 02 2015 01: +0,0.813,156
May 03 2015 01: +0,0.742,151
May 04 2015 01: +0,0.772,128
May 05 2015 01: +0,0.823,124
May 06 2015 01: +0,0.806,139
May 07 2015 01: +0,0.821,135
May 08 2015 01: +0,0.825,158
May 09 2015 01: +0,0.857,143
May 10 2015 01: +0,0.87,143
May 11 2015 01: +0,0.779,144
May 12 2015 01: +0,0.835,142
May 13 2015 01: +0,0.828,150
May 14 2015 01: +0,0.814,125
May 15 2015 01: +0,0.837,161
May 16 2015 01: +0,0.861,194
May 17 2015 01: +0,0.826,173
May 18 2015 01: +0,0.898,139
May 19 2015 01: +0,0.849,118
May 20 2015 01: +0,0.822,125
May 21 2015 01: +0,0.867,115
May 22 2015 01: +0,0.887,141
