Aug 05 2014 01: +0,0.298,4154
Aug 06 2014 01: +0,0.302,1972
Aug 07 2014 01: +0,0.308,1603
Aug 08 2014 01: +0,0.312,1298
Aug 09 2014 01: +0,0.306,1388
Aug 10 2014 01: +0,0.309,1143
Aug 11 2014 01: +0,0.308,1189
Aug 12 2014 01: +0,0.306,1370
Aug 13 2014 01: +0,0.277,1947
Aug 14 2014 01: +0,0.252,3761
Aug 15 2014 01: +0,0.206,2776
Aug 16 2014 01: +0,0.229,1797
Aug 17 2014 01: +0,0.074,13508
Aug 18 2014 01: +0,0.06,5746
Aug 19 2014 01: +0,0.128,2523
Aug 20 2014 01: +0,0.148,1659
Aug 21 2014 01: +0,0.141,1455
Aug 22 2014 01: +0,0.136,1305
Aug 23 2014 01: +0,0.139,1418
Aug 24 2014 01: +0,0.14,1217
Aug 25 2014 01: +0,0.134,1248
Aug 26 2014 01: +0,0.142,1213
Aug 27 2014 01: +0,0.147,1116
Aug 28 2014 01: +0,0.161,1039
Aug 29 2014 01: +0,0.165,1078
Aug 30 2014 01: +0,0.174,1225
Aug 31 2014 01: +0,0.188,1164
Sep 01 2014 01: +0,0.197,1021
Sep 02 2014 01: +0,0.208,1280
Sep 03 2014 01: +0,0.234,994
Sep 04 2014 01: +0,0.221,684
Sep 05 2014 01: +0,0.2,832
Sep 06 2014 01: +0,0.208,914
Sep 07 2014 01: +0,0.202,848
Sep 08 2014 01: +0,0.198,612
Sep 09 2014 01: +0,0.203,649
Sep 10 2014 01: +0,0.209,635
Sep 11 2014 01: +0,0.188,679
Sep 12 2014 01: +0,0.175,774
Sep 13 2014 01: +0,0.176,940
Sep 14 2014 01: +0,0.186,860
Sep 15 2014 01: +0,0.195,607
Sep 16 2014 01: +0,0.187,600
Sep 17 2014 01: +0,0.2,656
Sep 18 2014 01: +0,0.196,689
Sep 19 2014 01: +0,0.192,630
Sep 20 2014 01: +0,0.192,766
Sep 21 2014 01: +0,0.199,610
Sep 22 2014 01: +0,0.196,537
Sep 23 2014 01: +0,0.196,539
Sep 24 2014 01: +0,0.195,570
Sep 25 2014 01: +0,0.202,515
Sep 26 2014 01: +0,0.195,655
Sep 27 2014 01: +0,0.197,709
Sep 28 2014 01: +0,0.193,714
Sep 29 2014 01: +0,0.192,510
Sep 30 2014 01: +0,0.19,488
Oct 01 2014 01: +0,0.188,627
Oct 02 2014 01: +0,0.191,580
Oct 03 2014 01: +0,0.189,681
Oct 04 2014 01: +0,0.195,689
Oct 05 2014 01: +0,0.196,644
Oct 06 2014 01: +0,0.204,550
Oct 07 2014 01: +0,0.201,590
Oct 08 2014 01: +0,0.199,449
Oct 09 2014 01: +0,0.203,498
Oct 10 2014 01: +0,0.206,586
Oct 11 2014 01: +0,0.204,773
Oct 12 2014 01: +0,0.214,684
Oct 13 2014 01: +0,0.208,528
Oct 14 2014 01: +0,0.216,550
Oct 15 2014 01: +0,0.211,566
Oct 16 2014 01: +0,0.207,622
Oct 17 2014 01: +0,0.209,616
Oct 18 2014 01: +0,0.213,655
Oct 19 2014 01: +0,0.214,546
Oct 20 2014 01: +0,0.207,416
Oct 21 2014 01: +0,0.209,467
Oct 22 2014 01: +0,0.212,525
Oct 23 2014 01: +0,0.215,547
Oct 24 2014 01: +0,0.22,558
Oct 25 2014 01: +0,0.208,738
Oct 26 2014 01: +0,0.211,672
Oct 27 2014 01: +0,0.213,560
Oct 28 2014 01: +0,0.217,542
Oct 29 2014 01: +0,0.223,454
Oct 30 2014 01: +0,0.229,428
Oct 31 2014 01: +0,0.22,523
Nov 01 2014 01: +0,0.216,592
Nov 02 2014 01: +0,0.215,595
Nov 03 2014 01: +0,0.219,479
Nov 04 2014 01: +0,0.215,466
Nov 05 2014 01: +0,0.212,509
Nov 06 2014 01: +0,0.217,529
Nov 07 2014 01: +0,0.214,576
Nov 08 2014 01: +0,0.219,704
Nov 09 2014 01: +0,0.215,627
Nov 10 2014 01: +0,0.216,452
Nov 11 2014 01: +0,0.212,467
Nov 12 2014 01: +0,0.168,685
Nov 13 2014 01: +0,0.162,451
Nov 14 2014 01: +0,0.174,518
Nov 15 2014 01: +0,0.193,528
Nov 16 2014 01: +0,0.195,477
Nov 17 2014 01: +0,0.19,494
Nov 18 2014 01: +0,0.201,392
Nov 19 2014 01: +0,0.197,387
Nov 20 2014 01: +0,0.2,327
Nov 21 2014 01: +0,0.156,631
Nov 22 2014 01: +0,0.144,596
Nov 23 2014 01: +0,0.159,470
Nov 24 2014 01: +0,0.157,436
Nov 25 2014 01: +0,0.155,415
Nov 26 2014 01: +0,0.158,376
Nov 27 2014 01: +0,0.15,594
Nov 28 2014 01: +0,0.147,586
Nov 29 2014 01: +0,0.136,393
Nov 30 2014 01: +0,0.116,666
Dec 01 2014 01: +0,0.118,437
Dec 02 2014 01: +0,0.143,389
Dec 03 2014 01: +0,0.174,259
Dec 04 2014 01: +0,0.162,390
Dec 05 2014 01: +0,0.181,411
Dec 06 2014 01: +0,0.19,474
Dec 07 2014 01: +0,0.179,482
Dec 08 2014 01: +0,0.179,390
Dec 09 2014 01: +0,0.185,398
Dec 10 2014 01: +0,0.179,362
Dec 11 2014 01: +0,0.177,335
Dec 12 2014 01: +0,0.169,379
Dec 13 2014 01: +0,0.177,441
Dec 14 2014 01: +0,0.169,395
Dec 15 2014 01: +0,0.166,368
Dec 16 2014 01: +0,0.164,347
Dec 17 2014 01: +0,0.172,370
Dec 18 2014 01: +0,0.178,342
Dec 19 2014 01: +0,0.176,354
Dec 20 2014 01: +0,0.183,355
Dec 21 2014 01: +0,0.184,358
Dec 22 2014 01: +0,0.191,403
Dec 23 2014 01: +0,0.184,385
Dec 24 2014 01: +0,0.195,359
Dec 25 2014 01: +0,0.207,392
Dec 26 2014 01: +0,0.205,416
Dec 27 2014 01: +0,0.221,530
Dec 28 2014 01: +0,0.236,460
Dec 29 2014 01: +0,0.232,388
Dec 30 2014 01: +0,0.246,424
Dec 31 2014 01: +0,0.264,422
Jan 01 2015 01: +0,0.269,344
Jan 02 2015 01: +0,0.268,447
Jan 03 2015 01: +0,0.282,421
Jan 04 2015 01: +0,0.296,415
Jan 05 2015 01: +0,0.303,329
Jan 06 2015 01: +0,0.303,340
Jan 07 2015 01: +0,0.308,321
Jan 08 2015 01: +0,0.324,356
Jan 09 2015 01: +0,0.321,525
Jan 10 2015 01: +0,0.33,494
Jan 11 2015 01: +0,0.346,377
Jan 12 2015 01: +0,0.339,350
Jan 13 2015 01: +0,0.342,307
Jan 14 2015 01: +0,0.352,344
Jan 15 2015 01: +0,0.349,322
Jan 16 2015 01: +0,0.367,325
Jan 17 2015 01: +0,0.354,440
Jan 18 2015 01: +0,0.353,419
Jan 19 2015 01: +0,0.35,395
Jan 20 2015 01: +0,0.366,291
Jan 21 2015 01: +0,0.374,284
Jan 22 2015 01: +0,0.376,283
Jan 23 2015 01: +0,0.376,313
Jan 24 2015 01: +0,0.386,372
Jan 25 2015 01: +0,0.371,424
Jan 26 2015 01: +0,0.381,348
Jan 27 2015 01: +0,0.369,400
Jan 28 2015 01: +0,0.373,330
Jan 29 2015 01: +0,0.376,325
Jan 30 2015 01: +0,0.374,367
Jan 31 2015 01: +0,0.378,460
Feb 01 2015 01: +0,0.381,450
Feb 02 2015 01: +0,0.372,336
Feb 03 2015 01: +0,0.385,373
Feb 04 2015 01: +0,0.378,367
Feb 05 2015 01: +0,0.387,307
Feb 06 2015 01: +0,0.383,354
Feb 07 2015 01: +0,0.399,395
Feb 08 2015 01: +0,0.391,336
Feb 09 2015 01: +0,0.395,287
Feb 10 2015 01: +0,0.391,288
Feb 11 2015 01: +0,0.394,264
Feb 12 2015 01: +0,0.386,271
Feb 13 2015 01: +0,0.396,326
Feb 14 2015 01: +0,0.4,378
Feb 15 2015 01: +0,0.403,507
Feb 16 2015 01: +0,0.432,352
Feb 17 2015 01: +0,0.42,265
Feb 18 2015 01: +0,0.435,256
Feb 19 2015 01: +0,0.427,231
Feb 20 2015 01: +0,0.43,292
Feb 21 2015 01: +0,0.447,308
Feb 22 2015 01: +0,0.447,342
Feb 23 2015 01: +0,0.434,261
Feb 24 2015 01: +0,0.426,282
Feb 25 2015 01: +0,0.448,260
Feb 26 2015 01: +0,0.455,246
Feb 27 2015 01: +0,0.372,389
Feb 28 2015 01: +0,0.375,401
Mar 01 2015 01: +0,0.369,345
Mar 02 2015 01: +0,0.375,246
Mar 03 2015 01: +0,0.39,198
Mar 04 2015 01: +0,0.402,176
Mar 05 2015 01: +0,0.396,198
Mar 06 2015 01: +0,0.41,254
Mar 07 2015 01: +0,0.42,248
Mar 08 2015 01: +0,0.408,273
Mar 09 2015 01: +0,0.411,223
Mar 10 2015 01: +0,0.4,216
Mar 11 2015 01: +0,0.377,196
Mar 12 2015 01: +0,0.359,208
Mar 13 2015 01: +0,0.365,251
Mar 14 2015 01: +0,0.35,279
Mar 15 2015 01: +0,0.287,407
Mar 16 2015 01: +0,0.285,276
Mar 17 2015 01: +0,0.347,187
Mar 18 2015 01: +0,0.353,157
Mar 19 2015 01: +0,0.343,190
Mar 20 2015 01: +0,0.349,158
Mar 21 2015 01: +0,0.358,188
Mar 22 2015 01: +0,0.365,152
Mar 23 2015 01: +0,0.366,131
Mar 24 2015 01: +0,0.362,129
Mar 25 2015 01: +0,0.366,138
Mar 26 2015 01: +0,0.355,167
Mar 27 2015 01: +0,0.365,147
Mar 28 2015 01: +0,0.38,171
Mar 29 2015 01: +0,0.375,189
Mar 30 2015 01: +0,0.362,162
Mar 31 2015 01: +0,0.37,174
Apr 01 2015 01: +0,0.366,194
Apr 02 2015 01: +0,0.374,189
Apr 03 2015 01: +0,0.392,206
Apr 04 2015 01: +0,0.397,219
Apr 05 2015 01: +0,0.409,178
Apr 06 2015 01: +0,0.406,221
Apr 07 2015 01: +0,0.414,226
Apr 08 2015 01: +0,0.418,225
Apr 09 2015 01: +0,0.411,208
Apr 10 2015 01: +0,0.391,205
Apr 11 2015 01: +0,0.418,272
Apr 12 2015 01: +0,0.412,205
Apr 13 2015 01: +0,0.397,177
Apr 14 2015 01: +0,0.396,158
Apr 15 2015 01: +0,0.396,142
Apr 16 2015 01: +0,0.372,188
Apr 17 2015 01: +0,0.383,234
Apr 18 2015 01: +0,0.393,233
Apr 19 2015 01: +0,0.397,216
Apr 20 2015 01: +0,0.4,175
Apr 21 2015 01: +0,0.386,148
Apr 22 2015 01: +0,0.414,140
Apr 23 2015 01: +0,0.419,167
Apr 24 2015 01: +0,0.428,172
Apr 25 2015 01: +0,0.449,225
Apr 26 2015 01: +0,0.435,208
Apr 27 2015 01: +0,0.447,167
Apr 28 2015 01: +0,0.466,119
Apr 29 2015 01: +0,0.497,104
Apr 30 2015 01: +0,0.504,119
May 01 2015 01: +0,0.53,89
May 02 2015 01: +0,0.531,134
May 03 2015 01: +0,0.515,168
May 04 2015 01: +0,0.533,155
May 05 2015 01: +0,0.526,137
May 06 2015 01: +0,0.529,129
May 07 2015 01: +0,0.532,121
May 08 2015 01: +0,0.526,133
May 09 2015 01: +0,0.532,130
May 10 2015 01: +0,0.538,136
May 11 2015 01: +0,0.526,159
May 12 2015 01: +0,0.543,136
May 13 2015 01: +0,0.532,148
May 14 2015 01: +0,0.527,132
May 15 2015 01: +0,0.55,216
May 16 2015 01: +0,0.605,311
May 17 2015 01: +0,0.673,153
May 18 2015 01: +0,0.662,89
May 19 2015 01: +0,0.652,107
May 20 2015 01: +0,0.634,95
May 21 2015 01: +0,0.639,102
May 22 2015 01: +0,0.629,161
May 23 2015 01: +0,0.653,158
May 24 2015 01: +0,0.654,131
May 25 2015 01: +0,0.648,114
May 26 2015 01: +0,0.618,139
May 27 2015 01: +0,0.432,176
May 28 2015 01: +0,0.512,148
May 29 2015 01: +0,0.55,162
May 30 2015 01: +0,0.574,143
May 31 2015 01: +0,0.585,145
Jun 01 2015 01: +0,0.58,134
Jun 02 2015 01: +0,0.602,105
Jun 03 2015 01: +0,0.573,138
Jun 04 2015 01: +0,0.539,161
Jun 05 2015 01: +0,0.545,153
Jun 06 2015 01: +0,0.556,130
Jun 07 2015 01: +0,0.53,131
Jun 08 2015 01: +0,0.531,136
Jun 09 2015 01: +0,0.548,114
Jun 10 2015 01: +0,0.559,132
Jun 11 2015 01: +0,0.532,129
Jun 12 2015 01: +0,0.512,137
Jun 13 2015 01: +0,0.503,144
Jun 14 2015 01: +0,0.498,156
Jun 15 2015 01: +0,0.483,148
Jun 16 2015 01: +0,0.511,127
Jun 17 2015 01: +0,0.537,244
Jun 18 2015 01: +0,0.607,137
Jun 19 2015 01: +0,0.54,132
Jun 20 2015 01: +0,0.56,168
Jun 21 2015 01: +0,0.545,129
Jun 22 2015 01: +0,0.537,131
Jun 23 2015 01: +0,0.558,108
Jun 24 2015 01: +0,0.567,131
