Aug 15 2015 01: +0,1.143,1600
Aug 16 2015 01: +0,1.119,647
Aug 17 2015 01: +0,1.109,468
Aug 18 2015 01: +0,1.115,408
Aug 19 2015 01: +0,1.125,402
Aug 20 2015 01: +0,1.14,640
Aug 21 2015 01: +0,0.878,1556
Aug 22 2015 01: +0,0.453,7404
Aug 23 2015 01: +0,0.334,99019
Aug 24 2015 01: +0,0.363,19050
Aug 25 2015 01: +0,0.392,3378
Aug 26 2015 01: +0,0.387,2547
Aug 27 2015 01: +0,0.363,2340
Aug 28 2015 01: +0,0.359,2684
Aug 29 2015 01: +0,0.354,2251
Aug 30 2015 01: +0,0.357,2368
Aug 31 2015 01: +0,0.337,2661
Sep 01 2015 01: +0,0.313,2463
Sep 02 2015 01: +0,0.309,2220
Sep 03 2015 01: +0,0.313,1830
Sep 04 2015 01: +0,0.314,2421
Sep 05 2015 01: +0,0.314,2393
Sep 06 2015 01: +0,0.309,2286
Sep 07 2015 01: +0,0.303,1985
Sep 08 2015 01: +0,0.311,2016
Sep 09 2015 01: +0,0.312,1454
Sep 10 2015 01: +0,0.309,2027
Sep 11 2015 01: +0,0.305,2693
Sep 12 2015 01: +0,0.31,2391
Sep 13 2015 01: +0,0.308,2209
Sep 14 2015 01: +0,0.3,2102
Sep 15 2015 01: +0,0.293,2235
Sep 16 2015 01: +0,0.291,2535
Sep 17 2015 01: +0,0.294,2093
Sep 18 2015 01: +0,0.303,2635
Sep 19 2015 01: +0,0.318,3030
Sep 20 2015 01: +0,0.327,2493
Sep 21 2015 01: +0,0.326,1746
Sep 22 2015 01: +0,0.328,1916
Sep 23 2015 01: +0,0.325,2217
Sep 24 2015 01: +0,0.335,2080
Sep 25 2015 01: +0,0.339,2154
Sep 26 2015 01: +0,0.365,2321
Sep 27 2015 01: +0,0.371,2389
Sep 28 2015 01: +0,0.367,1673
Sep 29 2015 01: +0,0.357,1760
Sep 30 2015 01: +0,0.345,1827
Oct 01 2015 01: +0,0.358,1722
Oct 02 2015 01: +0,0.355,2105
Oct 03 2015 01: +0,0.354,2514
Oct 04 2015 01: +0,0.349,2019
Oct 05 2015 01: +0,0.343,1851
Oct 06 2015 01: +0,0.336,1553
Oct 07 2015 01: +0,0.331,1863
Oct 08 2015 01: +0,0.332,1615
Oct 09 2015 01: +0,0.323,2034
Oct 10 2015 01: +0,0.326,2246
Oct 11 2015 01: +0,0.323,2138
Oct 12 2015 01: +0,0.316,1872
Oct 13 2015 01: +0,0.305,1811
Oct 14 2015 01: +0,0.307,2142
Oct 15 2015 01: +0,0.308,1829
Oct 16 2015 01: +0,0.306,2070
Oct 17 2015 01: +0,0.31,2557
Oct 18 2015 01: +0,0.307,2657
Oct 19 2015 01: +0,0.306,1769
Oct 20 2015 01: +0,0.298,1982
Oct 21 2015 01: +0,0.255,1888
Oct 22 2015 01: +0,0.267,1244
Oct 23 2015 01: +0,0.276,1771
Oct 24 2015 01: +0,0.279,2165
Oct 25 2015 01: +0,0.287,1883
Oct 26 2015 01: +0,0.284,1494
Oct 27 2015 01: +0,0.274,1349
Oct 28 2015 01: +0,0.27,1439
Oct 29 2015 01: +0,0.273,1430
Oct 30 2015 01: +0,0.269,1405
Oct 31 2015 01: +0,0.253,1603
Nov 01 2015 01: +0,0.234,1575
Nov 02 2015 01: +0,0.238,746
Nov 03 2015 01: +0,0.246,802
Nov 04 2015 01: +0,0.236,630
Nov 05 2015 01: +0,0.244,505
Nov 06 2015 01: +0,0.232,595
Nov 07 2015 01: +0,0.255,647
Nov 08 2015 01: +0,0.25,562
Nov 09 2015 01: +0,0.242,534
