Aug 15 2015 01: +0,1.081,109
Aug 16 2015 01: +0,1.071,34
Aug 17 2015 01: +0,1.009,20
Aug 18 2015 01: +0,1.031,29
Aug 19 2015 01: +0,0.907,19
Aug 20 2015 01: +0,1.019,55
Aug 21 2015 01: +0,1.023,103
Aug 22 2015 01: +0,0.575,385
Aug 23 2015 01: +0,0.372,9424
Aug 24 2015 01: +0,0.346,1599
Aug 25 2015 01: +0,0.397,496
Aug 26 2015 01: +0,0.369,398
Aug 27 2015 01: +0,0.374,293
Aug 28 2015 01: +0,0.356,223
Aug 29 2015 01: +0,0.364,304
Aug 30 2015 01: +0,0.375,261
Aug 31 2015 01: +0,0.362,256
Sep 01 2015 01: +0,0.337,273
Sep 02 2015 01: +0,0.327,204
Sep 03 2015 01: +0,0.326,277
Sep 04 2015 01: +0,0.317,262
Sep 05 2015 01: +0,0.317,316
Sep 06 2015 01: +0,0.312,301
Sep 07 2015 01: +0,0.309,228
Sep 08 2015 01: +0,0.312,192
Sep 09 2015 01: +0,0.321,259
Sep 10 2015 01: +0,0.313,284
Sep 11 2015 01: +0,0.32,275
Sep 12 2015 01: +0,0.316,270
Sep 13 2015 01: +0,0.325,257
Sep 14 2015 01: +0,0.326,247
Sep 15 2015 01: +0,0.313,291
Sep 16 2015 01: +0,0.307,300
Sep 17 2015 01: +0,0.306,309
Sep 18 2015 01: +0,0.311,327
Sep 19 2015 01: +0,0.335,304
Sep 20 2015 01: +0,0.323,326
Sep 21 2015 01: +0,0.326,245
Sep 22 2015 01: +0,0.337,333
Sep 23 2015 01: +0,0.373,255
Sep 24 2015 01: +0,0.363,229
Sep 25 2015 01: +0,0.35,293
Sep 26 2015 01: +0,0.365,363
Sep 27 2015 01: +0,0.392,238
Sep 28 2015 01: +0,0.389,204
Sep 29 2015 01: +0,0.391,170
Sep 30 2015 01: +0,0.382,208
Oct 01 2015 01: +0,0.391,213
Oct 02 2015 01: +0,0.383,237
Oct 03 2015 01: +0,0.375,248
Oct 04 2015 01: +0,0.382,159
Oct 05 2015 01: +0,0.375,178
Oct 06 2015 01: +0,0.369,150
Oct 07 2015 01: +0,0.356,183
Oct 08 2015 01: +0,0.337,230
Oct 09 2015 01: +0,0.332,246
Oct 10 2015 01: +0,0.335,309
Oct 11 2015 01: +0,0.342,271
Oct 12 2015 01: +0,0.329,265
Oct 13 2015 01: +0,0.31,232
Oct 14 2015 01: +0,0.325,199
Oct 15 2015 01: +0,0.34,173
Oct 16 2015 01: +0,0.322,180
Oct 17 2015 01: +0,0.326,258
Oct 18 2015 01: +0,0.331,264
Oct 19 2015 01: +0,0.318,232
Oct 20 2015 01: +0,0.307,236
Oct 21 2015 01: +0,0.268,289
Oct 22 2015 01: +0,0.269,163
Oct 23 2015 01: +0,0.289,195
Oct 24 2015 01: +0,0.301,220
Oct 25 2015 01: +0,0.297,211
Oct 26 2015 01: +0,0.288,196
Oct 27 2015 01: +0,0.283,162
Oct 28 2015 01: +0,0.289,149
Oct 29 2015 01: +0,0.296,215
Oct 30 2015 01: +0,0.291,195
Oct 31 2015 01: +0,0.299,150
Nov 01 2015 01: +0,0.252,183
Nov 02 2015 01: +0,0.252,135
Nov 03 2015 01: +0,0.258,84
Nov 04 2015 01: +0,0.265,62
Nov 05 2015 01: +0,0.272,49
Nov 06 2015 01: +0,0.269,74
Nov 07 2015 01: +0,0.261,73
Nov 08 2015 01: +0,0.273,79
Nov 09 2015 01: +0,0.259,56
Nov 10 2015 01: +0,0.255,74
Nov 11 2015 01: +0,0.277,45
Nov 12 2015 01: +0,0.264,56
Nov 13 2015 01: +0,0.25,65
Nov 14 2015 01: +0,0.27,63
Nov 15 2015 01: +0,0.271,83
Nov 16 2015 01: +0,0.267,61
Nov 17 2015 01: +0,0.272,55
Nov 18 2015 01: +0,0.266,61
Nov 19 2015 01: +0,0.273,58
Nov 20 2015 01: +0,0.266,66
Nov 21 2015 01: +0,0.253,139
Nov 22 2015 01: +0,0.268,64
Nov 23 2015 01: +0,0.261,69
Nov 24 2015 01: +0,0.264,75
Nov 25 2015 01: +0,0.258,81
