"Aug 15 2015 01: +0" 1.129 1126
"Aug 16 2015 01: +0" 1.117 485
"Aug 17 2015 01: +0" 1.104 377
"Aug 18 2015 01: +0" 1.112 328
"Aug 19 2015 01: +0" 1.108 367
"Aug 20 2015 01: +0" 1.092 528
"Aug 21 2015 01: +0" 0.897 1778
"Aug 22 2015 01: +0" 0.595 3407
"Aug 23 2015 01: +0" 0.324 38605
"Aug 24 2015 01: +0" 0.351 9149
"Aug 25 2015 01: +0" 0.359 3111
"Aug 26 2015 01: +0" 0.347 2702
"Aug 27 2015 01: +0" 0.341 2498
"Aug 28 2015 01: +0" 0.336 2463
"Aug 29 2015 01: +0" 0.337 2133
"Aug 30 2015 01: +0" 0.336 2270
"Aug 31 2015 01: +0" 0.334 1964
"Sep 01 2015 01: +0" 0.306 2063
"Sep 02 2015 01: +0" 0.287 2289
"Sep 03 2015 01: +0" 0.3 1671
"Sep 04 2015 01: +0" 0.304 1778
"Sep 05 2015 01: +0" 0.313 1886
"Sep 06 2015 01: +0" 0.307 1655
"Sep 07 2015 01: +0" 0.304 1462
"Sep 08 2015 01: +0" 0.3 1492
"Sep 09 2015 01: +0" 0.303 1202
"Sep 10 2015 01: +0" 0.299 1544
"Sep 11 2015 01: +0" 0.308 2249
"Sep 12 2015 01: +0" 0.319 1923
"Sep 13 2015 01: +0" 0.315 1578
"Sep 14 2015 01: +0" 0.313 1507
"Sep 15 2015 01: +0" 0.306 1494
"Sep 16 2015 01: +0" 0.303 1990
"Sep 17 2015 01: +0" 0.313 1593
"Sep 18 2015 01: +0" 0.32 2114
"Sep 19 2015 01: +0" 0.336 2128
"Sep 20 2015 01: +0" 0.338 1783
"Sep 21 2015 01: +0" 0.334 1519
"Sep 22 2015 01: +0" 0.354 1823
"Sep 23 2015 01: +0" 0.354 1362
"Sep 24 2015 01: +0" 0.354 1236
"Sep 25 2015 01: +0" 0.359 1488
"Sep 26 2015 01: +0" 0.38 1794
"Sep 27 2015 01: +0" 0.395 1349
"Sep 28 2015 01: +0" 0.393 1108
"Sep 29 2015 01: +0" 0.381 1006
"Sep 30 2015 01: +0" 0.368 1156
"Oct 01 2015 01: +0" 0.368 1160
"Oct 02 2015 01: +0" 0.37 1232
"Oct 03 2015 01: +0" 0.364 1366
"Oct 04 2015 01: +0" 0.361 1275
"Oct 05 2015 01: +0" 0.35 1138
"Oct 06 2015 01: +0" 0.348 924
"Oct 07 2015 01: +0" 0.343 1080
"Oct 08 2015 01: +0" 0.342 961
"Oct 09 2015 01: +0" 0.334 1225
"Oct 10 2015 01: +0" 0.336 1358
"Oct 11 2015 01: +0" 0.328 1397
"Oct 12 2015 01: +0" 0.318 1273
"Oct 13 2015 01: +0" 0.314 1074
"Oct 14 2015 01: +0" 0.315 1155
"Oct 15 2015 01: +0" 0.321 1260
"Oct 16 2015 01: +0" 0.317 1183
"Oct 17 2015 01: +0" 0.321 1613
"Oct 18 2015 01: +0" 0.324 1393
"Oct 19 2015 01: +0" 0.312 1180
"Oct 20 2015 01: +0" 0.31 1096
"Oct 21 2015 01: +0" 0.261 1461
"Oct 22 2015 01: +0" 0.266 990
"Oct 23 2015 01: +0" 0.282 1343
"Oct 24 2015 01: +0" 0.302 1057
"Oct 25 2015 01: +0" 0.298 1147
"Oct 26 2015 01: +0" 0.289 975
"Oct 27 2015 01: +0" 0.284 887
"Oct 28 2015 01: +0" 0.274 968
"Oct 29 2015 01: +0" 0.268 1085
"Oct 30 2015 01: +0" 0.286 1118
"Oct 31 2015 01: +0" 0.291 1284
"Nov 01 2015 01: +0" 0.256 1247
"Nov 02 2015 01: +0" 0.247 642
"Nov 03 2015 01: +0" 0.253 506
"Nov 04 2015 01: +0" 0.256 434
"Nov 05 2015 01: +0" 0.259 414
"Nov 06 2015 01: +0" 0.251 483
"Nov 07 2015 01: +0" 0.248 542
"Nov 08 2015 01: +0" 0.247 562
"Nov 09 2015 01: +0" 0.242 428
"Nov 10 2015 01: +0" 0.242 379
"Nov 11 2015 01: +0" 0.25 334
"Nov 12 2015 01: +0" 0.237 307
"Nov 13 2015 01: +0" 0.241 372
"Nov 14 2015 01: +0" 0.259 395
"Nov 15 2015 01: +0" 0.251 398
"Nov 16 2015 01: +0" 0.236 347
"Nov 17 2015 01: +0" 0.235 359
"Nov 18 2015 01: +0" 0.248 305
"Nov 19 2015 01: +0" 0.243 348
"Nov 20 2015 01: +0" 0.242 359
"Nov 21 2015 01: +0" 0.24 521
"Nov 22 2015 01: +0" 0.234 411
"Nov 23 2015 01: +0" 0.24 329
"Nov 24 2015 01: +0" 0.242 388
"Nov 25 2015 01: +0" 0.234 393
"Nov 26 2015 01: +0" 0.21 450
"Nov 27 2015 01: +0" 0.216 504
"Nov 28 2015 01: +0" 0.216 560
"Nov 29 2015 01: +0" 0.214 525
"Nov 30 2015 01: +0" 0.21 517
"Dec 01 2015 01: +0" 0.209 414
"Dec 02 2015 01: +0" 0.216 421
"Dec 03 2015 01: +0" 0.217 489
"Dec 04 2015 01: +0" 0.23 465
"Dec 05 2015 01: +0" 0.25 527
"Dec 06 2015 01: +0" 0.256 511
"Dec 07 2015 01: +0" 0.261 430
"Dec 08 2015 01: +0" 0.258 460
"Dec 09 2015 01: +0" 0.262 482
"Dec 10 2015 01: +0" 0.278 399
"Dec 11 2015 01: +0" 0.287 465
"Dec 12 2015 01: +0" 0.295 557
"Dec 13 2015 01: +0" 0.292 560
"Dec 14 2015 01: +0" 0.293 483
"Dec 15 2015 01: +0" 0.3 354
"Dec 16 2015 01: +0" 0.303 340
"Dec 17 2015 01: +0" 0.311 319
"Dec 18 2015 01: +0" 0.301 409
"Dec 19 2015 01: +0" 0.305 451
"Dec 20 2015 01: +0" 0.306 466
"Dec 21 2015 01: +0" 0.302 382
"Dec 22 2015 01: +0" 0.298 409
"Dec 23 2015 01: +0" 0.271 402
"Dec 24 2015 01: +0" 0.277 476
"Dec 25 2015 01: +0" 0.288 484
"Dec 26 2015 01: +0" 0.299 501
"Dec 27 2015 01: +0" 0.302 520
"Dec 28 2015 01: +0" 0.302 503
"Dec 29 2015 01: +0" 0.306 517
"Dec 30 2015 01: +0" 0.307 435
"Dec 31 2015 01: +0" 0.303 436
"Jan 01 2016 01: +0" 0.301 458
"Jan 02 2016 01: +0" 0.291 682
"Jan 03 2016 01: +0" 0.295 542
"Jan 04 2016 01: +0" 0.288 458
"Jan 05 2016 01: +0" 0.303 442
"Jan 06 2016 01: +0" 0.304 417
"Jan 07 2016 01: +0" 0.319 667
"Jan 08 2016 01: +0" 0.332 572
"Jan 09 2016 01: +0" 0.348 609
"Jan 10 2016 01: +0" 0.351 585
"Jan 11 2016 01: +0" 0.345 539
"Jan 12 2016 01: +0" 0.346 403
"Jan 13 2016 01: +0" 0.345 378
"Jan 14 2016 01: +0" 0.35 663
"Jan 15 2016 01: +0" 0.353 689
"Jan 16 2016 01: +0" 0.377 507
"Jan 17 2016 01: +0" 0.376 464
"Jan 18 2016 01: +0" 0.383 397
"Jan 19 2016 01: +0" 0.395 374
"Jan 20 2016 01: +0" 0.406 354
"Jan 21 2016 01: +0" 0.415 326
"Jan 22 2016 01: +0" 0.424 452
"Jan 23 2016 01: +0" 0.438 360
"Jan 24 2016 01: +0" 0.434 330
"Jan 25 2016 01: +0" 0.451 294
"Jan 26 2016 01: +0" 0.454 254
"Jan 27 2016 01: +0" 0.442 242
"Jan 28 2016 01: +0" 0.423 254
"Jan 29 2016 01: +0" 0.415 263
"Jan 30 2016 01: +0" 0.42 338
"Jan 31 2016 01: +0" 0.407 411
"Feb 01 2016 01: +0" 0.412 341
"Feb 02 2016 01: +0" 0.423 261
"Feb 03 2016 01: +0" 0.418 265
"Feb 04 2016 01: +0" 0.412 277
"Feb 05 2016 01: +0" 0.414 310
"Feb 06 2016 01: +0" 0.396 412
"Feb 07 2016 01: +0" 0.379 313
"Feb 08 2016 01: +0" 0.377 268
"Feb 09 2016 01: +0" 0.38 321
"Feb 10 2016 01: +0" 0.373 309
"Feb 11 2016 01: +0" 0.373 320
"Feb 12 2016 01: +0" 0.375 345
"Feb 13 2016 01: +0" 0.386 490
"Feb 14 2016 01: +0" 0.403 431
"Feb 15 2016 01: +0" 0.408 381
"Feb 16 2016 01: +0" 0.411 322
"Feb 17 2016 01: +0" 0.41 307
"Feb 18 2016 01: +0" 0.325 625
"Feb 19 2016 01: +0" 0.404 414
"Feb 20 2016 01: +0" 0.426 395
"Feb 21 2016 01: +0" 0.421 377
"Feb 22 2016 01: +0" 0.417 340
"Feb 23 2016 01: +0" 0.418 302
"Feb 24 2016 01: +0" 0.414 345
"Feb 25 2016 01: +0" 0.407 402
"Feb 26 2016 01: +0" 0.41 331
"Feb 27 2016 01: +0" 0.423 395
"Feb 28 2016 01: +0" 0.419 348
"Feb 29 2016 01: +0" 0.401 407
"Mar 01 2016 01: +0" 0.403 378
"Mar 02 2016 01: +0" 0.415 331
"Mar 03 2016 01: +0" 0.406 348
"Mar 04 2016 01: +0" 0.402 460
"Mar 05 2016 01: +0" 0.413 432
"Mar 06 2016 01: +0" 0.408 425
"Mar 07 2016 01: +0" 0.394 337
"Mar 08 2016 01: +0" 0.397 283
"Mar 09 2016 01: +0" 0.4 268
"Mar 10 2016 01: +0" 0.408 234
"Mar 11 2016 01: +0" 0.415 316
"Mar 12 2016 01: +0" 0.422 365
"Mar 13 2016 01: +0" 0.423 305
"Mar 14 2016 01: +0" 0.424 284
"Mar 15 2016 01: +0" 0.425 316
"Mar 16 2016 01: +0" 0.435 258
"Mar 17 2016 01: +0" 0.418 337
"Mar 18 2016 01: +0" 0.386 332
"Mar 19 2016 01: +0" 0.382 371
"Mar 20 2016 01: +0" 0.381 289
"Mar 21 2016 01: +0" 0.382 273
"Mar 22 2016 01: +0" 0.395 241
"Mar 23 2016 01: +0" 0.405 215
"Mar 24 2016 01: +0" 0.411 242
"Mar 25 2016 01: +0" 0.412 221
"Mar 26 2016 01: +0" 0.419 228
"Mar 27 2016 01: +0" 0.411 229
"Mar 28 2016 01: +0" 0.404 271
"Mar 29 2016 01: +0" 0.399 237
"Mar 30 2016 01: +0" 0.389 194
"Mar 31 2016 01: +0" 0.408 222
"Apr 01 2016 01: +0" 0.42 192
"Apr 02 2016 01: +0" 0.388 160
"Apr 03 2016 01: +0" 0.299 340
"Apr 04 2016 01: +0" 0.321 188
"Apr 05 2016 01: +0" 0.351 119
"Apr 06 2016 01: +0" 0.339 183
"Apr 07 2016 01: +0" 0.339 173
"Apr 08 2016 01: +0" 0.344 147
"Apr 09 2016 01: +0" 0.367 131
"Apr 10 2016 01: +0" 0.35 144
"Apr 11 2016 01: +0" 0.346 109
"Apr 12 2016 01: +0" 0.346 119
"Apr 13 2016 01: +0" 0.334 94
"Apr 14 2016 01: +0" 0.32 145
"Apr 15 2016 01: +0" 0.342 154
"Apr 16 2016 01: +0" 0.336 202
"Apr 17 2016 01: +0" 0.369 236
"Apr 18 2016 01: +0" 0.394 171
"Apr 19 2016 01: +0" 0.373 172
"Apr 20 2016 01: +0" 0.381 109
"Apr 21 2016 01: +0" 0.38 158
"Apr 22 2016 01: +0" 0.363 180
"Apr 23 2016 01: +0" 0.389 178
"Apr 24 2016 01: +0" 0.386 147
"Apr 25 2016 01: +0" 0.405 107
"Apr 26 2016 01: +0" 0.381 101
"Apr 27 2016 01: +0" 0.379 96
"Apr 28 2016 01: +0" 0.38 101
"Apr 29 2016 01: +0" 0.381 148
"Apr 30 2016 01: +0" 0.404 112
"May 01 2016 01: +0" 0.403 160
"May 02 2016 01: +0" 0.41 117
"May 03 2016 01: +0" 0.408 143
"May 04 2016 01: +0" 0.409 138
"May 05 2016 01: +0" 0.419 152
"May 06 2016 01: +0" 0.431 94
"May 07 2016 01: +0" 0.428 130
"May 08 2016 01: +0" 0.426 99
"May 09 2016 01: +0" 0.416 99
"May 10 2016 01: +0" 0.404 120
"May 11 2016 01: +0" 0.407 143
"May 12 2016 01: +0" 0.414 154
"May 13 2016 01: +0" 0.42 161
"May 14 2016 01: +0" 0.424 179
"May 15 2016 01: +0" 0.416 177
"May 16 2016 01: +0" 0.415 133
"May 17 2016 01: +0" 0.387 120
"May 18 2016 01: +0" 0.417 94
"May 19 2016 01: +0" 0.398 116
"May 20 2016 01: +0" 0.398 114
"May 21 2016 01: +0" 0.393 207
"May 22 2016 01: +0" 0.399 115
"May 23 2016 01: +0" 0.396 110
"May 24 2016 01: +0" 0.406 68
"May 25 2016 01: +0" 0.397 110
"May 26 2016 01: +0" 0.373 100
"May 27 2016 01: +0" 0.402 125
"May 28 2016 01: +0" 0.403 145
"May 29 2016 01: +0" 0.399 140
"May 30 2016 01: +0" 0.405 119
"May 31 2016 01: +0" 0.402 76
"Jun 01 2016 01: +0" 0.39 116
"Jun 02 2016 01: +0" 0.377 106
"Jun 03 2016 01: +0" 0.362 123
"Jun 04 2016 01: +0" 0.375 139
"Jun 05 2016 01: +0" 0.371 145
"Jun 06 2016 01: +0" 0.359 128
"Jun 07 2016 01: +0" 0.356 92
"Jun 08 2016 01: +0" 0.346 157
"Jun 09 2016 01: +0" 0.354 144
"Jun 10 2016 01: +0" 0.37 121
"Jun 11 2016 01: +0" 0.375 130
"Jun 12 2016 01: +0" 0.351 153
"Jun 13 2016 01: +0" 0.346 124
"Jun 14 2016 01: +0" 0.35 150
"Jun 15 2016 01: +0" 0.371 102
"Jun 16 2016 01: +0" 0.362 104
"Jun 17 2016 01: +0" 0.372 102
"Jun 18 2016 01: +0" 0.397 121
"Jun 19 2016 01: +0" 0.383 142
"Jun 20 2016 01: +0" 0.365 188
"Jun 21 2016 01: +0" 0.367 147
"Jun 22 2016 01: +0" 0.357 189
"Jun 23 2016 01: +0" 0.341 160
"Jun 24 2016 01: +0" 0.328 165
"Jun 25 2016 01: +0" 0.311 185
"Jun 26 2016 01: +0" 0.311 109
"Jun 27 2016 01: +0" 0.294 140
"Jun 28 2016 01: +0" 0.305 105
"Jun 29 2016 01: +0" 0.311 134
"Jun 30 2016 01: +0" 0.326 101
"Jul 01 2016 01: +0" 0.32 127
"Jul 02 2016 01: +0" 0.322 132
"Jul 03 2016 01: +0" 0.302 190
"Jul 04 2016 01: +0" 0.29 153
"Jul 05 2016 01: +0" 0.31 117
"Jul 06 2016 01: +0" 0.317 113
"Jul 07 2016 01: +0" 0.33 105
"Jul 08 2016 01: +0" 0.321 95
"Jul 09 2016 01: +0" 0.297 105
"Jul 10 2016 01: +0" 0.262 173
"Jul 11 2016 01: +0" 0.275 88
"Jul 12 2016 01: +0" 0.293 67
"Jul 13 2016 01: +0" 0.306 45
"Jul 14 2016 01: +0" 0.274 78
"Jul 15 2016 01: +0" 0.275 105
"Jul 16 2016 01: +0" 0.301 63
"Jul 17 2016 01: +0" 0.292 72
"Jul 18 2016 01: +0" 0.29 68
