Aug 15 2015 01: +0,1.103,49
Aug 16 2015 01: +0,1.028,23
Aug 17 2015 01: +0,1.031,14
Aug 18 2015 01: +0,1.107,31
Aug 19 2015 01: +0,1.001,16
Aug 20 2015 01: +0,1.038,12
Aug 21 2015 01: +0,0.993,47
Aug 22 2015 01: +0,0.911,60
Aug 23 2015 01: +0,0.467,2792
Aug 24 2015 01: +0,0.355,862
Aug 25 2015 01: +0,0.378,259
Aug 26 2015 01: +0,0.396,226
Aug 27 2015 01: +0,0.381,185
Aug 28 2015 01: +0,0.363,165
Aug 29 2015 01: +0,0.347,163
Aug 30 2015 01: +0,0.347,201
Aug 31 2015 01: +0,0.344,203
Sep 01 2015 01: +0,0.316,167
Sep 02 2015 01: +0,0.303,227
Sep 03 2015 01: +0,0.308,145
Sep 04 2015 01: +0,0.316,135
Sep 05 2015 01: +0,0.317,208
Sep 06 2015 01: +0,0.32,170
Sep 07 2015 01: +0,0.304,115
Sep 08 2015 01: +0,0.318,130
Sep 09 2015 01: +0,0.314,117
Sep 10 2015 01: +0,0.31,225
Sep 11 2015 01: +0,0.305,179
Sep 12 2015 01: +0,0.328,179
Sep 13 2015 01: +0,0.326,140
Sep 14 2015 01: +0,0.327,143
Sep 15 2015 01: +0,0.318,143
Sep 16 2015 01: +0,0.321,151
Sep 17 2015 01: +0,0.308,187
Sep 18 2015 01: +0,0.326,214
Sep 19 2015 01: +0,0.338,225
Sep 20 2015 01: +0,0.344,226
Sep 21 2015 01: +0,0.339,153
Sep 22 2015 01: +0,0.359,334
Sep 23 2015 01: +0,0.422,88
Sep 24 2015 01: +0,0.393,90
Sep 25 2015 01: +0,0.402,118
Sep 26 2015 01: +0,0.402,186
Sep 27 2015 01: +0,0.391,161
Sep 28 2015 01: +0,0.4,115
Sep 29 2015 01: +0,0.386,111
Sep 30 2015 01: +0,0.362,151
Oct 01 2015 01: +0,0.374,138
Oct 02 2015 01: +0,0.377,147
Oct 03 2015 01: +0,0.366,168
Oct 04 2015 01: +0,0.386,137
Oct 05 2015 01: +0,0.388,138
Oct 06 2015 01: +0,0.339,156
Oct 07 2015 01: +0,0.356,125
Oct 08 2015 01: +0,0.341,129
Oct 09 2015 01: +0,0.338,182
Oct 10 2015 01: +0,0.351,207
Oct 11 2015 01: +0,0.345,245
Oct 12 2015 01: +0,0.341,153
Oct 13 2015 01: +0,0.32,168
Oct 14 2015 01: +0,0.346,103
Oct 15 2015 01: +0,0.358,122
Oct 16 2015 01: +0,0.357,158
Oct 17 2015 01: +0,0.361,175
Oct 18 2015 01: +0,0.387,204
Oct 19 2015 01: +0,0.36,87
Oct 20 2015 01: +0,0.327,133
Oct 21 2015 01: +0,0.28,219
Oct 22 2015 01: +0,0.309,115
Oct 23 2015 01: +0,0.355,111
Oct 24 2015 01: +0,0.341,103
Oct 25 2015 01: +0,0.332,114
Oct 26 2015 01: +0,0.325,110
Oct 27 2015 01: +0,0.293,134
Oct 28 2015 01: +0,0.291,105
Oct 29 2015 01: +0,0.295,113
Oct 30 2015 01: +0,0.312,107
Oct 31 2015 01: +0,0.319,121
Nov 01 2015 01: +0,0.284,177
Nov 02 2015 01: +0,0.278,64
Nov 03 2015 01: +0,0.273,43
Nov 04 2015 01: +0,0.278,48
Nov 05 2015 01: +0,0.28,50
Nov 06 2015 01: +0,0.339,147
Nov 07 2015 01: +0,0.349,77
Nov 08 2015 01: +0,0.339,41
Nov 09 2015 01: +0,0.319,53
Nov 10 2015 01: +0,0.311,47
Nov 11 2015 01: +0,0.268,66
Nov 12 2015 01: +0,0.271,41
Nov 13 2015 01: +0,0.279,94
Nov 14 2015 01: +0,0.333,40
Nov 15 2015 01: +0,0.308,42
Nov 16 2015 01: +0,0.335,36
Nov 17 2015 01: +0,0.299,33
Nov 18 2015 01: +0,0.296,53
Nov 19 2015 01: +0,0.333,34
Nov 20 2015 01: +0,0.35,54
Nov 21 2015 01: +0,0.357,65
Nov 22 2015 01: +0,0.363,48
Nov 23 2015 01: +0,0.359,42
Nov 24 2015 01: +0,0.368,48
Nov 25 2015 01: +0,0.347,62
Nov 26 2015 01: +0,0.287,66
Nov 27 2015 01: +0,0.293,52
Nov 28 2015 01: +0,0.273,47
Nov 29 2015 01: +0,0.262,71
Nov 30 2015 01: +0,0.268,47
Dec 01 2015 01: +0,0.267,59
Dec 02 2015 01: +0,0.249,52
Dec 03 2015 01: +0,0.258,71
Dec 04 2015 01: +0,0.302,80
Dec 05 2015 01: +0,0.337,64
Dec 06 2015 01: +0,0.342,64
Dec 07 2015 01: +0,0.35,54
Dec 08 2015 01: +0,0.348,38
Dec 09 2015 01: +0,0.343,75
Dec 10 2015 01: +0,0.378,53
Dec 11 2015 01: +0,0.386,58
Dec 12 2015 01: +0,0.392,81
Dec 13 2015 01: +0,0.409,53
Dec 14 2015 01: +0,0.395,56
Dec 15 2015 01: +0,0.409,41
Dec 16 2015 01: +0,0.41,46
Dec 17 2015 01: +0,0.406,44
Dec 18 2015 01: +0,0.404,51
Dec 19 2015 01: +0,0.412,66
Dec 20 2015 01: +0,0.411,40
Dec 21 2015 01: +0,0.416,25
Dec 22 2015 01: +0,0.383,55
Dec 23 2015 01: +0,0.35,78
Dec 24 2015 01: +0,0.36,42
Dec 25 2015 01: +0,0.42,47
Dec 26 2015 01: +0,0.415,51
Dec 27 2015 01: +0,0.414,47
Dec 28 2015 01: +0,0.397,66
Dec 29 2015 01: +0,0.431,39
Dec 30 2015 01: +0,0.436,52
Dec 31 2015 01: +0,0.444,65
