"Aug 15 2015 01: +0" 1.104 85
"Aug 16 2015 01: +0" 1.048 33
"Aug 17 2015 01: +0" 1.068 26
"Aug 18 2015 01: +0" 1.022 19
"Aug 19 2015 01: +0" 1.008 22
"Aug 20 2015 01: +0" 1.002 44
"Aug 21 2015 01: +0" 0.875 49
"Aug 22 2015 01: +0" 0.787 71
"Aug 23 2015 01: +0" 0.445 3087
"Aug 24 2015 01: +0" 0.34 997
"Aug 25 2015 01: +0" 0.356 303
"Aug 26 2015 01: +0" 0.389 197
"Aug 27 2015 01: +0" 0.347 263
"Aug 28 2015 01: +0" 0.34 185
"Aug 29 2015 01: +0" 0.335 171
"Aug 30 2015 01: +0" 0.342 214
"Aug 31 2015 01: +0" 0.332 174
"Sep 01 2015 01: +0" 0.306 159
"Sep 02 2015 01: +0" 0.294 215
"Sep 03 2015 01: +0" 0.295 193
"Sep 04 2015 01: +0" 0.31 142
"Sep 05 2015 01: +0" 0.31 175
"Sep 06 2015 01: +0" 0.301 174
"Sep 07 2015 01: +0" 0.293 182
"Sep 08 2015 01: +0" 0.305 126
"Sep 09 2015 01: +0" 0.295 123
"Sep 10 2015 01: +0" 0.297 188
"Sep 11 2015 01: +0" 0.289 434
"Sep 12 2015 01: +0" 0.306 161
"Sep 13 2015 01: +0" 0.293 211
"Sep 14 2015 01: +0" 0.296 155
"Sep 15 2015 01: +0" 0.294 145
"Sep 16 2015 01: +0" 0.301 321
"Sep 17 2015 01: +0" 0.342 228
"Sep 18 2015 01: +0" 0.319 155
"Sep 19 2015 01: +0" 0.327 213
"Sep 20 2015 01: +0" 0.331 238
"Sep 21 2015 01: +0" 0.321 199
"Sep 22 2015 01: +0" 0.337 385
"Sep 23 2015 01: +0" 0.399 72
"Sep 24 2015 01: +0" 0.346 100
"Sep 25 2015 01: +0" 0.34 187
"Sep 26 2015 01: +0" 0.371 189
"Sep 27 2015 01: +0" 0.386 131
"Sep 28 2015 01: +0" 0.387 102
"Sep 29 2015 01: +0" 0.358 105
"Sep 30 2015 01: +0" 0.361 102
"Oct 01 2015 01: +0" 0.367 105
"Oct 02 2015 01: +0" 0.358 144
"Oct 03 2015 01: +0" 0.35 215
"Oct 04 2015 01: +0" 0.356 139
"Oct 05 2015 01: +0" 0.342 154
"Oct 06 2015 01: +0" 0.335 156
"Oct 07 2015 01: +0" 0.324 190
"Oct 08 2015 01: +0" 0.325 187
"Oct 09 2015 01: +0" 0.329 164
"Oct 10 2015 01: +0" 0.327 198
"Oct 11 2015 01: +0" 0.325 161
"Oct 12 2015 01: +0" 0.31 177
"Oct 13 2015 01: +0" 0.304 181
"Oct 14 2015 01: +0" 0.318 132
"Oct 15 2015 01: +0" 0.326 106
"Oct 16 2015 01: +0" 0.324 82
"Oct 17 2015 01: +0" 0.319 219
"Oct 18 2015 01: +0" 0.321 157
"Oct 19 2015 01: +0" 0.321 83
"Oct 20 2015 01: +0" 0.308 159
"Oct 21 2015 01: +0" 0.259 221
"Oct 22 2015 01: +0" 0.27 102
"Oct 23 2015 01: +0" 0.278 143
"Oct 24 2015 01: +0" 0.284 152
"Oct 25 2015 01: +0" 0.297 139
"Oct 26 2015 01: +0" 0.283 144
"Oct 27 2015 01: +0" 0.274 86
"Oct 28 2015 01: +0" 0.276 89
"Oct 29 2015 01: +0" 0.279 73
"Oct 30 2015 01: +0" 0.272 96
"Oct 31 2015 01: +0" 0.268 89
"Nov 01 2015 01: +0" 0.245 116
"Nov 02 2015 01: +0" 0.236 65
"Nov 03 2015 01: +0" 0.247 51
"Nov 04 2015 01: +0" 0.266 34
"Nov 05 2015 01: +0" 0.252 41
"Nov 06 2015 01: +0" 0.243 56
"Nov 07 2015 01: +0" 0.247 61
"Nov 08 2015 01: +0" 0.238 51
"Nov 09 2015 01: +0" 0.224 50
"Nov 10 2015 01: +0" 0.231 38
"Nov 11 2015 01: +0" 0.248 33
"Nov 12 2015 01: +0" 0.228 43
"Nov 13 2015 01: +0" 0.234 57
"Nov 14 2015 01: +0" 0.248 49
"Nov 15 2015 01: +0" 0.251 64
"Nov 16 2015 01: +0" 0.239 56
"Nov 17 2015 01: +0" 0.245 48
"Nov 18 2015 01: +0" 0.233 43
"Nov 19 2015 01: +0" 0.234 45
"Nov 20 2015 01: +0" 0.251 42
"Nov 21 2015 01: +0" 0.251 55
"Nov 22 2015 01: +0" 0.247 38
"Nov 23 2015 01: +0" 0.237 40
"Nov 24 2015 01: +0" 0.237 61
"Nov 25 2015 01: +0" 0.248 83
"Nov 26 2015 01: +0" 0.222 56
"Nov 27 2015 01: +0" 0.213 75
"Nov 28 2015 01: +0" 0.228 66
"Nov 29 2015 01: +0" 0.236 49
"Nov 30 2015 01: +0" 0.231 63
"Dec 01 2015 01: +0" 0.218 62
"Dec 02 2015 01: +0" 0.241 38
"Dec 03 2015 01: +0" 0.228 60
"Dec 04 2015 01: +0" 0.229 92
"Dec 05 2015 01: +0" 0.244 108
"Dec 06 2015 01: +0" 0.257 75
"Dec 07 2015 01: +0" 0.254 89
"Dec 08 2015 01: +0" 0.246 91
"Dec 09 2015 01: +0" 0.263 108
"Dec 10 2015 01: +0" 0.269 91
"Dec 11 2015 01: +0" 0.286 90
"Dec 12 2015 01: +0" 0.288 106
"Dec 13 2015 01: +0" 0.3 83
"Dec 14 2015 01: +0" 0.277 140
"Dec 15 2015 01: +0" 0.301 60
"Dec 16 2015 01: +0" 0.308 48
"Dec 17 2015 01: +0" 0.3 66
"Dec 18 2015 01: +0" 0.302 88
"Dec 19 2015 01: +0" 0.305 92
"Dec 20 2015 01: +0" 0.307 125
"Dec 21 2015 01: +0" 0.288 127
"Dec 22 2015 01: +0" 0.302 82
"Dec 23 2015 01: +0" 0.294 55
"Dec 24 2015 01: +0" 0.299 49
"Dec 25 2015 01: +0" 0.328 51
"Dec 26 2015 01: +0" 0.325 56
"Dec 27 2015 01: +0" 0.316 55
"Dec 28 2015 01: +0" 0.31 55
"Dec 29 2015 01: +0" 0.322 76
"Dec 30 2015 01: +0" 0.318 86
"Dec 31 2015 01: +0" 0.336 38
"Jan 01 2016 01: +0" 0.327 66
"Jan 02 2016 01: +0" 0.345 48
"Jan 03 2016 01: +0" 0.299 113
"Jan 04 2016 01: +0" 0.314 71
"Jan 05 2016 01: +0" 0.337 40
"Jan 06 2016 01: +0" 0.327 73
"Jan 07 2016 01: +0" 0.34 81
"Jan 08 2016 01: +0" 0.36 71
"Jan 09 2016 01: +0" 0.388 243
"Jan 10 2016 01: +0" 0.449 30
"Jan 11 2016 01: +0" 0.464 37
"Jan 12 2016 01: +0" 0.441 26
"Jan 13 2016 01: +0" 0.437 31
"Jan 14 2016 01: +0" 0.41 60
"Jan 15 2016 01: +0" 0.406 69
"Jan 16 2016 01: +0" 0.436 83
"Jan 17 2016 01: +0" 0.448 42
"Jan 18 2016 01: +0" 0.468 50
"Jan 19 2016 01: +0" 0.457 99
"Jan 20 2016 01: +0" 0.457 26
"Jan 21 2016 01: +0" 0.445 24
"Jan 22 2016 01: +0" 0.439 67
"Jan 23 2016 01: +0" 0.466 58
"Jan 24 2016 01: +0" 0.462 97
