Jun 24 2016 01: +0,1.035,2
Jun 25 2016 01: +0,1.116,370
Jun 26 2016 01: +0,1.128,334
Jun 27 2016 01: +0,1.084,247
Jun 28 2016 01: +0,1.064,203
Jun 29 2016 01: +0,1.063,167
Jun 30 2016 01: +0,1.058,163
Jul 01 2016 01: +0,1.068,172
Jul 02 2016 01: +0,1.068,138
Jul 03 2016 01: +0,1.071,166
Jul 04 2016 01: +0,1.067,272
Jul 05 2016 01: +0,1.073,281
Jul 06 2016 01: +0,1.014,295
Jul 07 2016 01: +0,0.858,607
Jul 08 2016 01: +0,0.445,3442
Jul 09 2016 01: +0,0.308,3713
Jul 10 2016 01: +0,0.291,11215
Jul 11 2016 01: +0,0.286,2853
Jul 12 2016 01: +0,0.311,2043
Jul 13 2016 01: +0,0.315,1433
Jul 14 2016 01: +0,0.294,1371
Jul 15 2016 01: +0,0.295,1185
Jul 16 2016 01: +0,0.301,1237
Jul 17 2016 01: +0,0.309,1089
Jul 18 2016 01: +0,0.316,1028
Jul 19 2016 01: +0,0.318,981
Jul 20 2016 01: +0,0.31,843
Jul 21 2016 01: +0,0.307,694
Jul 22 2016 01: +0,0.309,688
Jul 23 2016 01: +0,0.312,691
Jul 24 2016 01: +0,0.306,764
Jul 25 2016 01: +0,0.309,684
Jul 26 2016 01: +0,0.313,707
Jul 27 2016 01: +0,0.316,625
Jul 28 2016 01: +0,0.327,650
Jul 29 2016 01: +0,0.335,673
Jul 30 2016 01: +0,0.339,611
Jul 31 2016 01: +0,0.345,634
Aug 01 2016 01: +0,0.342,576
Aug 02 2016 01: +0,0.344,546
Aug 03 2016 01: +0,0.351,524
Aug 04 2016 01: +0,0.342,479
Aug 05 2016 01: +0,0.343,512
Aug 06 2016 01: +0,0.344,510
Aug 07 2016 01: +0,0.346,536
Aug 08 2016 01: +0,0.342,477
Aug 09 2016 01: +0,0.338,443
Aug 10 2016 01: +0,0.35,408
Aug 11 2016 01: +0,0.352,436
Aug 12 2016 01: +0,0.345,380
Aug 13 2016 01: +0,0.342,470
Aug 14 2016 01: +0,0.349,469
Aug 15 2016 01: +0,0.339,376
Aug 16 2016 01: +0,0.34,477
Aug 17 2016 01: +0,0.339,406
Aug 18 2016 01: +0,0.343,359
Aug 19 2016 01: +0,0.356,521
Aug 20 2016 01: +0,0.367,535
Aug 21 2016 01: +0,0.378,429
Aug 22 2016 01: +0,0.39,405
Aug 23 2016 01: +0,0.373,406
Aug 24 2016 01: +0,0.375,407
Aug 25 2016 01: +0,0.365,364
Aug 26 2016 01: +0,0.373,405
Aug 27 2016 01: +0,0.381,424
Aug 28 2016 01: +0,0.383,371
Aug 29 2016 01: +0,0.401,400
Aug 30 2016 01: +0,0.395,338
Aug 31 2016 01: +0,0.396,362
Sep 01 2016 01: +0,0.399,330
Sep 02 2016 01: +0,0.401,313
Sep 03 2016 01: +0,0.403,371
Sep 04 2016 01: +0,0.398,372
Sep 05 2016 01: +0,0.402,382
Sep 06 2016 01: +0,0.408,315
Sep 07 2016 01: +0,0.414,322
Sep 08 2016 01: +0,0.409,326
Sep 09 2016 01: +0,0.421,349
Sep 10 2016 01: +0,0.432,414
Sep 11 2016 01: +0,0.435,400
Sep 12 2016 01: +0,0.432,284
Sep 13 2016 01: +0,0.428,270
Sep 14 2016 01: +0,0.415,299
Sep 15 2016 01: +0,0.438,323
Sep 16 2016 01: +0,0.438,333
Sep 17 2016 01: +0,0.442,382
Sep 18 2016 01: +0,0.427,315
Sep 19 2016 01: +0,0.434,241
Sep 20 2016 01: +0,0.446,240
