"Jun 25 2016 01: +0" 1.111 81
"Jun 26 2016 01: +0" 1.074 47
"Jun 27 2016 01: +0" 1.02 48
"Jun 28 2016 01: +0" 1.014 33
"Jun 29 2016 01: +0" 1.003 33
"Jun 30 2016 01: +0" 1.02 33
"Jul 01 2016 01: +0" 1.008 30
"Jul 02 2016 01: +0" 1.067 38
"Jul 03 2016 01: +0" 1.056 28
"Jul 04 2016 01: +0" 1.036 55
"Jul 05 2016 01: +0" 1.032 155
"Jul 06 2016 01: +0" 1.033 191
"Jul 07 2016 01: +0" 0.49 1384
"Jul 08 2016 01: +0" 0.343 1899
"Jul 09 2016 01: +0" 0.311 1864
"Jul 10 2016 01: +0" 0.295 7680
"Jul 11 2016 01: +0" 0.283 1976
"Jul 12 2016 01: +0" 0.31 1336
"Jul 13 2016 01: +0" 0.312 993
"Jul 14 2016 01: +0" 0.294 947
"Jul 15 2016 01: +0" 0.293 840
"Jul 16 2016 01: +0" 0.31 794
"Jul 17 2016 01: +0" 0.321 625
"Jul 18 2016 01: +0" 0.32 636
"Jul 19 2016 01: +0" 0.308 573
"Jul 20 2016 01: +0" 0.308 580
"Jul 21 2016 01: +0" 0.303 552
"Jul 22 2016 01: +0" 0.312 482
"Jul 23 2016 01: +0" 0.311 500
"Jul 24 2016 01: +0" 0.31 488
"Jul 25 2016 01: +0" 0.314 452
"Jul 26 2016 01: +0" 0.327 478
"Jul 27 2016 01: +0" 0.334 441
"Jul 28 2016 01: +0" 0.344 346
"Jul 29 2016 01: +0" 0.345 409
"Jul 30 2016 01: +0" 0.347 334
"Jul 31 2016 01: +0" 0.345 356
"Aug 01 2016 01: +0" 0.342 364
"Aug 02 2016 01: +0" 0.349 357
"Aug 03 2016 01: +0" 0.35 290
"Aug 04 2016 01: +0" 0.34 316
"Aug 05 2016 01: +0" 0.336 307
"Aug 06 2016 01: +0" 0.331 332
"Aug 07 2016 01: +0" 0.322 332
"Aug 08 2016 01: +0" 0.327 309
"Aug 09 2016 01: +0" 0.33 292
"Aug 10 2016 01: +0" 0.331 285
"Aug 11 2016 01: +0" 0.332 300
"Aug 12 2016 01: +0" 0.332 280
"Aug 13 2016 01: +0" 0.335 250
"Aug 14 2016 01: +0" 0.329 271
"Aug 15 2016 01: +0" 0.325 336
"Aug 16 2016 01: +0" 0.331 367
"Aug 17 2016 01: +0" 0.335 276
"Aug 18 2016 01: +0" 0.347 287
"Aug 19 2016 01: +0" 0.348 297
"Aug 20 2016 01: +0" 0.355 274
"Aug 21 2016 01: +0" 0.352 301
"Aug 22 2016 01: +0" 0.354 269
"Aug 23 2016 01: +0" 0.362 243
"Aug 24 2016 01: +0" 0.373 257
"Aug 25 2016 01: +0" 0.378 233
"Aug 26 2016 01: +0" 0.386 255
"Aug 27 2016 01: +0" 0.384 272
"Aug 28 2016 01: +0" 0.384 281
"Aug 29 2016 01: +0" 0.378 288
"Aug 30 2016 01: +0" 0.395 200
"Aug 31 2016 01: +0" 0.386 214
"Sep 01 2016 01: +0" 0.391 215
