Jun 24 2016 01: +0,1.624,2
Jun 25 2016 01: +0,1.095,188
Jun 26 2016 01: +0,1.093,108
Jun 27 2016 01: +0,1.088,110
Jun 28 2016 01: +0,1.056,105
Jun 29 2016 01: +0,1.065,89
Jun 30 2016 01: +0,1.235,87
Jul 01 2016 01: +0,1.023,112
Jul 02 2016 01: +0,1.084,67
Jul 03 2016 01: +0,1.059,70
Jul 04 2016 01: +0,1.062,127
Jul 05 2016 01: +0,1.068,171
Jul 06 2016 01: +0,1.016,271
Jul 07 2016 01: +0,1.007,301
Jul 08 2016 01: +0,0.576,1902
Jul 09 2016 01: +0,0.568,2123
Jul 10 2016 01: +0,0.385,19779
Jul 11 2016 01: +0,0.284,5700
Jul 12 2016 01: +0,0.308,3391
Jul 13 2016 01: +0,0.304,2130
Jul 14 2016 01: +0,0.277,2266
Jul 15 2016 01: +0,0.279,1901
Jul 16 2016 01: +0,0.29,1854
Jul 17 2016 01: +0,0.298,1441
Jul 18 2016 01: +0,0.286,1540
Jul 19 2016 01: +0,0.277,1627
Jul 20 2016 01: +0,0.277,1384
Jul 21 2016 01: +0,0.278,1298
Jul 22 2016 01: +0,0.274,1164
Jul 23 2016 01: +0,0.28,1127
Jul 24 2016 01: +0,0.28,1154
Jul 25 2016 01: +0,0.286,1103
Jul 26 2016 01: +0,0.288,1104
Jul 27 2016 01: +0,0.288,974
Jul 28 2016 01: +0,0.297,1146
Jul 29 2016 01: +0,0.295,1063
Jul 30 2016 01: +0,0.296,1041
Jul 31 2016 01: +0,0.299,932
Aug 01 2016 01: +0,0.295,872
Aug 02 2016 01: +0,0.306,822
Aug 03 2016 01: +0,0.298,832
Aug 04 2016 01: +0,0.301,808
Aug 05 2016 01: +0,0.305,735
Aug 06 2016 01: +0,0.301,729
Aug 07 2016 01: +0,0.306,727
Aug 08 2016 01: +0,0.3,803
Aug 09 2016 01: +0,0.303,586
Aug 10 2016 01: +0,0.295,686
Aug 11 2016 01: +0,0.298,653
Aug 12 2016 01: +0,0.297,655
Aug 13 2016 01: +0,0.297,664
Aug 14 2016 01: +0,0.297,670
Aug 15 2016 01: +0,0.296,659
Aug 16 2016 01: +0,0.302,636
Aug 17 2016 01: +0,0.304,706
Aug 18 2016 01: +0,0.309,678
Aug 19 2016 01: +0,0.306,795
Aug 20 2016 01: +0,0.315,679
Aug 21 2016 01: +0,0.309,681
Aug 22 2016 01: +0,0.314,694
Aug 23 2016 01: +0,0.316,546
Aug 24 2016 01: +0,0.315,646
Aug 25 2016 01: +0,0.315,711
Aug 26 2016 01: +0,0.332,676
Aug 27 2016 01: +0,0.334,734
Aug 28 2016 01: +0,0.338,616
Aug 29 2016 01: +0,0.342,613
Aug 30 2016 01: +0,0.343,536
Aug 31 2016 01: +0,0.347,527
Sep 01 2016 01: +0,0.345,499
Sep 02 2016 01: +0,0.342,650
Sep 03 2016 01: +0,0.356,577
Sep 04 2016 01: +0,0.352,523
Sep 05 2016 01: +0,0.354,486
Sep 06 2016 01: +0,0.364,412
Sep 07 2016 01: +0,0.361,428
Sep 08 2016 01: +0,0.364,411
Sep 09 2016 01: +0,0.361,511
Sep 10 2016 01: +0,0.361,601
Sep 11 2016 01: +0,0.369,595
Sep 12 2016 01: +0,0.371,360
Sep 13 2016 01: +0,0.373,342
Sep 14 2016 01: +0,0.373,320
Sep 15 2016 01: +0,0.364,346
Sep 16 2016 01: +0,0.361,472
Sep 17 2016 01: +0,0.372,497
Sep 18 2016 01: +0,0.369,418
Sep 19 2016 01: +0,0.371,359
Sep 20 2016 01: +0,0.365,300
Sep 21 2016 01: +0,0.362,339
Sep 22 2016 01: +0,0.364,366
Sep 23 2016 01: +0,0.361,483
Sep 24 2016 01: +0,0.366,434
Sep 25 2016 01: +0,0.363,404
Sep 26 2016 01: +0,0.363,357
Sep 27 2016 01: +0,0.369,290
Sep 28 2016 01: +0,0.371,301
Sep 29 2016 01: +0,0.36,372
Sep 30 2016 01: +0,0.346,509
Oct 01 2016 01: +0,0.359,512
Oct 02 2016 01: +0,0.366,501
Oct 03 2016 01: +0,0.358,378
