Jun 25 2016 01: +0,1.101,147
Jun 26 2016 01: +0,1.082,101
Jun 27 2016 01: +0,1.076,102
Jun 28 2016 01: +0,1.058,84
Jun 29 2016 01: +0,1.057,77
Jun 30 2016 01: +0,1.078,86
Jul 01 2016 01: +0,1.074,84
Jul 02 2016 01: +0,1.055,60
Jul 03 2016 01: +0,1.066,82
Jul 04 2016 01: +0,1.048,114
Jul 05 2016 01: +0,1.068,158
Jul 06 2016 01: +0,0.862,427
Jul 07 2016 01: +0,0.874,450
Jul 08 2016 01: +0,0.98,366
Jul 09 2016 01: +0,0.542,3470
Jul 10 2016 01: +0,0.289,9537
Jul 11 2016 01: +0,0.279,2599
Jul 12 2016 01: +0,0.306,2427
Jul 13 2016 01: +0,0.324,1465
Jul 14 2016 01: +0,0.317,1548
Jul 15 2016 01: +0,0.313,1176
Jul 16 2016 01: +0,0.319,1146
Jul 17 2016 01: +0,0.321,1058
Jul 18 2016 01: +0,0.322,1129
Jul 19 2016 01: +0,0.312,1004
Jul 20 2016 01: +0,0.311,802
Jul 21 2016 01: +0,0.31,799
Jul 22 2016 01: +0,0.313,739
Jul 23 2016 01: +0,0.319,726
Jul 24 2016 01: +0,0.323,804
Jul 25 2016 01: +0,0.325,773
Jul 26 2016 01: +0,0.339,769
Jul 27 2016 01: +0,0.337,679
Jul 28 2016 01: +0,0.34,617
Jul 29 2016 01: +0,0.349,742
Jul 30 2016 01: +0,0.374,729
Jul 31 2016 01: +0,0.393,674
Aug 01 2016 01: +0,0.39,674
Aug 02 2016 01: +0,0.394,603
Aug 03 2016 01: +0,0.386,611
Aug 04 2016 01: +0,0.365,491
Aug 05 2016 01: +0,0.37,494
Aug 06 2016 01: +0,0.371,530
Aug 07 2016 01: +0,0.365,571
Aug 08 2016 01: +0,0.374,472
Aug 09 2016 01: +0,0.372,457
Aug 10 2016 01: +0,0.375,409
Aug 11 2016 01: +0,0.373,417
Aug 12 2016 01: +0,0.375,414
Aug 13 2016 01: +0,0.376,399
Aug 14 2016 01: +0,0.391,471
Aug 15 2016 01: +0,0.389,410
Aug 16 2016 01: +0,0.392,455
Aug 17 2016 01: +0,0.401,458
Aug 18 2016 01: +0,0.408,432
Aug 19 2016 01: +0,0.406,453
Aug 20 2016 01: +0,0.411,430
Aug 21 2016 01: +0,0.398,437
Aug 22 2016 01: +0,0.41,496
Aug 23 2016 01: +0,0.42,382
Aug 24 2016 01: +0,0.421,398
Aug 25 2016 01: +0,0.416,442
Aug 26 2016 01: +0,0.425,420
Aug 27 2016 01: +0,0.432,487
Aug 28 2016 01: +0,0.438,397
Aug 29 2016 01: +0,0.442,393
Aug 30 2016 01: +0,0.442,364
Aug 31 2016 01: +0,0.434,364
Sep 01 2016 01: +0,0.459,437
Sep 02 2016 01: +0,0.456,275
Sep 03 2016 01: +0,0.471,324
Sep 04 2016 01: +0,0.469,278
Sep 05 2016 01: +0,0.454,240
Sep 06 2016 01: +0,0.457,214
Sep 07 2016 01: +0,0.447,268
Sep 08 2016 01: +0,0.47,242
Sep 09 2016 01: +0,0.463,302
Sep 10 2016 01: +0,0.468,344
Sep 11 2016 01: +0,0.46,336
Sep 12 2016 01: +0,0.457,272
Sep 13 2016 01: +0,0.446,208
Sep 14 2016 01: +0,0.445,275
Sep 15 2016 01: +0,0.446,270
Sep 16 2016 01: +0,0.458,329
Sep 17 2016 01: +0,0.457,351
Sep 18 2016 01: +0,0.455,374
Sep 19 2016 01: +0,0.478,424
Sep 20 2016 01: +0,0.48,269
Sep 21 2016 01: +0,0.48,288
Sep 22 2016 01: +0,0.48,255
Sep 23 2016 01: +0,0.491,282
Sep 24 2016 01: +0,0.497,349
Sep 25 2016 01: +0,0.506,272
Sep 26 2016 01: +0,0.526,217
Sep 27 2016 01: +0,0.528,185
Sep 28 2016 01: +0,0.521,219
Sep 29 2016 01: +0,0.498,214
Sep 30 2016 01: +0,0.489,290
Oct 01 2016 01: +0,0.511,332
Oct 02 2016 01: +0,0.517,277
Oct 03 2016 01: +0,0.528,296
Oct 04 2016 01: +0,0.54,240
Oct 05 2016 01: +0,0.531,193
Oct 06 2016 01: +0,0.502,264
Oct 07 2016 01: +0,0.503,308
Oct 08 2016 01: +0,0.519,347
Oct 09 2016 01: +0,0.504,314
Oct 10 2016 01: +0,0.515,232
Oct 11 2016 01: +0,0.499,190
Oct 12 2016 01: +0,0.49,230
Oct 13 2016 01: +0,0.48,204
Oct 14 2016 01: +0,0.506,230
Oct 15 2016 01: +0,0.513,240
Oct 16 2016 01: +0,0.506,241
Oct 17 2016 01: +0,0.517,195
Oct 18 2016 01: +0,0.513,170
Oct 19 2016 01: +0,0.513,200
Oct 20 2016 01: +0,0.52,177
Oct 21 2016 01: +0,0.508,172
Oct 22 2016 01: +0,0.514,265
Oct 23 2016 01: +0,0.522,254
Oct 24 2016 01: +0,0.518,175
Oct 25 2016 01: +0,0.523,179
Oct 26 2016 01: +0,0.521,151
Oct 27 2016 01: +0,0.528,158
Oct 28 2016 01: +0,0.509,176
Oct 29 2016 01: +0,0.501,239
Oct 30 2016 01: +0,0.511,179
Oct 31 2016 01: +0,0.512,168
Nov 01 2016 01: +0,0.482,170
Nov 02 2016 01: +0,0.504,164
Nov 03 2016 01: +0,0.515,122
Nov 04 2016 01: +0,0.527,219
Nov 05 2016 01: +0,0.521,232
Nov 06 2016 01: +0,0.509,193
Nov 07 2016 01: +0,0.502,151
Nov 08 2016 01: +0,0.487,159
Nov 09 2016 01: +0,0.488,147
Nov 10 2016 01: +0,0.487,186
Nov 11 2016 01: +0,0.496,176
Nov 12 2016 01: +0,0.506,281
Nov 13 2016 01: +0,0.501,232
Nov 14 2016 01: +0,0.491,147
Nov 15 2016 01: +0,0.499,182
Nov 16 2016 01: +0,0.491,120
