"Jun 25 2016 01: +0" 1.114 142
"Jun 26 2016 01: +0" 1.089 83
"Jun 27 2016 01: +0" 1.073 75
"Jun 28 2016 01: +0" 1.064 94
"Jun 29 2016 01: +0" 1.063 56
"Jun 30 2016 01: +0" 1.071 88
"Jul 01 2016 01: +0" 1.056 65
"Jul 02 2016 01: +0" 1.062 62
"Jul 03 2016 01: +0" 1.075 73
"Jul 04 2016 01: +0" 1.073 86
"Jul 05 2016 01: +0" 1.082 144
"Jul 06 2016 01: +0" 0.982 249
"Jul 07 2016 01: +0" 0.59 986
"Jul 08 2016 01: +0" 0.289 2092
"Jul 09 2016 01: +0" 0.286 1575
"Jul 10 2016 01: +0" 0.29 4390
"Jul 11 2016 01: +0" 0.281 1277
"Jul 12 2016 01: +0" 0.297 942
"Jul 13 2016 01: +0" 0.309 620
"Jul 14 2016 01: +0" 0.288 653
"Jul 15 2016 01: +0" 0.285 687
"Jul 16 2016 01: +0" 0.295 616
"Jul 17 2016 01: +0" 0.305 532
"Jul 18 2016 01: +0" 0.308 474
"Jul 19 2016 01: +0" 0.303 527
"Jul 20 2016 01: +0" 0.292 407
"Jul 21 2016 01: +0" 0.293 399
"Jul 22 2016 01: +0" 0.291 381
"Jul 23 2016 01: +0" 0.299 458
"Jul 24 2016 01: +0" 0.298 418
"Jul 25 2016 01: +0" 0.305 367
"Jul 26 2016 01: +0" 0.317 347
"Jul 27 2016 01: +0" 0.325 310
"Jul 28 2016 01: +0" 0.33 294
"Jul 29 2016 01: +0" 0.343 265
"Jul 30 2016 01: +0" 0.334 336
"Jul 31 2016 01: +0" 0.328 329
"Aug 01 2016 01: +0" 0.329 347
"Aug 02 2016 01: +0" 0.339 275
"Aug 03 2016 01: +0" 0.336 234
"Aug 04 2016 01: +0" 0.321 293
"Aug 05 2016 01: +0" 0.332 269
"Aug 06 2016 01: +0" 0.32 361
"Aug 07 2016 01: +0" 0.315 280
"Aug 08 2016 01: +0" 0.317 248
"Aug 09 2016 01: +0" 0.322 209
"Aug 10 2016 01: +0" 0.326 269
"Aug 11 2016 01: +0" 0.324 208
"Aug 12 2016 01: +0" 0.324 229
"Aug 13 2016 01: +0" 0.326 226
"Aug 14 2016 01: +0" 0.324 225
"Aug 15 2016 01: +0" 0.325 246
"Aug 16 2016 01: +0" 0.325 252
"Aug 17 2016 01: +0" 0.33 203
"Aug 18 2016 01: +0" 0.327 228
"Aug 19 2016 01: +0" 0.335 265
"Aug 20 2016 01: +0" 0.339 248
"Aug 21 2016 01: +0" 0.341 212
"Aug 22 2016 01: +0" 0.361 245
"Aug 23 2016 01: +0" 0.377 258
"Aug 24 2016 01: +0" 0.388 194
"Aug 25 2016 01: +0" 0.378 223
"Aug 26 2016 01: +0" 0.382 217
"Aug 27 2016 01: +0" 0.383 222
"Aug 28 2016 01: +0" 0.393 211
"Aug 29 2016 01: +0" 0.391 187
"Aug 30 2016 01: +0" 0.4 188
"Aug 31 2016 01: +0" 0.395 172
"Sep 01 2016 01: +0" 0.396 191
"Sep 02 2016 01: +0" 0.395 193
"Sep 03 2016 01: +0" 0.403 204
"Sep 04 2016 01: +0" 0.387 211
"Sep 05 2016 01: +0" 0.397 155
"Sep 06 2016 01: +0" 0.397 132
"Sep 07 2016 01: +0" 0.414 168
"Sep 08 2016 01: +0" 0.42 173
"Sep 09 2016 01: +0" 0.43 148
"Sep 10 2016 01: +0" 0.415 151
"Sep 11 2016 01: +0" 0.412 249
"Sep 12 2016 01: +0" 0.414 179
"Sep 13 2016 01: +0" 0.417 137
"Sep 14 2016 01: +0" 0.422 147
"Sep 15 2016 01: +0" 0.435 158
"Sep 16 2016 01: +0" 0.431 148
"Sep 17 2016 01: +0" 0.407 148
"Sep 18 2016 01: +0" 0.415 185
