Nov 21 2014 01: +0,0.982,75
Nov 22 2014 01: +0,0.981,43
Nov 23 2014 01: +0,0.976,23
Nov 24 2014 01: +0,0.964,31
Nov 25 2014 01: +0,0.956,21
Nov 26 2014 01: +0,0.981,29
Nov 27 2014 01: +0,0.945,44
Nov 28 2014 01: +0,0.729,62
Nov 29 2014 01: +0,0.391,550
Nov 30 2014 01: +0,0.243,814
Dec 01 2014 01: +0,0.241,555
Dec 02 2014 01: +0,0.48,372
Dec 03 2014 01: +0,0.909,169
Dec 04 2014 01: +0,0.757,130
Dec 05 2014 01: +0,0.643,122
Dec 06 2014 01: +0,0.645,108
Dec 07 2014 01: +0,0.579,163
Dec 08 2014 01: +0,0.492,130
Dec 09 2014 01: +0,0.661,135
Dec 10 2014 01: +0,0.627,77
Dec 11 2014 01: +0,0.599,62
Dec 12 2014 01: +0,0.504,73
Dec 13 2014 01: +0,0.497,129
Dec 14 2014 01: +0,0.568,64
Dec 15 2014 01: +0,0.509,52
Dec 16 2014 01: +0,0.531,94
Dec 17 2014 01: +0,0.532,39
Dec 18 2014 01: +0,0.459,51
Dec 19 2014 01: +0,0.479,84
Dec 20 2014 01: +0,0.624,124
Dec 21 2014 01: +0,0.768,80
Dec 22 2014 01: +0,0.651,48
Dec 23 2014 01: +0,0.527,28
Dec 24 2014 01: +0,0.554,27
Dec 25 2014 01: +0,0.624,56
Dec 26 2014 01: +0,0.685,49
Dec 27 2014 01: +0,0.723,55
Dec 28 2014 01: +0,0.698,34
Dec 29 2014 01: +0,0.732,37
Dec 30 2014 01: +0,0.748,27
Dec 31 2014 01: +0,0.68,59
Jan 01 2015 01: +0,0.692,29
Jan 02 2015 01: +0,0.614,45
Jan 03 2015 01: +0,0.625,47
Jan 04 2015 01: +0,0.677,41
Jan 05 2015 01: +0,0.956,60
Jan 06 2015 01: +0,0.96,69
Jan 07 2015 01: +0,0.922,20
Jan 08 2015 01: +0,0.875,21
Jan 09 2015 01: +0,0.841,30
Jan 10 2015 01: +0,0.775,60
Jan 11 2015 01: +0,0.819,25
Jan 12 2015 01: +0,0.698,100
Jan 13 2015 01: +0,0.647,34
Jan 14 2015 01: +0,0.695,31
Jan 15 2015 01: +0,0.707,50
Jan 16 2015 01: +0,0.654,38
Jan 17 2015 01: +0,0.721,38
Jan 18 2015 01: +0,0.691,38
Jan 19 2015 01: +0,0.673,42
Jan 20 2015 01: +0,0.669,37
Jan 21 2015 01: +0,0.649,20
Jan 22 2015 01: +0,0.681,18
Jan 23 2015 01: +0,0.659,22
Jan 24 2015 01: +0,0.638,97
Jan 25 2015 01: +0,0.657,28
Jan 26 2015 01: +0,0.613,52
Jan 27 2015 01: +0,0.653,30
Jan 28 2015 01: +0,0.664,24
Jan 29 2015 01: +0,0.675,28
Jan 30 2015 01: +0,0.629,37
Jan 31 2015 01: +0,0.639,39
Feb 01 2015 01: +0,0.646,45
