Nov 21 2014 01: +0,1.019,99
Nov 22 2014 01: +0,1.005,67
Nov 23 2014 01: +0,0.987,37
Nov 24 2014 01: +0,0.984,33
Nov 25 2014 01: +0,0.981,29
Nov 26 2014 01: +0,0.985,38
Nov 27 2014 01: +0,0.953,60
Nov 28 2014 01: +0,0.5,570
Nov 29 2014 01: +0,0.282,654
Nov 30 2014 01: +0,0.235,774
Dec 01 2014 01: +0,0.234,557
Dec 02 2014 01: +0,0.339,520
Dec 03 2014 01: +0,0.589,264
Dec 04 2014 01: +0,0.492,176
Dec 05 2014 01: +0,0.405,199
Dec 06 2014 01: +0,0.451,212
Dec 07 2014 01: +0,0.412,185
Dec 08 2014 01: +0,0.4,150
Dec 09 2014 01: +0,0.424,139
Dec 10 2014 01: +0,0.39,136
Dec 11 2014 01: +0,0.433,176
Dec 12 2014 01: +0,0.389,217
Dec 13 2014 01: +0,0.389,162
Dec 14 2014 01: +0,0.422,159
Dec 15 2014 01: +0,0.424,127
Dec 16 2014 01: +0,0.419,117
Dec 17 2014 01: +0,0.418,98
Dec 18 2014 01: +0,0.414,104
Dec 19 2014 01: +0,0.441,140
Dec 20 2014 01: +0,0.489,105
Dec 21 2014 01: +0,0.491,128
Dec 22 2014 01: +0,0.619,103
Dec 23 2014 01: +0,0.561,79
Dec 24 2014 01: +0,0.554,82
Dec 25 2014 01: +0,0.639,90
Dec 26 2014 01: +0,0.64,95
Dec 27 2014 01: +0,0.804,120
Dec 28 2014 01: +0,1.096,143
Dec 29 2014 01: +0,0.693,171
Dec 30 2014 01: +0,0.65,71
Dec 31 2014 01: +0,0.639,57
Jan 01 2015 01: +0,0.58,71
Jan 02 2015 01: +0,0.559,75
Jan 03 2015 01: +0,0.617,76
Jan 04 2015 01: +0,0.664,78
Jan 05 2015 01: +0,0.651,74
Jan 06 2015 01: +0,0.695,60
Jan 07 2015 01: +0,0.664,60
Jan 08 2015 01: +0,0.699,53
Jan 09 2015 01: +0,0.721,101
Jan 10 2015 01: +0,0.728,80
Jan 11 2015 01: +0,0.739,65
Jan 12 2015 01: +0,0.727,59
Jan 13 2015 01: +0,0.714,53
Jan 14 2015 01: +0,0.727,74
Jan 15 2015 01: +0,0.713,72
Jan 16 2015 01: +0,0.827,110
Jan 17 2015 01: +0,0.829,65
Jan 18 2015 01: +0,0.822,87
Jan 19 2015 01: +0,0.857,71
Jan 20 2015 01: +0,0.848,68
Jan 21 2015 01: +0,0.803,50
Jan 22 2015 01: +0,0.775,71
Jan 23 2015 01: +0,0.777,62
Jan 24 2015 01: +0,0.713,84
Jan 25 2015 01: +0,0.775,52
Jan 26 2015 01: +0,0.748,68
Jan 27 2015 01: +0,0.772,64
Jan 28 2015 01: +0,0.737,61
Jan 29 2015 01: +0,0.801,53
Jan 30 2015 01: +0,0.752,78
Jan 31 2015 01: +0,0.719,50
Feb 01 2015 01: +0,0.704,75
Feb 02 2015 01: +0,0.721,50
Feb 03 2015 01: +0,0.684,63
Feb 04 2015 01: +0,0.637,86
Feb 05 2015 01: +0,0.661,55
Feb 06 2015 01: +0,0.708,83
Feb 07 2015 01: +0,0.844,120
Feb 08 2015 01: +0,0.798,77
Feb 09 2015 01: +0,0.811,80
Feb 10 2015 01: +0,0.832,53
Feb 11 2015 01: +0,0.886,41
Feb 12 2015 01: +0,0.844,45
Feb 13 2015 01: +0,0.811,33
Feb 14 2015 01: +0,0.781,39
Feb 15 2015 01: +0,0.754,46
Feb 16 2015 01: +0,0.726,54
Feb 17 2015 01: +0,0.747,44
Feb 18 2015 01: +0,0.715,45
Feb 19 2015 01: +0,0.7,38
Feb 20 2015 01: +0,0.7,53
Feb 21 2015 01: +0,0.71,50
Feb 22 2015 01: +0,0.741,40
Feb 23 2015 01: +0,0.745,62
Feb 24 2015 01: +0,0.726,43
Feb 25 2015 01: +0,0.701,41
Feb 26 2015 01: +0,0.705,44
Feb 27 2015 01: +0,0.581,86
Feb 28 2015 01: +0,0.561,63
Mar 01 2015 01: +0,0.61,43
Mar 02 2015 01: +0,0.57,34
Mar 03 2015 01: +0,0.608,32
Mar 04 2015 01: +0,0.582,37
Mar 05 2015 01: +0,0.631,25
Mar 06 2015 01: +0,0.624,36
Mar 07 2015 01: +0,0.597,44
Mar 08 2015 01: +0,0.622,39
Mar 09 2015 01: +0,0.585,42
Mar 10 2015 01: +0,0.572,41
Mar 11 2015 01: +0,0.559,45
Mar 12 2015 01: +0,0.574,42
Mar 13 2015 01: +0,0.592,51
Mar 14 2015 01: +0,0.546,50
Mar 15 2015 01: +0,0.491,66
Mar 16 2015 01: +0,0.455,48
Mar 17 2015 01: +0,0.507,44
Mar 18 2015 01: +0,0.494,16
Mar 19 2015 01: +0,0.532,39
Mar 20 2015 01: +0,0.554,15
Mar 21 2015 01: +0,0.553,22
Mar 22 2015 01: +0,0.538,30
Mar 23 2015 01: +0,0.571,14
Mar 24 2015 01: +0,0.53,11
Mar 25 2015 01: +0,0.541,18
Mar 26 2015 01: +0,0.548,21
Mar 27 2015 01: +0,0.539,23
Mar 28 2015 01: +0,0.522,20
Mar 29 2015 01: +0,0.523,21
Mar 30 2015 01: +0,0.531,47
Mar 31 2015 01: +0,0.52,34
Apr 01 2015 01: +0,0.522,23
Apr 02 2015 01: +0,0.51,45
Apr 03 2015 01: +0,0.489,55
Apr 04 2015 01: +0,0.539,31
Apr 05 2015 01: +0,0.541,25
Apr 06 2015 01: +0,0.531,45
Apr 07 2015 01: +0,0.552,30
Apr 08 2015 01: +0,0.586,40
Apr 09 2015 01: +0,0.605,22
Apr 10 2015 01: +0,0.599,23
Apr 11 2015 01: +0,0.648,23
Apr 12 2015 01: +0,0.607,22
Apr 13 2015 01: +0,0.563,24
Apr 14 2015 01: +0,0.575,32
Apr 15 2015 01: +0,0.542,25
Apr 16 2015 01: +0,0.527,30
Apr 17 2015 01: +0,0.529,24
Apr 18 2015 01: +0,0.553,32
Apr 19 2015 01: +0,0.563,32
Apr 20 2015 01: +0,0.549,26
Apr 21 2015 01: +0,0.553,19
Apr 22 2015 01: +0,0.57,23
Apr 23 2015 01: +0,0.547,30
Apr 24 2015 01: +0,0.6,28
Apr 25 2015 01: +0,0.611,34
Apr 26 2015 01: +0,0.609,28
Apr 27 2015 01: +0,0.595,24
Apr 28 2015 01: +0,0.583,27
Apr 29 2015 01: +0,0.615,45
Apr 30 2015 01: +0,0.663,26
May 01 2015 01: +0,0.655,34
May 02 2015 01: +0,0.677,24
May 03 2015 01: +0,0.622,16
May 04 2015 01: +0,0.657,20
May 05 2015 01: +0,0.709,20
May 06 2015 01: +0,0.726,14
May 07 2015 01: +0,0.704,20
May 08 2015 01: +0,0.708,18
May 09 2015 01: +0,0.768,20
May 10 2015 01: +0,0.773,19
May 11 2015 01: +0,0.814,15
May 12 2015 01: +0,0.817,10
May 13 2015 01: +0,0.807,13
May 14 2015 01: +0,0.762,17
May 15 2015 01: +0,0.813,16
May 16 2015 01: +0,0.906,34
May 17 2015 01: +0,0.815,21
May 18 2015 01: +0,0.869,15
May 19 2015 01: +0,0.958,9
May 20 2015 01: +0,0.849,15
May 21 2015 01: +0,0.821,15
May 22 2015 01: +0,0.851,19
May 23 2015 01: +0,0.928,19
