Nov 21 2014 01: +0,1.004,320
Nov 22 2014 01: +0,1.017,272
Nov 23 2014 01: +0,1.006,148
Nov 24 2014 01: +0,1.014,178
Nov 25 2014 01: +0,1.019,160
Nov 26 2014 01: +0,1.015,265
Nov 27 2014 01: +0,1.02,273
Nov 28 2014 01: +0,0.723,1064
Nov 29 2014 01: +0,0.395,3687
Nov 30 2014 01: +0,0.236,6066
Dec 01 2014 01: +0,0.231,2676
Dec 02 2014 01: +0,0.288,2078
Dec 03 2014 01: +0,0.315,1610
Dec 04 2014 01: +0,0.269,1983
Dec 05 2014 01: +0,0.282,1678
Dec 06 2014 01: +0,0.32,1574
Dec 07 2014 01: +0,0.313,1502
Dec 08 2014 01: +0,0.312,1199
Dec 09 2014 01: +0,0.305,1108
Dec 10 2014 01: +0,0.293,1198
Dec 11 2014 01: +0,0.302,1117
Dec 12 2014 01: +0,0.286,1104
Dec 13 2014 01: +0,0.293,1372
Dec 14 2014 01: +0,0.299,1160
Dec 15 2014 01: +0,0.296,947
Dec 16 2014 01: +0,0.268,932
Dec 17 2014 01: +0,0.298,869
Dec 18 2014 01: +0,0.304,868
Dec 19 2014 01: +0,0.304,941
Dec 20 2014 01: +0,0.309,978
Dec 21 2014 01: +0,0.315,893
Dec 22 2014 01: +0,0.321,837
Dec 23 2014 01: +0,0.328,742
Dec 24 2014 01: +0,0.364,676
Dec 25 2014 01: +0,0.402,642
Dec 26 2014 01: +0,0.398,743
Dec 27 2014 01: +0,0.42,685
Dec 28 2014 01: +0,0.443,710
Dec 29 2014 01: +0,0.44,696
Dec 30 2014 01: +0,0.461,757
Dec 31 2014 01: +0,0.497,607
Jan 01 2015 01: +0,0.483,586
Jan 02 2015 01: +0,0.492,642
Jan 03 2015 01: +0,0.517,608
Jan 04 2015 01: +0,0.515,579
Jan 05 2015 01: +0,0.537,556
Jan 06 2015 01: +0,0.545,519
Jan 07 2015 01: +0,0.573,383
Jan 08 2015 01: +0,0.621,391
Jan 09 2015 01: +0,0.591,548
Jan 10 2015 01: +0,0.592,494
Jan 11 2015 01: +0,0.601,539
Jan 12 2015 01: +0,0.646,444
Jan 13 2015 01: +0,0.615,420
Jan 14 2015 01: +0,0.609,436
Jan 15 2015 01: +0,0.61,418
Jan 16 2015 01: +0,0.623,553
Jan 17 2015 01: +0,0.602,507
Jan 18 2015 01: +0,0.628,484
Jan 19 2015 01: +0,0.649,381
Jan 20 2015 01: +0,0.647,404
Jan 21 2015 01: +0,0.667,391
Jan 22 2015 01: +0,0.651,364
Jan 23 2015 01: +0,0.659,406
Jan 24 2015 01: +0,0.655,491
Jan 25 2015 01: +0,0.669,417
Jan 26 2015 01: +0,0.645,404
Jan 27 2015 01: +0,0.667,300
Jan 28 2015 01: +0,0.648,340
Jan 29 2015 01: +0,0.648,352
Jan 30 2015 01: +0,0.651,366
Jan 31 2015 01: +0,0.646,396
Feb 01 2015 01: +0,0.655,364
Feb 02 2015 01: +0,0.694,304
Feb 03 2015 01: +0,0.694,311
Feb 04 2015 01: +0,0.693,302
Feb 05 2015 01: +0,0.724,310
Feb 06 2015 01: +0,0.754,313
Feb 07 2015 01: +0,0.749,317
Feb 08 2015 01: +0,0.723,384
Feb 09 2015 01: +0,0.764,235
Feb 10 2015 01: +0,0.738,217
Feb 11 2015 01: +0,0.714,292
Feb 12 2015 01: +0,0.742,273
Feb 13 2015 01: +0,0.75,285
Feb 14 2015 01: +0,0.764,303
Feb 15 2015 01: +0,0.752,334
Feb 16 2015 01: +0,0.746,257
Feb 17 2015 01: +0,0.731,293
Feb 18 2015 01: +0,0.754,259
Feb 19 2015 01: +0,0.755,321
Feb 20 2015 01: +0,0.756,316
Feb 21 2015 01: +0,0.801,268
Feb 22 2015 01: +0,0.819,242
Feb 23 2015 01: +0,0.8,215
Feb 24 2015 01: +0,0.81,254
Feb 25 2015 01: +0,0.803,226
Feb 26 2015 01: +0,0.857,224
Feb 27 2015 01: +0,0.641,487
Feb 28 2015 01: +0,0.64,320
Mar 01 2015 01: +0,0.654,256
Mar 02 2015 01: +0,0.659,195
Mar 03 2015 01: +0,0.66,193
Mar 04 2015 01: +0,0.683,218
Mar 05 2015 01: +0,0.692,212
Mar 06 2015 01: +0,0.69,199
Mar 07 2015 01: +0,0.701,236
Mar 08 2015 01: +0,0.695,202
Mar 09 2015 01: +0,0.699,173
Mar 10 2015 01: +0,0.679,179
Mar 11 2015 01: +0,0.641,202
Mar 12 2015 01: +0,0.639,236
Mar 13 2015 01: +0,0.62,217
Mar 14 2015 01: +0,0.544,240
Mar 15 2015 01: +0,0.449,379
Mar 16 2015 01: +0,0.442,207
Mar 17 2015 01: +0,0.509,136
Mar 18 2015 01: +0,0.518,124
Mar 19 2015 01: +0,0.507,132
Mar 20 2015 01: +0,0.514,159
Mar 21 2015 01: +0,0.54,157
Mar 22 2015 01: +0,0.551,110
Mar 23 2015 01: +0,0.548,121
Mar 24 2015 01: +0,0.513,129
Mar 25 2015 01: +0,0.542,137
Mar 26 2015 01: +0,0.544,137
Mar 27 2015 01: +0,0.568,145
Mar 28 2015 01: +0,0.566,172
Mar 29 2015 01: +0,0.563,129
Mar 30 2015 01: +0,0.549,99
Mar 31 2015 01: +0,0.542,138
Apr 01 2015 01: +0,0.529,151
Apr 02 2015 01: +0,0.577,135
Apr 03 2015 01: +0,0.581,144
Apr 04 2015 01: +0,0.601,163
Apr 05 2015 01: +0,0.609,136
Apr 06 2015 01: +0,0.604,118
Apr 07 2015 01: +0,0.626,137
Apr 08 2015 01: +0,0.628,141
Apr 09 2015 01: +0,0.663,131
Apr 10 2015 01: +0,0.632,110
Apr 11 2015 01: +0,0.695,136
Apr 12 2015 01: +0,0.703,146
Apr 13 2015 01: +0,0.699,148
Apr 14 2015 01: +0,0.691,107
Apr 15 2015 01: +0,0.691,132
Apr 16 2015 01: +0,0.687,163
Apr 17 2015 01: +0,0.649,189
Apr 18 2015 01: +0,0.694,185
Apr 19 2015 01: +0,0.667,169
Apr 20 2015 01: +0,0.726,165
Apr 21 2015 01: +0,0.706,115
Apr 22 2015 01: +0,0.745,106
Apr 23 2015 01: +0,0.749,110
Apr 24 2015 01: +0,0.74,139
Apr 25 2015 01: +0,0.793,141
Apr 26 2015 01: +0,0.813,113
Apr 27 2015 01: +0,0.837,103
Apr 28 2015 01: +0,0.803,95
Apr 29 2015 01: +0,0.834,162
Apr 30 2015 01: +0,0.904,94
May 01 2015 01: +0,0.855,127
May 02 2015 01: +0,0.874,139
May 03 2015 01: +0,0.817,115
May 04 2015 01: +0,0.901,126
May 05 2015 01: +0,0.866,99
May 06 2015 01: +0,0.883,92
May 07 2015 01: +0,0.888,93
May 08 2015 01: +0,0.882,98
May 09 2015 01: +0,0.937,121
May 10 2015 01: +0,0.925,103
May 11 2015 01: +0,0.903,97
May 12 2015 01: +0,0.931,79
May 13 2015 01: +0,0.986,83
May 14 2015 01: +0,0.936,101
May 15 2015 01: +0,0.937,113
May 16 2015 01: +0,0.962,121
May 17 2015 01: +0,0.996,100
May 18 2015 01: +0,1.021,82
May 19 2015 01: +0,1.022,87
May 20 2015 01: +0,1,83
May 21 2015 01: +0,1.069,81
May 22 2015 01: +0,1.035,68
May 23 2015 01: +0,1.072,90
May 24 2015 01: +0,1.05,119
May 25 2015 01: +0,1.084,58
May 26 2015 01: +0,1.014,102
May 27 2015 01: +0,0.748,224
May 28 2015 01: +0,0.896,116
May 29 2015 01: +0,0.921,89
May 30 2015 01: +0,0.9,106
May 31 2015 01: +0,0.988,104
Jun 01 2015 01: +0,1.035,87
Jun 02 2015 01: +0,0.965,79
Jun 03 2015 01: +0,0.988,94
Jun 04 2015 01: +0,0.951,99
Jun 05 2015 01: +0,0.908,114
Jun 06 2015 01: +0,0.928,81
Jun 07 2015 01: +0,0.981,88
Jun 08 2015 01: +0,0.927,89
Jun 09 2015 01: +0,0.901,96
Jun 10 2015 01: +0,0.906,93
Jun 11 2015 01: +0,0.898,91
Jun 12 2015 01: +0,0.875,113
Jun 13 2015 01: +0,0.865,89
Jun 14 2015 01: +0,0.837,130
Jun 15 2015 01: +0,0.901,100
Jun 16 2015 01: +0,0.885,87
Jun 17 2015 01: +0,0.922,98
Jun 18 2015 01: +0,0.948,89
Jun 19 2015 01: +0,0.951,90
Jun 20 2015 01: +0,0.923,77
Jun 21 2015 01: +0,0.879,134
Jun 22 2015 01: +0,0.945,106
Jun 23 2015 01: +0,1.014,98
Jun 24 2015 01: +0,1.024,78
Jun 25 2015 01: +0,1.053,70
Jun 26 2015 01: +0,1.047,77
Jun 27 2015 01: +0,1.046,88
Jun 28 2015 01: +0,1.055,65
Jun 29 2015 01: +0,1.057,101
Jun 30 2015 01: +0,1.09,85
Jul 01 2015 01: +0,1.109,88
Jul 02 2015 01: +0,1.144,67
Jul 03 2015 01: +0,1.212,67
Jul 04 2015 01: +0,1.222,55
Jul 05 2015 01: +0,1.123,62
Jul 06 2015 01: +0,1.171,71
Jul 07 2015 01: +0,1.232,56
Jul 08 2015 01: +0,1.247,64
Jul 09 2015 01: +0,1.21,90
Jul 10 2015 01: +0,1.271,72
Jul 11 2015 01: +0,1.324,48
Jul 12 2015 01: +0,1.334,62
Jul 13 2015 01: +0,1.398,66
Jul 14 2015 01: +0,1.362,58
Jul 15 2015 01: +0,1.353,56
Jul 16 2015 01: +0,1.371,66
Jul 17 2015 01: +0,1.4,52
Jul 18 2015 01: +0,1.617,47
Jul 19 2015 01: +0,1.496,51
Jul 20 2015 01: +0,1.437,49
Jul 21 2015 01: +0,1.488,47
Jul 22 2015 01: +0,1.434,41
Jul 23 2015 01: +0,1.467,55
Jul 24 2015 01: +0,1.49,41
Jul 25 2015 01: +0,1.413,45
Jul 26 2015 01: +0,1.486,50
Jul 27 2015 01: +0,1.42,54
Jul 28 2015 01: +0,1.297,44
Jul 29 2015 01: +0,1.289,65
Jul 30 2015 01: +0,1.321,50
Jul 31 2015 01: +0,1.249,58
Aug 01 2015 01: +0,1.319,56
Aug 02 2015 01: +0,1.363,42
Aug 03 2015 01: +0,1.255,57
Aug 04 2015 01: +0,1.263,41
Aug 05 2015 01: +0,1.223,58
Aug 06 2015 01: +0,1.228,47
Aug 07 2015 01: +0,1.196,64
Aug 08 2015 01: +0,1.195,51
Aug 09 2015 01: +0,1.233,38
Aug 10 2015 01: +0,1.18,51
Aug 11 2015 01: +0,1.117,80
