"Feb 27 2015 01: +0" 1.13 426
"Feb 28 2015 01: +0" 1.103 203
"Mar 01 2015 01: +0" 1.092 136
"Mar 02 2015 01: +0" 1.083 105
"Mar 03 2015 01: +0" 1.091 120
"Mar 04 2015 01: +0" 1.087 119
"Mar 05 2015 01: +0" 1.074 116
"Mar 06 2015 01: +0" 1.083 144
"Mar 07 2015 01: +0" 1.071 158
"Mar 08 2015 01: +0" 1.066 137
"Mar 09 2015 01: +0" 1.073 139
"Mar 10 2015 01: +0" 1.064 191
"Mar 11 2015 01: +0" 1.101 95
"Mar 12 2015 01: +0" 1.074 133
"Mar 13 2015 01: +0" 0.818 907
"Mar 14 2015 01: +0" 0.461 1670
"Mar 15 2015 01: +0" 0.391 17780
"Mar 16 2015 01: +0" 0.36 9198
"Mar 17 2015 01: +0" 0.436 1790
"Mar 18 2015 01: +0" 0.455 1276
"Mar 19 2015 01: +0" 0.446 1100
"Mar 20 2015 01: +0" 0.447 970
"Mar 21 2015 01: +0" 0.446 1129
"Mar 22 2015 01: +0" 0.45 965
"Mar 23 2015 01: +0" 0.447 907
"Mar 24 2015 01: +0" 0.451 993
"Mar 25 2015 01: +0" 0.451 895
"Mar 26 2015 01: +0" 0.443 849
"Mar 27 2015 01: +0" 0.453 875
"Mar 28 2015 01: +0" 0.466 990
"Mar 29 2015 01: +0" 0.482 812
"Mar 30 2015 01: +0" 0.487 748
"Mar 31 2015 01: +0" 0.491 708
"Apr 01 2015 01: +0" 0.479 922
"Apr 02 2015 01: +0" 0.507 744
"Apr 03 2015 01: +0" 0.519 777
"Apr 04 2015 01: +0" 0.549 745
"Apr 05 2015 01: +0" 0.561 717
"Apr 06 2015 01: +0" 0.588 918
"Apr 07 2015 01: +0" 0.699 1063
"Apr 08 2015 01: +0" 0.827 942
"Apr 09 2015 01: +0" 0.807 682
"Apr 10 2015 01: +0" 0.787 568
"Apr 11 2015 01: +0" 0.771 679
"Apr 12 2015 01: +0" 0.717 633
"Apr 13 2015 01: +0" 0.666 524
"Apr 14 2015 01: +0" 0.623 609
"Apr 15 2015 01: +0" 0.675 458
"Apr 16 2015 01: +0" 0.642 603
"Apr 17 2015 01: +0" 0.653 645
"Apr 18 2015 01: +0" 0.672 653
"Apr 19 2015 01: +0" 0.669 648
"Apr 20 2015 01: +0" 0.66 678
"Apr 21 2015 01: +0" 0.656 631
"Apr 22 2015 01: +0" 0.689 553
"Apr 23 2015 01: +0" 0.691 541
"Apr 24 2015 01: +0" 0.676 713
"Apr 25 2015 01: +0" 0.678 703
"Apr 26 2015 01: +0" 0.694 568
"Apr 27 2015 01: +0" 0.687 587
"Apr 28 2015 01: +0" 0.704 542
