"Feb 27 2015 01: +0" 1.11 2694
"Feb 28 2015 01: +0" 1.1 1212
"Mar 01 2015 01: +0" 1.094 828
"Mar 02 2015 01: +0" 1.097 628
"Mar 03 2015 01: +0" 1.095 505
"Mar 04 2015 01: +0" 1.083 491
"Mar 05 2015 01: +0" 1.083 442
"Mar 06 2015 01: +0" 1.067 510
"Mar 07 2015 01: +0" 1.062 549
"Mar 08 2015 01: +0" 1.062 479
"Mar 09 2015 01: +0" 1.057 419
"Mar 10 2015 01: +0" 1.051 423
"Mar 11 2015 01: +0" 1.096 450
"Mar 12 2015 01: +0" 1.125 764
"Mar 13 2015 01: +0" 1.094 1094
"Mar 14 2015 01: +0" 0.99 2609
"Mar 15 2015 01: +0" 0.493 105350
"Mar 16 2015 01: +0" 0.426 43043
"Mar 17 2015 01: +0" 0.513 12798
"Mar 18 2015 01: +0" 0.517 7771
"Mar 19 2015 01: +0" 0.495 6551
"Mar 20 2015 01: +0" 0.477 7418
"Mar 21 2015 01: +0" 0.474 7121
"Mar 22 2015 01: +0" 0.473 6275
"Mar 23 2015 01: +0" 0.455 6192
"Mar 24 2015 01: +0" 0.448 6060
"Mar 25 2015 01: +0" 0.461 5110
"Mar 26 2015 01: +0" 0.457 4814
"Mar 27 2015 01: +0" 0.466 5212
"Mar 28 2015 01: +0" 0.486 5449
"Mar 29 2015 01: +0" 0.486 4511
"Mar 30 2015 01: +0" 0.478 4197
"Mar 31 2015 01: +0" 0.498 3981
"Apr 01 2015 01: +0" 0.47 5144
"Apr 02 2015 01: +0" 0.493 4668
"Apr 03 2015 01: +0" 0.512 4300
"Apr 04 2015 01: +0" 0.523 4487
"Apr 05 2015 01: +0" 0.553 4040
"Apr 06 2015 01: +0" 0.584 3387
"Apr 07 2015 01: +0" 0.591 3810
"Apr 08 2015 01: +0" 0.623 3342
"Apr 09 2015 01: +0" 0.619 3165
"Apr 10 2015 01: +0" 0.632 3325
"Apr 11 2015 01: +0" 0.662 3242
"Apr 12 2015 01: +0" 0.631 2803
"Apr 13 2015 01: +0" 0.585 2480
"Apr 14 2015 01: +0" 0.55 2670
"Apr 15 2015 01: +0" 0.567 2434
"Apr 16 2015 01: +0" 0.516 3596
"Apr 17 2015 01: +0" 0.537 3367
"Apr 18 2015 01: +0" 0.556 3607
"Apr 19 2015 01: +0" 0.545 3238
"Apr 20 2015 01: +0" 0.564 2994
"Apr 21 2015 01: +0" 0.546 2722
"Apr 22 2015 01: +0" 0.56 2784
"Apr 23 2015 01: +0" 0.56 2732
"Apr 24 2015 01: +0" 0.577 2819
"Apr 25 2015 01: +0" 0.61 3348
"Apr 26 2015 01: +0" 0.611 2651
"Apr 27 2015 01: +0" 0.621 2568
"Apr 28 2015 01: +0" 0.654 2317
"Apr 29 2015 01: +0" 0.652 2211
"Apr 30 2015 01: +0" 0.676 2386
"May 01 2015 01: +0" 0.64 3200
"May 02 2015 01: +0" 0.683 2788
"May 03 2015 01: +0" 0.7 2337
"May 04 2015 01: +0" 0.694 2140
"May 05 2015 01: +0" 0.693 2056
"May 06 2015 01: +0" 0.714 1844
"May 07 2015 01: +0" 0.73 1698
"May 08 2015 01: +0" 0.735 1974
"May 09 2015 01: +0" 0.74 2272
"May 10 2015 01: +0" 0.75 2110
"May 11 2015 01: +0" 0.747 1964
"May 12 2015 01: +0" 0.781 1650
"May 13 2015 01: +0" 0.833 1648
"May 14 2015 01: +0" 0.854 1715
"May 15 2015 01: +0" 0.872 1580
"May 16 2015 01: +0" 0.874 2041
"May 17 2015 01: +0" 0.908 1866
"May 18 2015 01: +0" 0.941 1462
"May 19 2015 01: +0" 0.933 1475
"May 20 2015 01: +0" 0.939 1249
"May 21 2015 01: +0" 0.963 1383
"May 22 2015 01: +0" 0.966 1469
"May 23 2015 01: +0" 0.97 1498
"May 24 2015 01: +0" 0.975 1632
"May 25 2015 01: +0" 0.955 1244
"May 26 2015 01: +0" 0.952 1352
"May 27 2015 01: +0" 0.662 4460
"May 28 2015 01: +0" 0.812 1844
"May 29 2015 01: +0" 0.837 1620
"May 30 2015 01: +0" 0.874 1681
"May 31 2015 01: +0" 0.893 1519
"Jun 01 2015 01: +0" 0.896 1664
"Jun 02 2015 01: +0" 0.894 1427
"Jun 03 2015 01: +0" 0.887 1556
"Jun 04 2015 01: +0" 0.85 1476
"Jun 05 2015 01: +0" 0.812 1569
"Jun 06 2015 01: +0" 0.818 1682
"Jun 07 2015 01: +0" 0.829 1539
