Feb 27 2015 01: +0,1.12,956
Feb 28 2015 01: +0,1.086,432
Mar 01 2015 01: +0,1.086,357
Mar 02 2015 01: +0,1.085,239
Mar 03 2015 01: +0,1.085,214
Mar 04 2015 01: +0,1.075,168
Mar 05 2015 01: +0,1.084,225
Mar 06 2015 01: +0,1.079,212
Mar 07 2015 01: +0,1.059,251
Mar 08 2015 01: +0,1.028,220
Mar 09 2015 01: +0,1.05,208
Mar 10 2015 01: +0,1.046,229
Mar 11 2015 01: +0,1.101,256
Mar 12 2015 01: +0,1.133,398
Mar 13 2015 01: +0,0.917,2082
Mar 14 2015 01: +0,0.49,4199
Mar 15 2015 01: +0,0.37,29089
Mar 16 2015 01: +0,0.372,11522
Mar 17 2015 01: +0,0.474,3396
Mar 18 2015 01: +0,0.483,2519
Mar 19 2015 01: +0,0.458,2322
Mar 20 2015 01: +0,0.446,2484
Mar 21 2015 01: +0,0.445,2627
Mar 22 2015 01: +0,0.452,2111
Mar 23 2015 01: +0,0.451,2127
Mar 24 2015 01: +0,0.457,1878
Mar 25 2015 01: +0,0.469,1877
Mar 26 2015 01: +0,0.466,1795
Mar 27 2015 01: +0,0.476,2118
Mar 28 2015 01: +0,0.503,1959
Mar 29 2015 01: +0,0.49,1699
Mar 30 2015 01: +0,0.499,1495
Mar 31 2015 01: +0,0.494,1435
Apr 01 2015 01: +0,0.48,2073
Apr 02 2015 01: +0,0.502,1627
Apr 03 2015 01: +0,0.523,1639
Apr 04 2015 01: +0,0.556,1553
Apr 05 2015 01: +0,0.577,1344
Apr 06 2015 01: +0,0.601,1211
Apr 07 2015 01: +0,0.656,1325
Apr 08 2015 01: +0,0.716,986
Apr 09 2015 01: +0,0.671,1011
Apr 10 2015 01: +0,0.649,977
Apr 11 2015 01: +0,0.676,1299
Apr 12 2015 01: +0,0.702,1285
Apr 13 2015 01: +0,0.707,1251
Apr 14 2015 01: +0,0.674,1116
Apr 15 2015 01: +0,0.685,1144
Apr 16 2015 01: +0,0.659,1496
Apr 17 2015 01: +0,0.664,1381
Apr 18 2015 01: +0,0.691,1455
Apr 19 2015 01: +0,0.676,1257
Apr 20 2015 01: +0,0.683,1256
Apr 21 2015 01: +0,0.65,1207
Apr 22 2015 01: +0,0.687,1054
Apr 23 2015 01: +0,0.705,1139
Apr 24 2015 01: +0,0.723,1213
Apr 25 2015 01: +0,0.72,1388
Apr 26 2015 01: +0,0.719,1136
Apr 27 2015 01: +0,0.723,1162
Apr 28 2015 01: +0,0.726,1031
Apr 29 2015 01: +0,0.74,1086
Apr 30 2015 01: +0,0.77,1282
May 01 2015 01: +0,0.781,978
May 02 2015 01: +0,0.791,1034
May 03 2015 01: +0,0.821,891
May 04 2015 01: +0,0.825,919
May 05 2015 01: +0,0.822,724
May 06 2015 01: +0,0.835,739
May 07 2015 01: +0,0.864,717
May 08 2015 01: +0,0.866,751
May 09 2015 01: +0,0.871,766
May 10 2015 01: +0,0.903,691
May 11 2015 01: +0,0.887,654
May 12 2015 01: +0,0.945,586
May 13 2015 01: +0,0.947,668
May 14 2015 01: +0,0.952,578
May 15 2015 01: +0,0.949,616
May 16 2015 01: +0,0.956,712
May 17 2015 01: +0,0.994,741
May 18 2015 01: +0,1.03,662
May 19 2015 01: +0,1.057,504
May 20 2015 01: +0,1.038,471
May 21 2015 01: +0,1.028,507
May 22 2015 01: +0,1.041,588
May 23 2015 01: +0,1.048,545
May 24 2015 01: +0,1.055,537
May 25 2015 01: +0,1.063,515
May 26 2015 01: +0,1.062,487
May 27 2015 01: +0,0.766,1807
May 28 2015 01: +0,0.936,681
May 29 2015 01: +0,0.919,648
May 30 2015 01: +0,0.961,584
May 31 2015 01: +0,1.023,514
Jun 01 2015 01: +0,1.006,576
Jun 02 2015 01: +0,1.002,539
Jun 03 2015 01: +0,0.998,532
Jun 04 2015 01: +0,0.965,538
Jun 05 2015 01: +0,0.908,595
Jun 06 2015 01: +0,0.927,561
Jun 07 2015 01: +0,0.941,580
Jun 08 2015 01: +0,0.915,611
Jun 09 2015 01: +0,0.906,560
Jun 10 2015 01: +0,0.865,683
Jun 11 2015 01: +0,0.825,659
Jun 12 2015 01: +0,0.814,574
Jun 13 2015 01: +0,0.84,581
Jun 14 2015 01: +0,0.843,596
Jun 15 2015 01: +0,0.874,491
Jun 16 2015 01: +0,0.926,545
Jun 17 2015 01: +0,0.91,492
Jun 18 2015 01: +0,0.928,541
Jun 19 2015 01: +0,0.926,587
Jun 20 2015 01: +0,0.937,521
Jun 21 2015 01: +0,0.927,545
Jun 22 2015 01: +0,0.978,587
Jun 23 2015 01: +0,1.016,536
Jun 24 2015 01: +0,1.054,465
Jun 25 2015 01: +0,1.069,445
Jun 26 2015 01: +0,1.087,595
Jun 27 2015 01: +0,1.093,467
Jun 28 2015 01: +0,1.1,502
Jun 29 2015 01: +0,1.168,396
Jun 30 2015 01: +0,1.325,426
Jul 01 2015 01: +0,1.435,388
Jul 02 2015 01: +0,1.413,296
Jul 03 2015 01: +0,1.381,313
Jul 04 2015 01: +0,1.324,276
Jul 05 2015 01: +0,1.217,314
Jul 06 2015 01: +0,1.288,288
Jul 07 2015 01: +0,1.277,214
Jul 08 2015 01: +0,1.273,250
Jul 09 2015 01: +0,1.255,310
Jul 10 2015 01: +0,1.335,286
Jul 11 2015 01: +0,1.374,267
Jul 12 2015 01: +0,1.327,350
Jul 13 2015 01: +0,1.361,348
Jul 14 2015 01: +0,1.362,303
Jul 15 2015 01: +0,1.365,344
Jul 16 2015 01: +0,1.392,288
Jul 17 2015 01: +0,1.427,286
Jul 18 2015 01: +0,1.452,282
Jul 19 2015 01: +0,1.516,330
Jul 20 2015 01: +0,1.473,305
Jul 21 2015 01: +0,1.462,260
Jul 22 2015 01: +0,1.467,283
Jul 23 2015 01: +0,1.594,228
Jul 24 2015 01: +0,1.541,236
Jul 25 2015 01: +0,1.494,275
Jul 26 2015 01: +0,1.529,247
Jul 27 2015 01: +0,1.436,302
Jul 28 2015 01: +0,1.421,258
Jul 29 2015 01: +0,1.344,265
Jul 30 2015 01: +0,1.305,297
Jul 31 2015 01: +0,1.273,265
Aug 01 2015 01: +0,1.273,273
Aug 02 2015 01: +0,1.25,268
Aug 03 2015 01: +0,1.195,313
Aug 04 2015 01: +0,1.18,257
Aug 05 2015 01: +0,1.19,306
Aug 06 2015 01: +0,1.218,246
Aug 07 2015 01: +0,1.191,252
Aug 08 2015 01: +0,1.245,217
Aug 09 2015 01: +0,1.227,195
Aug 10 2015 01: +0,1.257,222
Aug 11 2015 01: +0,1.255,257
Aug 12 2015 01: +0,1.229,263
Aug 13 2015 01: +0,1.206,252
Aug 14 2015 01: +0,1.199,248
Aug 15 2015 01: +0,0.926,473
Aug 16 2015 01: +0,0.946,266
Aug 17 2015 01: +0,0.934,286
Aug 18 2015 01: +0,0.949,251
Aug 19 2015 01: +0,0.928,204
Aug 20 2015 01: +0,0.874,307
Aug 21 2015 01: +0,0.813,377
Aug 22 2015 01: +0,0.798,254
Aug 23 2015 01: +0,0.68,475
Aug 24 2015 01: +0,0.748,241
Aug 25 2015 01: +0,0.885,146
Aug 26 2015 01: +0,0.875,151
Aug 27 2015 01: +0,0.948,149
Aug 28 2015 01: +0,0.977,156
