Jul 07 2017 01: +0,1.104,226
Jul 08 2017 01: +0,1.082,348
Jul 09 2017 01: +0,1.062,175
Jul 10 2017 01: +0,1.066,154
Jul 11 2017 01: +0,1.04,149
Jul 12 2017 01: +0,1.036,121
Jul 13 2017 01: +0,1.069,88
Jul 14 2017 01: +0,1.107,75
Jul 15 2017 01: +0,1.04,88
Jul 16 2017 01: +0,1.018,137
Jul 17 2017 01: +0,1.064,105
Jul 18 2017 01: +0,1.096,141
Jul 19 2017 01: +0,1.096,158
Jul 20 2017 01: +0,1.072,494
Jul 21 2017 01: +0,1.046,324
Jul 22 2017 01: +0,1.01,1125
Jul 23 2017 01: +0,0.293,19956
Jul 24 2017 01: +0,0.285,4694
Jul 25 2017 01: +0,0.309,2835
Jul 26 2017 01: +0,0.322,1554
Jul 27 2017 01: +0,0.3,1165
Jul 28 2017 01: +0,0.298,953
Jul 29 2017 01: +0,0.293,1007
Jul 30 2017 01: +0,0.294,853
Jul 31 2017 01: +0,0.271,1373
Aug 01 2017 01: +0,0.276,976
Aug 02 2017 01: +0,0.269,851
Aug 03 2017 01: +0,0.251,865
Aug 04 2017 01: +0,0.26,819
Aug 05 2017 01: +0,0.261,715
Aug 06 2017 01: +0,0.257,701
Aug 07 2017 01: +0,0.251,731
Aug 08 2017 01: +0,0.248,611
Aug 09 2017 01: +0,0.255,555
Aug 10 2017 01: +0,0.254,473
Aug 11 2017 01: +0,0.243,564
Aug 12 2017 01: +0,0.243,593
Aug 13 2017 01: +0,0.232,569
Aug 14 2017 01: +0,0.231,604
Aug 15 2017 01: +0,0.225,556
Aug 16 2017 01: +0,0.232,574
Aug 17 2017 01: +0,0.228,574
Aug 18 2017 01: +0,0.237,621
Aug 19 2017 01: +0,0.236,471
Aug 20 2017 01: +0,0.232,654
Aug 21 2017 01: +0,0.229,452
Aug 22 2017 01: +0,0.226,514
Aug 23 2017 01: +0,0.225,556
Aug 24 2017 01: +0,0.225,468
Aug 25 2017 01: +0,0.231,442
Aug 26 2017 01: +0,0.235,540
Aug 27 2017 01: +0,0.243,384
Aug 28 2017 01: +0,0.25,340
Aug 29 2017 01: +0,0.249,369
Aug 30 2017 01: +0,0.263,370
Aug 31 2017 01: +0,0.267,367
Sep 01 2017 01: +0,0.269,435
Sep 02 2017 01: +0,0.272,410
Sep 03 2017 01: +0,0.272,430
Sep 04 2017 01: +0,0.272,299
Sep 05 2017 01: +0,0.265,376
Sep 06 2017 01: +0,0.273,347
Sep 07 2017 01: +0,0.271,365
Sep 08 2017 01: +0,0.276,374
Sep 09 2017 01: +0,0.271,412
Sep 10 2017 01: +0,0.269,385
Sep 11 2017 01: +0,0.267,364
Sep 12 2017 01: +0,0.268,344
Sep 13 2017 01: +0,0.266,306
Sep 14 2017 01: +0,0.269,400
Sep 15 2017 01: +0,0.267,392
Sep 16 2017 01: +0,0.265,538
Sep 17 2017 01: +0,0.264,526
Sep 18 2017 01: +0,0.264,359
Sep 19 2017 01: +0,0.26,358
Sep 20 2017 01: +0,0.268,446
Sep 21 2017 01: +0,0.271,662
Sep 22 2017 01: +0,0.272,398
Sep 23 2017 01: +0,0.267,388
Sep 24 2017 01: +0,0.266,387
Sep 25 2017 01: +0,0.27,326
Sep 26 2017 01: +0,0.263,322
Sep 27 2017 01: +0,0.248,323
Sep 28 2017 01: +0,0.249,405
Sep 29 2017 01: +0,0.248,314
Sep 30 2017 01: +0,0.263,357
Oct 01 2017 01: +0,0.26,304
Oct 02 2017 01: +0,0.248,267
Oct 03 2017 01: +0,0.238,419
Oct 04 2017 01: +0,0.243,285
Oct 05 2017 01: +0,0.25,275
Oct 06 2017 01: +0,0.25,331
Oct 07 2017 01: +0,0.256,337
Oct 08 2017 01: +0,0.249,325
