Jul 07 2017 01: +0,1.075,116
Jul 08 2017 01: +0,1.07,290
Jul 09 2017 01: +0,1.055,135
Jul 10 2017 01: +0,1.07,120
Jul 11 2017 01: +0,1.041,113
Jul 12 2017 01: +0,1.048,74
Jul 13 2017 01: +0,1.081,76
Jul 14 2017 01: +0,1.07,74
Jul 15 2017 01: +0,1.079,100
Jul 16 2017 01: +0,1.024,87
Jul 17 2017 01: +0,0.832,79
Jul 18 2017 01: +0,0.813,66
Jul 19 2017 01: +0,0.817,209
Jul 20 2017 01: +0,0.245,4128
Jul 21 2017 01: +0,0.294,1320
Jul 22 2017 01: +0,0.284,1425
Jul 23 2017 01: +0,0.27,5630
Jul 24 2017 01: +0,0.255,2041
Jul 25 2017 01: +0,0.274,1378
Jul 26 2017 01: +0,0.266,821
Jul 27 2017 01: +0,0.261,656
Jul 28 2017 01: +0,0.264,652
Jul 29 2017 01: +0,0.256,543
Jul 30 2017 01: +0,0.255,589
Jul 31 2017 01: +0,0.249,591
Aug 01 2017 01: +0,0.227,506
Aug 02 2017 01: +0,0.254,765
Aug 03 2017 01: +0,0.252,583
Aug 04 2017 01: +0,0.242,434
Aug 05 2017 01: +0,0.223,458
Aug 06 2017 01: +0,0.221,531
Aug 07 2017 01: +0,0.214,487
Aug 08 2017 01: +0,0.204,478
Aug 09 2017 01: +0,0.216,547
Aug 10 2017 01: +0,0.22,456
Aug 11 2017 01: +0,0.218,454
Aug 12 2017 01: +0,0.2,369
Aug 13 2017 01: +0,0.176,508
Aug 14 2017 01: +0,0.179,552
Aug 15 2017 01: +0,0.183,360
Aug 16 2017 01: +0,0.183,418
Aug 17 2017 01: +0,0.194,507
Aug 18 2017 01: +0,0.207,387
Aug 19 2017 01: +0,0.197,309
Aug 20 2017 01: +0,0.2,406
Aug 21 2017 01: +0,0.198,285
Aug 22 2017 01: +0,0.199,393
Aug 23 2017 01: +0,0.199,348
Aug 24 2017 01: +0,0.202,367
Aug 25 2017 01: +0,0.209,239
Aug 26 2017 01: +0,0.205,293
Aug 27 2017 01: +0,0.208,241
Aug 28 2017 01: +0,0.207,246
Aug 29 2017 01: +0,0.198,278
Aug 30 2017 01: +0,0.197,261
Aug 31 2017 01: +0,0.195,228
Sep 01 2017 01: +0,0.198,248
Sep 02 2017 01: +0,0.201,289
Sep 03 2017 01: +0,0.208,329
Sep 04 2017 01: +0,0.208,246
Sep 05 2017 01: +0,0.215,180
Sep 06 2017 01: +0,0.208,219
Sep 07 2017 01: +0,0.215,186
Sep 08 2017 01: +0,0.211,227
Sep 09 2017 01: +0,0.225,284
Sep 10 2017 01: +0,0.219,229
Sep 11 2017 01: +0,0.223,172
Sep 12 2017 01: +0,0.219,171
Sep 13 2017 01: +0,0.218,202
Sep 14 2017 01: +0,0.224,194
Sep 15 2017 01: +0,0.226,230
Sep 16 2017 01: +0,0.23,295
Sep 17 2017 01: +0,0.224,273
Sep 18 2017 01: +0,0.219,219
Sep 19 2017 01: +0,0.224,204
Sep 20 2017 01: +0,0.23,502
Sep 21 2017 01: +0,0.24,218
Sep 22 2017 01: +0,0.229,200
Sep 23 2017 01: +0,0.242,199
Sep 24 2017 01: +0,0.231,182
Sep 25 2017 01: +0,0.224,177
Sep 26 2017 01: +0,0.228,180
Sep 27 2017 01: +0,0.225,147
Sep 28 2017 01: +0,0.223,125
Sep 29 2017 01: +0,0.213,163
Sep 30 2017 01: +0,0.203,243
Oct 01 2017 01: +0,0.202,270
Oct 02 2017 01: +0,0.21,209
Oct 03 2017 01: +0,0.214,195
Oct 04 2017 01: +0,0.211,179
Oct 05 2017 01: +0,0.213,181
Oct 06 2017 01: +0,0.217,154
Oct 07 2017 01: +0,0.219,207
