Jul 07 2017 01: +0,1.065,102
Jul 08 2017 01: +0,1.06,333
Jul 09 2017 01: +0,1.048,161
Jul 10 2017 01: +0,1.072,177
Jul 11 2017 01: +0,1.033,133
Jul 12 2017 01: +0,1.063,154
Jul 13 2017 01: +0,1.06,114
Jul 14 2017 01: +0,1.08,117
Jul 15 2017 01: +0,1.07,148
Jul 16 2017 01: +0,1.071,173
Jul 17 2017 01: +0,1.046,131
Jul 18 2017 01: +0,1.075,173
Jul 19 2017 01: +0,1.077,181
Jul 20 2017 01: +0,1.073,631
Jul 21 2017 01: +0,1.028,350
Jul 22 2017 01: +0,0.939,634
Jul 23 2017 01: +0,0.292,21510
Jul 24 2017 01: +0,0.275,7367
Jul 25 2017 01: +0,0.298,4137
Jul 26 2017 01: +0,0.321,2319
Jul 27 2017 01: +0,0.308,2180
Jul 28 2017 01: +0,0.31,1860
Jul 29 2017 01: +0,0.322,1850
Jul 30 2017 01: +0,0.318,1192
Jul 31 2017 01: +0,0.303,1363
Aug 01 2017 01: +0,0.308,1366
Aug 02 2017 01: +0,0.307,1100
Aug 03 2017 01: +0,0.318,1274
Aug 04 2017 01: +0,0.302,990
Aug 05 2017 01: +0,0.301,1032
Aug 06 2017 01: +0,0.291,1234
Aug 07 2017 01: +0,0.286,1208
Aug 08 2017 01: +0,0.288,1025
Aug 09 2017 01: +0,0.304,952
Aug 10 2017 01: +0,0.313,909
Aug 11 2017 01: +0,0.316,785
Aug 12 2017 01: +0,0.299,887
Aug 13 2017 01: +0,0.289,896
Aug 14 2017 01: +0,0.291,844
Aug 15 2017 01: +0,0.292,804
Aug 16 2017 01: +0,0.287,856
Aug 17 2017 01: +0,0.283,863
Aug 18 2017 01: +0,0.291,1063
Aug 19 2017 01: +0,0.294,722
Aug 20 2017 01: +0,0.288,692
Aug 21 2017 01: +0,0.295,792
Aug 22 2017 01: +0,0.291,794
Aug 23 2017 01: +0,0.286,739
Aug 24 2017 01: +0,0.293,759
Aug 25 2017 01: +0,0.298,677
Aug 26 2017 01: +0,0.295,772
Aug 27 2017 01: +0,0.296,730
Aug 28 2017 01: +0,0.303,683
Aug 29 2017 01: +0,0.313,592
Aug 30 2017 01: +0,0.315,537
Aug 31 2017 01: +0,0.31,444
Sep 01 2017 01: +0,0.316,541
Sep 02 2017 01: +0,0.316,575
Sep 03 2017 01: +0,0.322,560
Sep 04 2017 01: +0,0.318,536
Sep 05 2017 01: +0,0.314,416
Sep 06 2017 01: +0,0.31,408
Sep 07 2017 01: +0,0.318,482
Sep 08 2017 01: +0,0.324,482
Sep 09 2017 01: +0,0.323,633
Sep 10 2017 01: +0,0.316,506
Sep 11 2017 01: +0,0.325,525
Sep 12 2017 01: +0,0.331,523
Sep 13 2017 01: +0,0.336,442
Sep 14 2017 01: +0,0.325,383
Sep 15 2017 01: +0,0.334,533
Sep 16 2017 01: +0,0.338,743
Sep 17 2017 01: +0,0.335,665
Sep 18 2017 01: +0,0.336,467
Sep 19 2017 01: +0,0.336,445
Sep 20 2017 01: +0,0.335,466
Sep 21 2017 01: +0,0.339,485
Sep 22 2017 01: +0,0.335,601
Sep 23 2017 01: +0,0.332,719
Sep 24 2017 01: +0,0.329,543
Sep 25 2017 01: +0,0.333,450
Sep 26 2017 01: +0,0.325,472
Sep 27 2017 01: +0,0.324,368
Sep 28 2017 01: +0,0.32,470
Sep 29 2017 01: +0,0.303,705
Sep 30 2017 01: +0,0.312,581
Oct 01 2017 01: +0,0.311,584
Oct 02 2017 01: +0,0.302,526
Oct 03 2017 01: +0,0.308,487
Oct 04 2017 01: +0,0.304,421
Oct 05 2017 01: +0,0.304,431
Oct 06 2017 01: +0,0.303,512
Oct 07 2017 01: +0,0.306,643
Oct 08 2017 01: +0,0.304,543
Oct 09 2017 01: +0,0.31,432
Oct 10 2017 01: +0,0.321,394
Oct 11 2017 01: +0,0.315,365
Oct 12 2017 01: +0,0.311,418
Oct 13 2017 01: +0,0.322,393
Oct 14 2017 01: +0,0.331,567
Oct 15 2017 01: +0,0.331,405
Oct 16 2017 01: +0,0.326,404
Oct 17 2017 01: +0,0.332,342
Oct 18 2017 01: +0,0.333,340
Oct 19 2017 01: +0,0.327,401
Oct 20 2017 01: +0,0.322,467
Oct 21 2017 01: +0,0.318,509
Oct 22 2017 01: +0,0.316,451
Oct 23 2017 01: +0,0.318,360
