"Jul 07 2017 01: +0" 1.047 55
"Jul 08 2017 01: +0" 1.034 177
"Jul 09 2017 01: +0" 0.975 94
"Jul 10 2017 01: +0" 1.038 81
"Jul 11 2017 01: +0" 1.033 76
"Jul 12 2017 01: +0" 1.013 53
"Jul 13 2017 01: +0" 1.026 60
"Jul 14 2017 01: +0" 1.042 57
"Jul 15 2017 01: +0" 1.051 84
"Jul 16 2017 01: +0" 1.009 76
"Jul 17 2017 01: +0" 0.86 67
"Jul 18 2017 01: +0" 0.813 47
"Jul 19 2017 01: +0" 0.656 163
"Jul 20 2017 01: +0" 0.26 2396
"Jul 21 2017 01: +0" 0.319 852
"Jul 22 2017 01: +0" 0.31 803
"Jul 23 2017 01: +0" 0.265 4505
"Jul 24 2017 01: +0" 0.25 1389
"Jul 25 2017 01: +0" 0.254 855
"Jul 26 2017 01: +0" 0.268 759
"Jul 27 2017 01: +0" 0.273 486
"Jul 28 2017 01: +0" 0.272 393
"Jul 29 2017 01: +0" 0.263 444
"Jul 30 2017 01: +0" 0.259 356
"Jul 31 2017 01: +0" 0.264 447
"Aug 01 2017 01: +0" 0.25 376
"Aug 02 2017 01: +0" 0.243 406
"Aug 03 2017 01: +0" 0.232 462
"Aug 04 2017 01: +0" 0.225 467
"Aug 05 2017 01: +0" 0.228 475
"Aug 06 2017 01: +0" 0.225 466
"Aug 07 2017 01: +0" 0.218 403
"Aug 08 2017 01: +0" 0.226 323
"Aug 09 2017 01: +0" 0.221 347
"Aug 10 2017 01: +0" 0.224 358
"Aug 11 2017 01: +0" 0.226 377
"Aug 12 2017 01: +0" 0.225 272
"Aug 13 2017 01: +0" 0.214 331
"Aug 14 2017 01: +0" 0.214 339
"Aug 15 2017 01: +0" 0.216 278
"Aug 16 2017 01: +0" 0.216 308
"Aug 17 2017 01: +0" 0.21 348
"Aug 18 2017 01: +0" 0.217 364
"Aug 19 2017 01: +0" 0.228 247
"Aug 20 2017 01: +0" 0.222 281
"Aug 21 2017 01: +0" 0.225 246
"Aug 22 2017 01: +0" 0.228 242
"Aug 23 2017 01: +0" 0.234 227
"Aug 24 2017 01: +0" 0.232 237
"Aug 25 2017 01: +0" 0.237 202
"Aug 26 2017 01: +0" 0.231 223
"Aug 27 2017 01: +0" 0.238 213
"Aug 28 2017 01: +0" 0.244 275
"Aug 29 2017 01: +0" 0.234 190
"Aug 30 2017 01: +0" 0.236 277
"Aug 31 2017 01: +0" 0.243 166
"Sep 01 2017 01: +0" 0.252 207
"Sep 02 2017 01: +0" 0.256 199
"Sep 03 2017 01: +0" 0.255 202
"Sep 04 2017 01: +0" 0.251 179
"Sep 05 2017 01: +0" 0.242 155
"Sep 06 2017 01: +0" 0.237 176
"Sep 07 2017 01: +0" 0.246 200
"Sep 08 2017 01: +0" 0.256 204
"Sep 09 2017 01: +0" 0.255 225
"Sep 10 2017 01: +0" 0.261 193
"Sep 11 2017 01: +0" 0.269 141
"Sep 12 2017 01: +0" 0.269 122
"Sep 13 2017 01: +0" 0.268 127
"Sep 14 2017 01: +0" 0.266 154
"Sep 15 2017 01: +0" 0.264 235
"Sep 16 2017 01: +0" 0.275 216
"Sep 17 2017 01: +0" 0.27 220
"Sep 18 2017 01: +0" 0.262 163
"Sep 19 2017 01: +0" 0.248 174
"Sep 20 2017 01: +0" 0.263 220
"Sep 21 2017 01: +0" 0.27 215
"Sep 22 2017 01: +0" 0.271 200
"Sep 23 2017 01: +0" 0.276 167
"Sep 24 2017 01: +0" 0.27 179
"Sep 25 2017 01: +0" 0.275 162
"Sep 26 2017 01: +0" 0.265 217
"Sep 27 2017 01: +0" 0.257 126
"Sep 28 2017 01: +0" 0.238 189
"Sep 29 2017 01: +0" 0.231 232
"Sep 30 2017 01: +0" 0.239 248
"Oct 01 2017 01: +0" 0.242 233
"Oct 02 2017 01: +0" 0.237 183
"Oct 03 2017 01: +0" 0.253 112
"Oct 04 2017 01: +0" 0.259 133
"Oct 05 2017 01: +0" 0.251 110
"Oct 06 2017 01: +0" 0.253 128
"Oct 07 2017 01: +0" 0.254 158
"Oct 08 2017 01: +0" 0.254 155
"Oct 09 2017 01: +0" 0.251 130
"Oct 10 2017 01: +0" 0.251 143
"Oct 11 2017 01: +0" 0.253 129
"Oct 12 2017 01: +0" 0.248 97
"Oct 13 2017 01: +0" 0.263 130
"Oct 14 2017 01: +0" 0.27 138
"Oct 15 2017 01: +0" 0.248 147
"Oct 16 2017 01: +0" 0.256 112
"Oct 17 2017 01: +0" 0.248 107
"Oct 18 2017 01: +0" 0.254 125
"Oct 19 2017 01: +0" 0.255 106
"Oct 20 2017 01: +0" 0.265 125
"Oct 21 2017 01: +0" 0.259 165
"Oct 22 2017 01: +0" 0.254 158
"Oct 23 2017 01: +0" 0.253 101
"Oct 24 2017 01: +0" 0.254 116
"Oct 25 2017 01: +0" 0.251 91
"Oct 26 2017 01: +0" 0.26 115
"Oct 27 2017 01: +0" 0.251 139
"Oct 28 2017 01: +0" 0.243 141
"Oct 29 2017 01: +0" 0.241 160
"Oct 30 2017 01: +0" 0.25 121
"Oct 31 2017 01: +0" 0.252 94
"Nov 01 2017 01: +0" 0.244 104
"Nov 02 2017 01: +0" 0.25 103
"Nov 03 2017 01: +0" 0.245 143
"Nov 04 2017 01: +0" 0.232 142
"Nov 05 2017 01: +0" 0.232 143
"Nov 06 2017 01: +0" 0.239 110
"Nov 07 2017 01: +0" 0.247 94
"Nov 08 2017 01: +0" 0.247 80
"Nov 09 2017 01: +0" 0.244 123
"Nov 10 2017 01: +0" 0.238 139
"Nov 11 2017 01: +0" 0.236 140
"Nov 12 2017 01: +0" 0.228 153
"Nov 13 2017 01: +0" 0.228 78
"Nov 14 2017 01: +0" 0.223 93
"Nov 15 2017 01: +0" 0.22 120
"Nov 16 2017 01: +0" 0.217 109
"Nov 17 2017 01: +0" 0.214 162
"Nov 18 2017 01: +0" 0.216 145
"Nov 19 2017 01: +0" 0.22 131
"Nov 20 2017 01: +0" 0.211 123
"Nov 21 2017 01: +0" 0.217 176
"Nov 22 2017 01: +0" 0.218 98
"Nov 23 2017 01: +0" 0.216 95
