Aug 30 2018 01: +0,1.039,79
Aug 31 2018 01: +0,1.026,32
Sep 01 2018 01: +0,1.065,37
Sep 02 2018 01: +0,1.009,26
Sep 03 2018 01: +0,1.021,37
Sep 04 2018 01: +0,1.047,22
Sep 05 2018 01: +0,0.976,33
Sep 06 2018 01: +0,1.065,22
Sep 07 2018 01: +0,1.001,33
Sep 08 2018 01: +0,1.003,27
Sep 09 2018 01: +0,1.059,31
Sep 10 2018 01: +0,1.081,53
Sep 11 2018 01: +0,1.098,107
Sep 12 2018 01: +0,1.027,46
Sep 13 2018 01: +0,0.851,35
Sep 14 2018 01: +0,0.819,33
Sep 15 2018 01: +0,0.891,23
Sep 16 2018 01: +0,0.788,53
Sep 17 2018 01: +0,0.315,1438
Sep 18 2018 01: +0,0.234,576
Sep 19 2018 01: +0,0.244,495
Sep 20 2018 01: +0,0.26,419
Sep 21 2018 01: +0,0.266,419
Sep 22 2018 01: +0,0.26,829
Sep 23 2018 01: +0,0.266,1172
Sep 24 2018 01: +0,0.27,803
Sep 25 2018 01: +0,0.27,473
Sep 26 2018 01: +0,0.297,492
Sep 27 2018 01: +0,0.294,338
Sep 28 2018 01: +0,0.28,290
Sep 29 2018 01: +0,0.273,268
Sep 30 2018 01: +0,0.269,277
Oct 01 2018 01: +0,0.269,211
Oct 02 2018 01: +0,0.268,194
Oct 02 2018 23: +0,0.278,4
Oct 03 2018 01: +0,0.248,3
Oct 03 2018 02: +0,0.264,6
Oct 03 2018 03: +0,0.261,4
Oct 03 2018 04: +0,0.254,6
Oct 03 2018 05: +0,0.264,6
Oct 03 2018 06: +0,0.288,6
Oct 03 2018 07: +0,0.281,2
Oct 03 2018 08: +0,0.283,8
Oct 03 2018 09: +0,0.263,18
Oct 03 2018 10: +0,0.265,11
Oct 03 2018 11: +0,0.28,11
Oct 03 2018 12: +0,0.282,20
Oct 03 2018 13: +0,0.287,36
Oct 03 2018 14: +0,0.269,13
Oct 03 2018 15: +0,0.279,11
Oct 03 2018 16: +0,0.275,9
Oct 03 2018 17: +0,0.271,10
Oct 03 2018 18: +0,0.276,12
Oct 03 2018 19: +0,0.268,23
Oct 03 2018 20: +0,0.282,10
Oct 03 2018 21: +0,0.261,17
Oct 03 2018 22: +0,0.252,9
Oct 03 2018 23: +0,0.26,8
Oct 04 2018 00: +0,0.275,12
Oct 04 2018 01: +0,0.283,10
Oct 04 2018 02: +0,0.288,25
Oct 04 2018 03: +0,0.287,4
Oct 04 2018 04: +0,0.288,1
Oct 04 2018 05: +0,0.276,5
Oct 04 2018 06: +0,0.246,2
Oct 04 2018 07: +0,0.282,4
Oct 04 2018 08: +0,0.247,2
Oct 04 2018 09: +0,0.246,10
Oct 04 2018 10: +0,0.253,8
Oct 04 2018 11: +0,0.265,14
Oct 04 2018 12: +0,0.288,8
Oct 04 2018 13: +0,0.263,12
Oct 04 2018 14: +0,0.278,18
Oct 04 2018 15: +0,0.284,22
Oct 04 2018 16: +0,0.287,20
Oct 04 2018 17: +0,0.263,12
Oct 04 2018 18: +0,0.288,22
Oct 04 2018 19: +0,0.271,13
Oct 04 2018 20: +0,0.249,11
Oct 04 2018 21: +0,0.259,8
Oct 04 2018 22: +0,0.242,4
Oct 04 2018 23: +0,0.272,8
Oct 05 2018 00: +0,0.275,10
Oct 05 2018 01: +0,0.247,1
Oct 05 2018 02: +0,0.28,4
Oct 05 2018 03: +0,0.28,2
Oct 05 2018 04: +0,0.265,3
Oct 05 2018 05: +0,0.283,4
Oct 05 2018 06: +0,0.28,3
Oct 05 2018 07: +0,0.277,7
Oct 05 2018 08: +0,0.28,5
Oct 05 2018 09: +0,0.26,2
Oct 05 2018 10: +0,0.278,8
Oct 05 2018 11: +0,0.284,12
Oct 05 2018 12: +0,0.287,9
Oct 05 2018 13: +0,0.288,26
Oct 05 2018 14: +0,0.282,17
Oct 05 2018 15: +0,0.279,12
Oct 05 2018 16: +0,0.262,14
Oct 05 2018 17: +0,0.275,13
Oct 05 2018 18: +0,0.276,17
Oct 05 2018 19: +0,0.284,16
Oct 05 2018 20: +0,0.263,13
Oct 05 2018 21: +0,0.271,10
Oct 05 2018 22: +0,0.281,5
Oct 05 2018 23: +0,0.265,6
Oct 06 2018 00: +0,0.256,2
Oct 06 2018 01: +0,0.278,4
Oct 06 2018 02: +0,0.276,7
Oct 06 2018 03: +0,0.281,3
Oct 06 2018 04: +0,0.194,4
Oct 06 2018 05: +0,0.276,4
Oct 06 2018 06: +0,0.285,4
Oct 06 2018 07: +0,0.276,10
Oct 06 2018 08: +0,0.276,3
Oct 06 2018 09: +0,0.286,13
Oct 06 2018 10: +0,0.281,12
Oct 06 2018 11: +0,0.286,5
Oct 06 2018 12: +0,0.255,3
Oct 06 2018 13: +0,0.258,24
Oct 06 2018 14: +0,0.266,12
Oct 06 2018 15: +0,0.265,15
Oct 06 2018 16: +0,0.287,15
Oct 06 2018 17: +0,0.286,16
Oct 06 2018 18: +0,0.291,16
Oct 06 2018 19: +0,0.289,12
Oct 06 2018 20: +0,0.252,19
Oct 06 2018 21: +0,0.252,10
Oct 06 2018 22: +0,0.253,6
Oct 06 2018 23: +0,0.247,10
Oct 07 2018 00: +0,0.25,13
Oct 07 2018 01: +0,0.265,13
Oct 07 2018 02: +0,0.288,6
Oct 07 2018 03: +0,0.291,9
Oct 07 2018 04: +0,0.278,2
Oct 07 2018 05: +0,0.249,3
Oct 07 2018 06: +0,0.29,6
Oct 07 2018 07: +0,0.292,4
Oct 07 2018 08: +0,0.271,7
Oct 07 2018 09: +0,0.287,7
Oct 07 2018 10: +0,0.269,7
Oct 07 2018 11: +0,0.274,12
