Aug 30 2018 01: +0,1.082,193
Aug 31 2018 01: +0,1.096,110
Sep 01 2018 01: +0,1.08,96
Sep 02 2018 01: +0,1.075,71
Sep 03 2018 01: +0,1.066,66
Sep 04 2018 01: +0,1.019,64
Sep 05 2018 01: +0,1.037,51
Sep 06 2018 01: +0,1.075,49
Sep 07 2018 01: +0,1.019,46
Sep 08 2018 01: +0,1.048,57
Sep 09 2018 01: +0,1.048,78
Sep 10 2018 01: +0,1.083,105
Sep 11 2018 01: +0,1.103,212
Sep 12 2018 01: +0,1.06,84
Sep 13 2018 01: +0,1.033,54
Sep 14 2018 01: +0,1.034,49
Sep 15 2018 01: +0,1.039,73
Sep 16 2018 01: +0,1.067,58
Sep 17 2018 01: +0,1.034,287
Sep 18 2018 01: +0,1.005,151
Sep 19 2018 01: +0,1.041,143
Sep 20 2018 01: +0,1.02,153
Sep 21 2018 01: +0,0.956,120
Sep 22 2018 01: +0,0.563,6440
Sep 23 2018 01: +0,0.281,12342
Sep 24 2018 01: +0,0.269,5399
Sep 25 2018 01: +0,0.272,2495
Sep 26 2018 01: +0,0.304,3157
Sep 27 2018 01: +0,0.321,1909
Sep 28 2018 01: +0,0.317,1699
Sep 29 2018 01: +0,0.315,1786
Sep 30 2018 01: +0,0.309,1411
Oct 01 2018 01: +0,0.309,1187
Oct 02 2018 01: +0,0.309,967
Oct 02 2018 23: +0,0.31,18
Oct 03 2018 00: +0,0.313,6
Oct 03 2018 01: +0,0.31,15
Oct 03 2018 02: +0,0.32,42
Oct 03 2018 03: +0,0.32,15
Oct 03 2018 04: +0,0.32,18
Oct 03 2018 05: +0,0.322,19
Oct 03 2018 06: +0,0.3,16
Oct 03 2018 07: +0,0.305,26
Oct 03 2018 08: +0,0.31,38
Oct 03 2018 09: +0,0.304,35
Oct 03 2018 10: +0,0.305,37
Oct 03 2018 11: +0,0.306,47
Oct 03 2018 12: +0,0.31,81
Oct 03 2018 13: +0,0.317,91
Oct 03 2018 14: +0,0.317,80
Oct 03 2018 15: +0,0.315,86
Oct 03 2018 16: +0,0.303,97
Oct 03 2018 17: +0,0.316,78
Oct 03 2018 18: +0,0.298,81
Oct 03 2018 19: +0,0.302,120
Oct 03 2018 20: +0,0.322,113
Oct 03 2018 21: +0,0.314,37
Oct 03 2018 22: +0,0.316,26
Oct 03 2018 23: +0,0.318,37
Oct 04 2018 00: +0,0.321,27
Oct 04 2018 01: +0,0.31,22
Oct 04 2018 02: +0,0.281,49
Oct 04 2018 03: +0,0.311,14
Oct 04 2018 04: +0,0.32,24
Oct 04 2018 05: +0,0.321,14
Oct 04 2018 06: +0,0.297,27
Oct 04 2018 07: +0,0.311,32
Oct 04 2018 08: +0,0.316,58
Oct 04 2018 09: +0,0.322,52
Oct 04 2018 10: +0,0.297,63
Oct 04 2018 11: +0,0.318,49
