Aug 30 2018 01: +0,1.002,50
Aug 31 2018 01: +0,1.027,26
Sep 01 2018 01: +0,1.066,18
Sep 02 2018 01: +0,1.031,14
Sep 03 2018 01: +0,1.013,9
Sep 04 2018 01: +0,1.045,21
Sep 05 2018 01: +0,0.861,23
Sep 06 2018 01: +0,0.671,22
Sep 07 2018 01: +0,0.755,19
Sep 08 2018 01: +0,0.817,23
Sep 09 2018 01: +0,0.932,36
Sep 10 2018 01: +0,0.438,384
Sep 11 2018 01: +0,0.318,447
Sep 12 2018 01: +0,0.335,180
Sep 13 2018 01: +0,0.368,107
Sep 14 2018 01: +0,0.332,98
Sep 15 2018 01: +0,0.312,161
Sep 16 2018 01: +0,0.249,178
Sep 17 2018 01: +0,0.205,754
Sep 18 2018 01: +0,0.194,335
Sep 19 2018 01: +0,0.199,273
Sep 20 2018 01: +0,0.198,224
Sep 21 2018 01: +0,0.205,199
Sep 22 2018 01: +0,0.205,592
Sep 23 2018 01: +0,0.21,590
Sep 24 2018 01: +0,0.203,501
Sep 25 2018 01: +0,0.188,335
Sep 26 2018 01: +0,0.203,252
Sep 27 2018 01: +0,0.193,171
Sep 28 2018 01: +0,0.192,133
Sep 29 2018 01: +0,0.191,166
Sep 30 2018 01: +0,0.185,163
Oct 01 2018 01: +0,0.194,140
Oct 02 2018 01: +0,0.192,131
Oct 03 2018 01: +0,0.194,6
Oct 03 2018 06: +0,0.201,5
Oct 03 2018 07: +0,0.189,1
Oct 03 2018 08: +0,0.211,1
Oct 03 2018 09: +0,0.203,5
Oct 03 2018 10: +0,0.184,6
Oct 03 2018 11: +0,0.199,1
Oct 03 2018 12: +0,0.191,7
Oct 03 2018 13: +0,0.184,7
Oct 03 2018 14: +0,0.198,10
Oct 03 2018 15: +0,0.202,2
Oct 03 2018 16: +0,0.208,10
Oct 03 2018 17: +0,0.195,2
Oct 03 2018 18: +0,0.195,9
Oct 03 2018 19: +0,0.2,21
Oct 03 2018 20: +0,0.191,2
Oct 03 2018 21: +0,0.189,4
Oct 03 2018 22: +0,0.168,2
Oct 03 2018 23: +0,0.188,12
Oct 04 2018 00: +0,0.19,4
Oct 04 2018 02: +0,0.201,1
Oct 04 2018 03: +0,0.197,2
Oct 04 2018 04: +0,0.19,1
Oct 04 2018 05: +0,0.198,3
Oct 04 2018 06: +0,0.194,2
Oct 04 2018 07: +0,0.198,1
Oct 04 2018 08: +0,0.191,2
Oct 04 2018 09: +0,0.2,11
Oct 04 2018 10: +0,0.186,8
Oct 04 2018 11: +0,0.2,14
Oct 04 2018 12: +0,0.2,20
Oct 04 2018 13: +0,0.19,13
Oct 04 2018 14: +0,0.199,17
Oct 04 2018 15: +0,0.202,4
Oct 04 2018 16: +0,0.214,24
Oct 04 2018 17: +0,0.207,10
Oct 04 2018 18: +0,0.217,7
Oct 04 2018 19: +0,0.204,6
Oct 04 2018 20: +0,0.204,2
Oct 04 2018 21: +0,0.184,4
Oct 04 2018 22: +0,0.207,1
Oct 04 2018 23: +0,0.189,4
Oct 05 2018 01: +0,0.206,1
Oct 05 2018 02: +0,0.21,1
Oct 05 2018 03: +0,0.18,1
Oct 05 2018 04: +0,0.209,1
Oct 05 2018 05: +0,0.194,2
Oct 05 2018 06: +0,0.209,1
Oct 05 2018 07: +0,0.165,1
Oct 05 2018 08: +0,0.2,1
Oct 05 2018 09: +0,0.19,4
Oct 05 2018 10: +0,0.092,1
Oct 05 2018 11: +0,0.181,2
Oct 05 2018 12: +0,0.203,6
