"Aug 30 2018 01: +0" 1.075 83
"Aug 31 2018 01: +0" 1.015 33
"Sep 01 2018 01: +0" 1.058 29
"Sep 02 2018 01: +0" 1.013 26
"Sep 03 2018 01: +0" 1.015 21
"Sep 04 2018 01: +0" 0.992 21
"Sep 05 2018 01: +0" 0.953 29
"Sep 06 2018 01: +0" 0.988 22
"Sep 07 2018 01: +0" 0.909 16
"Sep 08 2018 01: +0" 0.959 46
"Sep 09 2018 01: +0" 1.072 29
"Sep 10 2018 01: +0" 1.061 54
"Sep 11 2018 01: +0" 1.104 107
"Sep 12 2018 01: +0" 0.991 53
"Sep 13 2018 01: +0" 0.862 28
"Sep 14 2018 01: +0" 0.827 101
"Sep 15 2018 01: +0" 0.957 49
"Sep 16 2018 01: +0" 0.884 41
"Sep 17 2018 01: +0" 0.352 1202
"Sep 18 2018 01: +0" 0.254 542
"Sep 19 2018 01: +0" 0.249 373
"Sep 20 2018 01: +0" 0.262 385
"Sep 21 2018 01: +0" 0.268 348
"Sep 22 2018 01: +0" 0.25 850
"Sep 23 2018 01: +0" 0.273 1181
"Sep 24 2018 01: +0" 0.255 661
"Sep 25 2018 01: +0" 0.254 459
"Sep 26 2018 01: +0" 0.269 377
"Sep 27 2018 01: +0" 0.27 271
"Sep 28 2018 01: +0" 0.264 242
"Sep 29 2018 01: +0" 0.263 288
"Sep 30 2018 01: +0" 0.253 234
"Oct 01 2018 01: +0" 0.237 212
"Oct 02 2018 01: +0" 0.229 206
"Oct 02 2018 22: +0" 0.209 5
"Oct 02 2018 23: +0" 0.215 4
"Oct 03 2018 00: +0" 0.243 6
"Oct 03 2018 01: +0" 0.23 3
"Oct 03 2018 02: +0" 0.242 3
"Oct 03 2018 03: +0" 0.219 4
"Oct 03 2018 04: +0" 0.217 3
"Oct 03 2018 05: +0" 0.218 4
"Oct 03 2018 06: +0" 0.219 3
"Oct 03 2018 07: +0" 0.251 4
"Oct 03 2018 08: +0" 0.251 2
"Oct 03 2018 09: +0" 0.238 3
"Oct 03 2018 10: +0" 0.229 5
"Oct 03 2018 11: +0" 0.218 11
"Oct 03 2018 12: +0" 0.234 19
"Oct 03 2018 13: +0" 0.232 5
"Oct 03 2018 14: +0" 0.233 9
"Oct 03 2018 15: +0" 0.234 8
"Oct 03 2018 16: +0" 0.238 16
"Oct 03 2018 17: +0" 0.253 10
"Oct 03 2018 18: +0" 0.24 10
"Oct 03 2018 19: +0" 0.199 11
"Oct 03 2018 20: +0" 0.207 12
"Oct 03 2018 21: +0" 0.223 9
"Oct 03 2018 22: +0" 0.219 16
"Oct 03 2018 23: +0" 0.24 6
"Oct 04 2018 00: +0" 0.24 3
"Oct 04 2018 02: +0" 0.242 1
"Oct 04 2018 03: +0" 0.209 3
"Oct 04 2018 04: +0" 0.227 3
"Oct 04 2018 05: +0" 0.243 3
"Oct 04 2018 06: +0" 0.251 1
"Oct 04 2018 07: +0" 0.252 2
