Mar 18 2016 01: +0,1.144,1015
Mar 19 2016 01: +0,1.133,571
Mar 20 2016 01: +0,1.111,360
Mar 21 2016 01: +0,1.123,330
Mar 22 2016 01: +0,1.115,241
Mar 23 2016 01: +0,1.101,215
Mar 24 2016 01: +0,1.107,269
Mar 25 2016 01: +0,1.091,225
Mar 26 2016 01: +0,1.101,211
Mar 27 2016 01: +0,1.098,205
Mar 28 2016 01: +0,1.108,243
Mar 29 2016 01: +0,1.12,357
Mar 30 2016 01: +0,1.051,416
Mar 31 2016 01: +0,0.73,1714
Apr 01 2016 01: +0,0.506,3301
Apr 02 2016 01: +0,0.844,2328
Apr 03 2016 01: +0,0.303,32960
Apr 04 2016 01: +0,0.337,7581
Apr 05 2016 01: +0,0.389,3557
Apr 06 2016 01: +0,0.395,2107
Apr 07 2016 01: +0,0.371,1915
Apr 08 2016 01: +0,0.38,2020
Apr 09 2016 01: +0,0.383,1857
Apr 10 2016 01: +0,0.386,1960
Apr 11 2016 01: +0,0.363,1542
Apr 12 2016 01: +0,0.352,1461
Apr 13 2016 01: +0,0.337,1509
Apr 14 2016 01: +0,0.348,1274
Apr 15 2016 01: +0,0.367,1301
Apr 16 2016 01: +0,0.388,1381
Apr 17 2016 01: +0,0.366,1281
Apr 18 2016 01: +0,0.355,1042
Apr 19 2016 01: +0,0.364,983
Apr 20 2016 01: +0,0.366,971
Apr 21 2016 01: +0,0.377,916
Apr 22 2016 01: +0,0.366,939
Apr 23 2016 01: +0,0.389,1165
Apr 24 2016 01: +0,0.384,1025
Apr 25 2016 01: +0,0.381,868
Apr 26 2016 01: +0,0.394,820
Apr 27 2016 01: +0,0.385,879
Apr 28 2016 01: +0,0.392,911
Apr 29 2016 01: +0,0.406,1159
Apr 30 2016 01: +0,0.398,1154
May 01 2016 01: +0,0.412,1072
May 02 2016 01: +0,0.416,921
May 03 2016 01: +0,0.437,831
May 04 2016 01: +0,0.475,838
May 05 2016 01: +0,0.476,668
May 06 2016 01: +0,0.468,715
May 07 2016 01: +0,0.466,830
May 08 2016 01: +0,0.46,700
May 09 2016 01: +0,0.456,718
May 10 2016 01: +0,0.451,714
May 11 2016 01: +0,0.456,669
May 12 2016 01: +0,0.445,682
May 13 2016 01: +0,0.458,783
May 14 2016 01: +0,0.5,1095
May 15 2016 01: +0,0.505,844
May 16 2016 01: +0,0.499,742
May 17 2016 01: +0,0.461,697
May 18 2016 01: +0,0.444,595
May 19 2016 01: +0,0.452,688
May 20 2016 01: +0,0.465,574
May 21 2016 01: +0,0.467,718
May 22 2016 01: +0,0.468,730
May 23 2016 01: +0,0.465,684
May 24 2016 01: +0,0.455,520
May 25 2016 01: +0,0.455,599
May 26 2016 01: +0,0.449,523
May 27 2016 01: +0,0.44,569
May 28 2016 01: +0,0.439,755
May 29 2016 01: +0,0.437,597
May 30 2016 01: +0,0.435,547
May 31 2016 01: +0,0.431,434
Jun 01 2016 01: +0,0.424,752
Jun 02 2016 01: +0,0.394,534
Jun 03 2016 01: +0,0.383,662
Jun 04 2016 01: +0,0.37,684
Jun 05 2016 01: +0,0.366,635
Jun 06 2016 01: +0,0.364,586
Jun 07 2016 01: +0,0.369,752
Jun 08 2016 01: +0,0.377,750
Jun 09 2016 01: +0,0.364,679
Jun 10 2016 01: +0,0.383,694
