"Mar 18 2016 01: +0" 1.134 147
"Mar 19 2016 01: +0" 1.141 116
"Mar 20 2016 01: +0" 1.078 64
"Mar 21 2016 01: +0" 1.074 39
"Mar 22 2016 01: +0" 1.091 27
"Mar 23 2016 01: +0" 1.104 43
"Mar 24 2016 01: +0" 1.074 32
"Mar 25 2016 01: +0" 1.03 30
"Mar 26 2016 01: +0" 1.027 36
"Mar 27 2016 01: +0" 1.067 52
"Mar 28 2016 01: +0" 1.111 52
"Mar 29 2016 01: +0" 1.1 60
"Mar 30 2016 01: +0" 1.031 244
"Mar 31 2016 01: +0" 1.085 339
"Apr 01 2016 01: +0" 0.445 3079
"Apr 02 2016 01: +0" 0.319 1885
"Apr 03 2016 01: +0" 0.297 9388
"Apr 04 2016 01: +0" 0.322 3155
"Apr 05 2016 01: +0" 0.382 1504
"Apr 06 2016 01: +0" 0.388 748
"Apr 07 2016 01: +0" 0.345 866
"Apr 08 2016 01: +0" 0.341 697
"Apr 09 2016 01: +0" 0.337 821
"Apr 10 2016 01: +0" 0.344 659
"Apr 11 2016 01: +0" 0.322 640
"Apr 12 2016 01: +0" 0.313 589
"Apr 13 2016 01: +0" 0.302 627
"Apr 14 2016 01: +0" 0.308 524
"Apr 15 2016 01: +0" 0.316 564
"Apr 16 2016 01: +0" 0.32 657
"Apr 17 2016 01: +0" 0.325 561
"Apr 18 2016 01: +0" 0.331 438
"Apr 19 2016 01: +0" 0.336 397
"Apr 20 2016 01: +0" 0.335 377
"Apr 21 2016 01: +0" 0.343 392
"Apr 22 2016 01: +0" 0.336 405
"Apr 23 2016 01: +0" 0.353 408
"Apr 24 2016 01: +0" 0.333 405
"Apr 25 2016 01: +0" 0.335 362
"Apr 26 2016 01: +0" 0.335 341
"Apr 27 2016 01: +0" 0.331 364
"Apr 28 2016 01: +0" 0.343 383
"Apr 29 2016 01: +0" 0.345 463
"Apr 30 2016 01: +0" 0.359 468
"May 01 2016 01: +0" 0.377 426
"May 02 2016 01: +0" 0.374 400
"May 03 2016 01: +0" 0.374 336
"May 04 2016 01: +0" 0.374 370
"May 05 2016 01: +0" 0.398 309
"May 06 2016 01: +0" 0.398 289
"May 07 2016 01: +0" 0.399 318
"May 08 2016 01: +0" 0.402 272
"May 09 2016 01: +0" 0.383 293
"May 10 2016 01: +0" 0.378 341
"May 11 2016 01: +0" 0.385 289
"May 12 2016 01: +0" 0.376 376
"May 13 2016 01: +0" 0.387 324
"May 14 2016 01: +0" 0.4 382
"May 15 2016 01: +0" 0.409 324
"May 16 2016 01: +0" 0.401 296
"May 17 2016 01: +0" 0.375 311
"May 18 2016 01: +0" 0.365 267
"May 19 2016 01: +0" 0.379 260
"May 20 2016 01: +0" 0.38 324
"May 21 2016 01: +0" 0.385 325
"May 22 2016 01: +0" 0.381 307
"May 23 2016 01: +0" 0.376 241
"May 24 2016 01: +0" 0.364 263
"May 25 2016 01: +0" 0.368 244
"May 26 2016 01: +0" 0.36 329
"May 27 2016 01: +0" 0.354 279
"May 28 2016 01: +0" 0.356 437
"May 29 2016 01: +0" 0.361 321
"May 30 2016 01: +0" 0.364 259
"May 31 2016 01: +0" 0.364 250
"Jun 01 2016 01: +0" 0.366 366
"Jun 02 2016 01: +0" 0.342 336
"Jun 03 2016 01: +0" 0.336 326
"Jun 04 2016 01: +0" 0.339 344
"Jun 05 2016 01: +0" 0.339 349
"Jun 06 2016 01: +0" 0.334 283
"Jun 07 2016 01: +0" 0.335 328
"Jun 08 2016 01: +0" 0.33 363
"Jun 09 2016 01: +0" 0.317 515
"Jun 10 2016 01: +0" 0.329 404
"Jun 11 2016 01: +0" 0.341 316
"Jun 12 2016 01: +0" 0.333 396
"Jun 13 2016 01: +0" 0.329 398
"Jun 14 2016 01: +0" 0.32 371
"Jun 15 2016 01: +0" 0.321 344
"Jun 16 2016 01: +0" 0.323 353
"Jun 17 2016 01: +0" 0.327 395
"Jun 18 2016 01: +0" 0.327 427
"Jun 19 2016 01: +0" 0.323 519
"Jun 20 2016 01: +0" 0.323 411
"Jun 21 2016 01: +0" 0.322 500
"Jun 22 2016 01: +0" 0.327 379
"Jun 23 2016 01: +0" 0.328 313
"Jun 24 2016 01: +0" 0.316 290
"Jun 25 2016 01: +0" 0.292 311
"Jun 26 2016 01: +0" 0.287 285
"Jun 27 2016 01: +0" 0.287 238
"Jun 28 2016 01: +0" 0.284 297
"Jun 29 2016 01: +0" 0.294 276
"Jun 30 2016 01: +0" 0.304 276
"Jul 01 2016 01: +0" 0.303 267
"Jul 02 2016 01: +0" 0.298 294
"Jul 03 2016 01: +0" 0.301 255
"Jul 04 2016 01: +0" 0.292 258
"Jul 05 2016 01: +0" 0.301 249
"Jul 06 2016 01: +0" 0.303 303
"Jul 07 2016 01: +0" 0.299 293
"Jul 08 2016 01: +0" 0.294 298
"Jul 09 2016 01: +0" 0.285 259
"Jul 10 2016 01: +0" 0.265 405
"Jul 11 2016 01: +0" 0.26 181
"Jul 12 2016 01: +0" 0.285 150
"Jul 13 2016 01: +0" 0.304 121
"Jul 14 2016 01: +0" 0.281 106
"Jul 15 2016 01: +0" 0.279 124
"Jul 16 2016 01: +0" 0.289 99
"Jul 17 2016 01: +0" 0.295 129
"Jul 18 2016 01: +0" 0.29 91
"Jul 19 2016 01: +0" 0.289 93
"Jul 20 2016 01: +0" 0.278 168
"Jul 21 2016 01: +0" 0.281 97
"Jul 22 2016 01: +0" 0.286 80
"Jul 23 2016 01: +0" 0.292 108
"Jul 24 2016 01: +0" 0.296 75
"Jul 25 2016 01: +0" 0.294 84
"Jul 26 2016 01: +0" 0.296 112
"Jul 27 2016 01: +0" 0.298 103
"Jul 28 2016 01: +0" 0.296 115
"Jul 29 2016 01: +0" 0.299 79
"Jul 30 2016 01: +0" 0.303 111
"Jul 31 2016 01: +0" 0.306 81
"Aug 01 2016 01: +0" 0.298 106
"Aug 02 2016 01: +0" 0.294 126
"Aug 03 2016 01: +0" 0.3 111
"Aug 04 2016 01: +0" 0.3 99
"Aug 05 2016 01: +0" 0.311 72
"Aug 06 2016 01: +0" 0.294 102
"Aug 07 2016 01: +0" 0.301 98
"Aug 08 2016 01: +0" 0.301 98
"Aug 09 2016 01: +0" 0.3 100
"Aug 10 2016 01: +0" 0.298 95
"Aug 11 2016 01: +0" 0.3 69
"Aug 12 2016 01: +0" 0.301 106
"Aug 13 2016 01: +0" 0.298 83
"Aug 14 2016 01: +0" 0.294 84
"Aug 15 2016 01: +0" 0.294 111
"Aug 16 2016 01: +0" 0.306 120
"Aug 17 2016 01: +0" 0.312 102
"Aug 18 2016 01: +0" 0.318 101
"Aug 19 2016 01: +0" 0.306 106
"Aug 20 2016 01: +0" 0.312 103
"Aug 21 2016 01: +0" 0.309 87
"Aug 22 2016 01: +0" 0.315 130
"Aug 23 2016 01: +0" 0.308 116
"Aug 24 2016 01: +0" 0.313 154
"Aug 25 2016 01: +0" 0.312 226
"Aug 26 2016 01: +0" 0.323 156
"Aug 27 2016 01: +0" 0.335 108
"Aug 28 2016 01: +0" 0.338 137
"Aug 29 2016 01: +0" 0.337 112
"Aug 30 2016 01: +0" 0.329 150
"Aug 31 2016 01: +0" 0.333 131
"Sep 01 2016 01: +0" 0.335 163
"Sep 02 2016 01: +0" 0.335 245
"Sep 03 2016 01: +0" 0.341 257
"Sep 04 2016 01: +0" 0.339 256
"Sep 05 2016 01: +0" 0.34 241
"Sep 06 2016 01: +0" 0.351 160
"Sep 07 2016 01: +0" 0.364 91
"Sep 08 2016 01: +0" 0.368 97
"Sep 09 2016 01: +0" 0.368 90
"Sep 10 2016 01: +0" 0.372 134
"Sep 11 2016 01: +0" 0.37 138
"Sep 12 2016 01: +0" 0.373 112
"Sep 13 2016 01: +0" 0.366 115
"Sep 14 2016 01: +0" 0.367 76
"Sep 15 2016 01: +0" 0.362 116
"Sep 16 2016 01: +0" 0.367 91
"Sep 17 2016 01: +0" 0.367 163
"Sep 18 2016 01: +0" 0.369 127
"Sep 19 2016 01: +0" 0.37 91
"Sep 20 2016 01: +0" 0.374 89
"Sep 21 2016 01: +0" 0.367 105
"Sep 22 2016 01: +0" 0.371 70
"Sep 23 2016 01: +0" 0.374 94
"Sep 24 2016 01: +0" 0.382 161
"Sep 25 2016 01: +0" 0.378 118
"Sep 26 2016 01: +0" 0.369 74
"Sep 27 2016 01: +0" 0.373 71
"Sep 28 2016 01: +0" 0.373 91
"Sep 29 2016 01: +0" 0.375 82
"Sep 30 2016 01: +0" 0.375 108
"Oct 01 2016 01: +0" 0.373 136
"Oct 02 2016 01: +0" 0.38 73
"Oct 03 2016 01: +0" 0.372 78
"Oct 04 2016 01: +0" 0.375 65
"Oct 05 2016 01: +0" 0.361 69
"Oct 06 2016 01: +0" 0.352 95
"Oct 07 2016 01: +0" 0.346 120
"Oct 08 2016 01: +0" 0.346 94
"Oct 09 2016 01: +0" 0.347 132
"Oct 10 2016 01: +0" 0.342 87
"Oct 11 2016 01: +0" 0.345 102
"Oct 12 2016 01: +0" 0.334 133
"Oct 13 2016 01: +0" 0.337 94
"Oct 14 2016 01: +0" 0.34 102
"Oct 15 2016 01: +0" 0.341 96
"Oct 16 2016 01: +0" 0.338 76
"Oct 17 2016 01: +0" 0.333 71
"Oct 18 2016 01: +0" 0.339 71
"Oct 19 2016 01: +0" 0.333 84
"Oct 20 2016 01: +0" 0.332 78
"Oct 21 2016 01: +0" 0.33 93
"Oct 22 2016 01: +0" 0.344 82
"Oct 23 2016 01: +0" 0.343 77
"Oct 24 2016 01: +0" 0.338 65
"Oct 25 2016 01: +0" 0.332 57
"Oct 26 2016 01: +0" 0.331 98
"Oct 27 2016 01: +0" 0.341 58
"Oct 28 2016 01: +0" 0.341 62
"Oct 29 2016 01: +0" 0.338 73
"Oct 30 2016 01: +0" 0.327 113
"Oct 31 2016 01: +0" 0.324 62
"Nov 01 2016 01: +0" 0.323 80
"Nov 02 2016 01: +0" 0.332 74
"Nov 03 2016 01: +0" 0.329 109
"Nov 04 2016 01: +0" 0.335 111
"Nov 05 2016 01: +0" 0.335 143
"Nov 06 2016 01: +0" 0.334 134
"Nov 07 2016 01: +0" 0.331 78
"Nov 08 2016 01: +0" 0.339 98
"Nov 09 2016 01: +0" 0.347 55
"Nov 10 2016 01: +0" 0.348 51
"Nov 11 2016 01: +0" 0.343 89
"Nov 12 2016 01: +0" 0.347 77
"Nov 13 2016 01: +0" 0.343 89
"Nov 14 2016 01: +0" 0.347 67
"Nov 15 2016 01: +0" 0.337 77
"Nov 16 2016 01: +0" 0.34 60
"Nov 17 2016 01: +0" 0.332 52
"Nov 18 2016 01: +0" 0.336 81
"Nov 19 2016 01: +0" 0.331 109
"Nov 20 2016 01: +0" 0.339 88
"Nov 21 2016 01: +0" 0.338 51
"Nov 22 2016 01: +0" 0.342 70
"Nov 23 2016 01: +0" 0.334 78
"Nov 24 2016 01: +0" 0.321 64
"Nov 25 2016 01: +0" 0.323 73
"Nov 26 2016 01: +0" 0.331 94
"Nov 27 2016 01: +0" 0.319 102
"Nov 28 2016 01: +0" 0.323 65
"Nov 29 2016 01: +0" 0.321 119
"Nov 30 2016 01: +0" 0.335 76
"Dec 01 2016 01: +0" 0.348 75
"Dec 02 2016 01: +0" 0.348 138
"Dec 03 2016 01: +0" 0.358 103
"Dec 04 2016 01: +0" 0.375 88
"Dec 05 2016 01: +0" 0.37 62
"Dec 06 2016 01: +0" 0.371 82
"Dec 07 2016 01: +0" 0.374 78
"Dec 08 2016 01: +0" 0.375 67
"Dec 09 2016 01: +0" 0.371 99
"Dec 10 2016 01: +0" 0.377 93
"Dec 11 2016 01: +0" 0.373 77
"Dec 12 2016 01: +0" 0.368 96
"Dec 13 2016 01: +0" 0.386 50
"Dec 14 2016 01: +0" 0.374 54
"Dec 15 2016 01: +0" 0.365 86
"Dec 16 2016 01: +0" 0.371 65
"Dec 17 2016 01: +0" 0.366 77
"Dec 18 2016 01: +0" 0.355 76
"Dec 19 2016 01: +0" 0.339 134
"Dec 20 2016 01: +0" 0.344 87
"Dec 21 2016 01: +0" 0.346 67
"Dec 22 2016 01: +0" 0.325 198
"Dec 23 2016 01: +0" 0.337 63
"Dec 24 2016 01: +0" 0.344 58
"Dec 25 2016 01: +0" 0.355 73
"Dec 26 2016 01: +0" 0.342 93
