Mar 18 2016 01: +0,1.131,343
Mar 19 2016 01: +0,1.115,186
Mar 20 2016 01: +0,1.106,125
Mar 21 2016 01: +0,1.112,126
Mar 22 2016 01: +0,1.103,107
Mar 23 2016 01: +0,1.091,95
Mar 24 2016 01: +0,1.084,101
Mar 25 2016 01: +0,1.08,91
Mar 26 2016 01: +0,1.1,118
Mar 27 2016 01: +0,1.094,109
Mar 28 2016 01: +0,1.094,131
Mar 29 2016 01: +0,1.123,199
Mar 30 2016 01: +0,0.94,612
Mar 31 2016 01: +0,0.963,702
Apr 01 2016 01: +0,0.685,1944
Apr 02 2016 01: +0,0.528,2597
Apr 03 2016 01: +0,0.3,15654
Apr 04 2016 01: +0,0.345,6229
Apr 05 2016 01: +0,0.406,2099
Apr 06 2016 01: +0,0.393,1485
Apr 07 2016 01: +0,0.368,1385
Apr 08 2016 01: +0,0.385,1498
Apr 09 2016 01: +0,0.398,1471
Apr 10 2016 01: +0,0.382,1408
Apr 11 2016 01: +0,0.37,1242
Apr 12 2016 01: +0,0.367,1157
Apr 13 2016 01: +0,0.364,1024
Apr 14 2016 01: +0,0.375,1077
Apr 15 2016 01: +0,0.374,1072
Apr 16 2016 01: +0,0.402,1181
Apr 17 2016 01: +0,0.407,971
Apr 18 2016 01: +0,0.38,852
Apr 19 2016 01: +0,0.408,770
Apr 20 2016 01: +0,0.404,808
Apr 21 2016 01: +0,0.402,637
Apr 22 2016 01: +0,0.395,774
Apr 23 2016 01: +0,0.405,834
Apr 24 2016 01: +0,0.4,948
Apr 25 2016 01: +0,0.404,745
Apr 26 2016 01: +0,0.395,665
Apr 27 2016 01: +0,0.4,637
Apr 28 2016 01: +0,0.394,771
Apr 29 2016 01: +0,0.408,916
Apr 30 2016 01: +0,0.429,955
May 01 2016 01: +0,0.441,854
May 02 2016 01: +0,0.456,758
May 03 2016 01: +0,0.473,741
May 04 2016 01: +0,0.478,563
May 05 2016 01: +0,0.479,552
May 06 2016 01: +0,0.473,555
May 07 2016 01: +0,0.494,510
May 08 2016 01: +0,0.482,566
May 09 2016 01: +0,0.48,666
May 10 2016 01: +0,0.474,435
May 11 2016 01: +0,0.467,615
May 12 2016 01: +0,0.454,410
May 13 2016 01: +0,0.456,555
May 14 2016 01: +0,0.465,655
May 15 2016 01: +0,0.463,566
May 16 2016 01: +0,0.458,535
May 17 2016 01: +0,0.424,537
May 18 2016 01: +0,0.415,459
May 19 2016 01: +0,0.44,437
May 20 2016 01: +0,0.442,468
May 21 2016 01: +0,0.441,531
May 22 2016 01: +0,0.44,557
May 23 2016 01: +0,0.436,504
May 24 2016 01: +0,0.434,555
May 25 2016 01: +0,0.44,527
May 26 2016 01: +0,0.433,480
May 27 2016 01: +0,0.446,488
May 28 2016 01: +0,0.441,512
May 29 2016 01: +0,0.44,476
May 30 2016 01: +0,0.43,508
May 31 2016 01: +0,0.42,486
Jun 01 2016 01: +0,0.419,595
Jun 02 2016 01: +0,0.401,534
Jun 03 2016 01: +0,0.399,623
Jun 04 2016 01: +0,0.409,542
Jun 05 2016 01: +0,0.4,566
Jun 06 2016 01: +0,0.395,523
Jun 07 2016 01: +0,0.388,432
Jun 08 2016 01: +0,0.391,481
Jun 09 2016 01: +0,0.379,525
Jun 10 2016 01: +0,0.378,605
Jun 11 2016 01: +0,0.398,532
Jun 12 2016 01: +0,0.403,427
Jun 13 2016 01: +0,0.397,443
Jun 14 2016 01: +0,0.41,417
Jun 15 2016 01: +0,0.405,275
Jun 16 2016 01: +0,0.401,479
Jun 17 2016 01: +0,0.417,468
Jun 18 2016 01: +0,0.425,566
Jun 19 2016 01: +0,0.435,545
Jun 20 2016 01: +0,0.443,370
Jun 21 2016 01: +0,0.433,406
Jun 22 2016 01: +0,0.42,355
Jun 23 2016 01: +0,0.412,393
Jun 24 2016 01: +0,0.371,460
Jun 25 2016 01: +0,0.32,582
Jun 26 2016 01: +0,0.326,477
Jun 27 2016 01: +0,0.328,409
Jun 28 2016 01: +0,0.329,483
Jun 29 2016 01: +0,0.34,408
Jun 30 2016 01: +0,0.37,317
Jul 01 2016 01: +0,0.385,325
Jul 02 2016 01: +0,0.385,407
Jul 03 2016 01: +0,0.354,344
Jul 04 2016 01: +0,0.325,524
Jul 05 2016 01: +0,0.327,515
Jul 06 2016 01: +0,0.357,501
Jul 07 2016 01: +0,0.397,346
Jul 08 2016 01: +0,0.405,458
Jul 09 2016 01: +0,0.398,371
Jul 10 2016 01: +0,0.336,449
Jul 11 2016 01: +0,0.326,221
Jul 12 2016 01: +0,0.371,199
Jul 13 2016 01: +0,0.394,174
Jul 14 2016 01: +0,0.387,180
Jul 15 2016 01: +0,0.375,179
Jul 16 2016 01: +0,0.396,167
Jul 17 2016 01: +0,0.398,141
Jul 18 2016 01: +0,0.405,164
Jul 19 2016 01: +0,0.4,126
Jul 20 2016 01: +0,0.387,130
Jul 21 2016 01: +0,0.368,105
Jul 22 2016 01: +0,0.373,128
Jul 23 2016 01: +0,0.376,115
Jul 24 2016 01: +0,0.386,122
Jul 25 2016 01: +0,0.384,146
Jul 26 2016 01: +0,0.381,139
Jul 27 2016 01: +0,0.367,137
Jul 28 2016 01: +0,0.366,134
Jul 29 2016 01: +0,0.38,164
Jul 30 2016 01: +0,0.403,174
Jul 31 2016 01: +0,0.416,173
Aug 01 2016 01: +0,0.405,176
Aug 02 2016 01: +0,0.402,179
Aug 03 2016 01: +0,0.41,151
Aug 04 2016 01: +0,0.386,133
Aug 05 2016 01: +0,0.378,157
Aug 06 2016 01: +0,0.4,159
Aug 07 2016 01: +0,0.362,154
Aug 08 2016 01: +0,0.361,187
Aug 09 2016 01: +0,0.362,176
Aug 10 2016 01: +0,0.367,227
Aug 11 2016 01: +0,0.371,189
Aug 12 2016 01: +0,0.366,175
Aug 13 2016 01: +0,0.375,194
Aug 14 2016 01: +0,0.393,174
Aug 15 2016 01: +0,0.408,148
Aug 16 2016 01: +0,0.415,147
Aug 17 2016 01: +0,0.412,137
Aug 18 2016 01: +0,0.413,146
Aug 19 2016 01: +0,0.398,188
Aug 20 2016 01: +0,0.409,160
Aug 21 2016 01: +0,0.407,171
Aug 22 2016 01: +0,0.428,171
Aug 23 2016 01: +0,0.419,141
Aug 24 2016 01: +0,0.423,154
Aug 25 2016 01: +0,0.423,184
Aug 26 2016 01: +0,0.426,157
Aug 27 2016 01: +0,0.43,177
Aug 28 2016 01: +0,0.442,198
Aug 29 2016 01: +0,0.445,167
Aug 30 2016 01: +0,0.46,141
Aug 31 2016 01: +0,0.451,155
Sep 01 2016 01: +0,0.46,137
Sep 02 2016 01: +0,0.465,123
Sep 03 2016 01: +0,0.457,144
Sep 04 2016 01: +0,0.455,111
Sep 05 2016 01: +0,0.45,117
Sep 06 2016 01: +0,0.458,158
Sep 07 2016 01: +0,0.456,108
Sep 08 2016 01: +0,0.459,124
Sep 09 2016 01: +0,0.448,147
Sep 10 2016 01: +0,0.465,185
Sep 11 2016 01: +0,0.465,140
Sep 12 2016 01: +0,0.447,126
Sep 13 2016 01: +0,0.44,110
Sep 14 2016 01: +0,0.458,119
Sep 15 2016 01: +0,0.456,99
Sep 16 2016 01: +0,0.468,131
Sep 17 2016 01: +0,0.449,191
Sep 18 2016 01: +0,0.459,169
Sep 19 2016 01: +0,0.469,122
Sep 20 2016 01: +0,0.483,139
Sep 21 2016 01: +0,0.476,131
Sep 22 2016 01: +0,0.487,150
Sep 23 2016 01: +0,0.477,141
Sep 24 2016 01: +0,0.49,165
Sep 25 2016 01: +0,0.475,195
Sep 26 2016 01: +0,0.461,181
Sep 27 2016 01: +0,0.485,110
Sep 28 2016 01: +0,0.48,124
Sep 29 2016 01: +0,0.467,147
Sep 30 2016 01: +0,0.468,189
Oct 01 2016 01: +0,0.478,180
Oct 02 2016 01: +0,0.478,154
Oct 03 2016 01: +0,0.493,175
Oct 04 2016 01: +0,0.494,132
Oct 05 2016 01: +0,0.496,111
Oct 06 2016 01: +0,0.495,147
Oct 07 2016 01: +0,0.468,141
Oct 08 2016 01: +0,0.48,164
Oct 09 2016 01: +0,0.483,147
Oct 10 2016 01: +0,0.469,131
Oct 11 2016 01: +0,0.499,98
Oct 12 2016 01: +0,0.476,129
Oct 13 2016 01: +0,0.466,101
Oct 14 2016 01: +0,0.469,129
Oct 15 2016 01: +0,0.5,173
Oct 16 2016 01: +0,0.463,111
Oct 17 2016 01: +0,0.465,129
Oct 18 2016 01: +0,0.496,98
Oct 19 2016 01: +0,0.489,97
Oct 20 2016 01: +0,0.491,101
Oct 21 2016 01: +0,0.478,134
Oct 22 2016 01: +0,0.493,91
Oct 23 2016 01: +0,0.505,123
Oct 24 2016 01: +0,0.503,92
Oct 25 2016 01: +0,0.469,114
Oct 26 2016 01: +0,0.477,119
Oct 27 2016 01: +0,0.48,86
Oct 28 2016 01: +0,0.478,110
Oct 29 2016 01: +0,0.466,136
Oct 30 2016 01: +0,0.463,132
Oct 31 2016 01: +0,0.444,131
Nov 01 2016 01: +0,0.442,108
Nov 02 2016 01: +0,0.444,127
Nov 03 2016 01: +0,0.446,87
Nov 04 2016 01: +0,0.461,150
Nov 05 2016 01: +0,0.461,163
Nov 06 2016 01: +0,0.477,138
Nov 07 2016 01: +0,0.472,110
Nov 08 2016 01: +0,0.473,105
Nov 09 2016 01: +0,0.488,91
Nov 10 2016 01: +0,0.503,90
Nov 11 2016 01: +0,0.49,80
Nov 12 2016 01: +0,0.52,109
Nov 13 2016 01: +0,0.508,121
Nov 14 2016 01: +0,0.498,81
Nov 15 2016 01: +0,0.495,81
Nov 16 2016 01: +0,0.48,84
Nov 17 2016 01: +0,0.487,71
Nov 18 2016 01: +0,0.49,105
Nov 19 2016 01: +0,0.512,125
Nov 20 2016 01: +0,0.506,93
Nov 21 2016 01: +0,0.496,74
Nov 22 2016 01: +0,0.504,65
Nov 23 2016 01: +0,0.472,78
Nov 24 2016 01: +0,0.423,120
Nov 25 2016 01: +0,0.451,107
Nov 26 2016 01: +0,0.438,95
Nov 27 2016 01: +0,0.423,128
Nov 28 2016 01: +0,0.42,116
Nov 29 2016 01: +0,0.437,85
Nov 30 2016 01: +0,0.454,108
Dec 01 2016 01: +0,0.462,96
Dec 02 2016 01: +0,0.477,103
Dec 03 2016 01: +0,0.484,148
Dec 04 2016 01: +0,0.516,111
Dec 05 2016 01: +0,0.519,92
Dec 06 2016 01: +0,0.528,108
Dec 07 2016 01: +0,0.534,100
Dec 08 2016 01: +0,0.491,104
Dec 09 2016 01: +0,0.525,87
Dec 10 2016 01: +0,0.546,104
Dec 11 2016 01: +0,0.548,101
Dec 12 2016 01: +0,0.532,85
Dec 13 2016 01: +0,0.54,72
Dec 14 2016 01: +0,0.511,85
Dec 15 2016 01: +0,0.509,55
Dec 16 2016 01: +0,0.478,103
Dec 17 2016 01: +0,0.465,144
Dec 18 2016 01: +0,0.458,106
Dec 19 2016 01: +0,0.458,111
Dec 20 2016 01: +0,0.468,79
Dec 21 2016 01: +0,0.474,92
Dec 22 2016 01: +0,0.489,133
Dec 23 2016 01: +0,0.454,67
Dec 24 2016 01: +0,0.463,97
Dec 25 2016 01: +0,0.488,152
Dec 26 2016 01: +0,0.482,125
Dec 27 2016 01: +0,0.474,146
Dec 28 2016 01: +0,0.466,113
Dec 29 2016 01: +0,0.485,155
Dec 30 2016 01: +0,0.467,141
Dec 31 2016 01: +0,0.462,125
Jan 01 2017 01: +0,0.456,143
Jan 02 2017 01: +0,0.444,146
Jan 03 2017 01: +0,0.482,116
Jan 04 2017 01: +0,0.478,97
Jan 05 2017 01: +0,0.48,108
Jan 06 2017 01: +0,0.481,136
Jan 07 2017 01: +0,0.485,148
Jan 08 2017 01: +0,0.469,162
Jan 09 2017 01: +0,0.474,143
Jan 10 2017 01: +0,0.478,128
Jan 11 2017 01: +0,0.485,114
Jan 12 2017 01: +0,0.475,136
Jan 13 2017 01: +0,0.482,154
Jan 14 2017 01: +0,0.469,177
Jan 15 2017 01: +0,0.482,120
Jan 16 2017 01: +0,0.476,133
Jan 17 2017 01: +0,0.477,117
Jan 18 2017 01: +0,0.49,127
Jan 19 2017 01: +0,0.485,100
Jan 20 2017 01: +0,0.475,142
Jan 21 2017 01: +0,0.479,160
Jan 22 2017 01: +0,0.453,175
Jan 23 2017 01: +0,0.477,149
Jan 24 2017 01: +0,0.484,195
Jan 25 2017 01: +0,0.484,198
Jan 26 2017 01: +0,0.488,209
Jan 27 2017 01: +0,0.495,151
Jan 28 2017 01: +0,0.519,320
Jan 29 2017 01: +0,0.514,199
Jan 30 2017 01: +0,0.457,101
Jan 31 2017 01: +0,0.475,72
Feb 01 2017 01: +0,0.496,86
Feb 02 2017 01: +0,0.546,66
Feb 03 2017 01: +0,0.553,59
Feb 04 2017 01: +0,0.545,62
Feb 05 2017 01: +0,0.541,56
Feb 06 2017 01: +0,0.523,58
Feb 07 2017 01: +0,0.502,48
Feb 08 2017 01: +0,0.495,39
Feb 09 2017 01: +0,0.512,47
Feb 10 2017 01: +0,0.505,69
Feb 11 2017 01: +0,0.525,83
Feb 12 2017 01: +0,0.497,55
Feb 13 2017 01: +0,0.513,71
Feb 14 2017 01: +0,0.523,50
Feb 15 2017 01: +0,0.494,39
Feb 16 2017 01: +0,0.471,48
Feb 17 2017 01: +0,0.474,69
Feb 18 2017 01: +0,0.477,86
Feb 19 2017 01: +0,0.475,68
Feb 20 2017 01: +0,0.475,74
Feb 21 2017 01: +0,0.475,75
Feb 22 2017 01: +0,0.48,68
Feb 23 2017 01: +0,0.501,42
Feb 24 2017 01: +0,0.513,64
Feb 25 2017 01: +0,0.495,74
Feb 26 2017 01: +0,0.511,78
Feb 27 2017 01: +0,0.507,67
Feb 28 2017 01: +0,0.513,45
Mar 01 2017 01: +0,0.509,65
Mar 02 2017 01: +0,0.479,59
Mar 03 2017 01: +0,0.48,76
Mar 04 2017 01: +0,0.497,105
Mar 05 2017 01: +0,0.499,80
Mar 06 2017 01: +0,0.507,46
Mar 07 2017 01: +0,0.497,72
Mar 08 2017 01: +0,0.469,68
Mar 09 2017 01: +0,0.466,75
Mar 10 2017 01: +0,0.473,81
Mar 11 2017 01: +0,0.489,120
Mar 12 2017 01: +0,0.482,58
Mar 13 2017 01: +0,0.485,62
Mar 14 2017 01: +0,0.457,59
Mar 15 2017 01: +0,0.48,66
Mar 16 2017 01: +0,0.501,61
Mar 17 2017 01: +0,0.505,85
Mar 18 2017 01: +0,0.496,100
Mar 19 2017 01: +0,0.489,95
Mar 20 2017 01: +0,0.49,78
Mar 21 2017 01: +0,0.509,74
Mar 22 2017 01: +0,0.493,57
Mar 23 2017 01: +0,0.512,58
Mar 24 2017 01: +0,0.497,95
Mar 25 2017 01: +0,0.507,89
Mar 26 2017 01: +0,0.524,69
Mar 27 2017 01: +0,0.509,50
Mar 28 2017 01: +0,0.512,81
Mar 29 2017 01: +0,0.525,45
Mar 30 2017 01: +0,0.513,95
Mar 31 2017 01: +0,0.54,78
Apr 01 2017 01: +0,0.543,79
Apr 02 2017 01: +0,0.538,61
Apr 03 2017 01: +0,0.529,56
Apr 04 2017 01: +0,0.535,59
Apr 05 2017 01: +0,0.545,46
Apr 06 2017 01: +0,0.526,65
Apr 07 2017 01: +0,0.533,55
Apr 08 2017 01: +0,0.519,69
Apr 09 2017 01: +0,0.516,78
Apr 10 2017 01: +0,0.525,46
Apr 11 2017 01: +0,0.512,46
Apr 12 2017 01: +0,0.512,68
Apr 13 2017 01: +0,0.512,71
Apr 14 2017 01: +0,0.537,95
Apr 15 2017 01: +0,0.555,62
Apr 16 2017 01: +0,0.558,62
Apr 17 2017 01: +0,0.556,84
Apr 18 2017 01: +0,0.576,76
Apr 19 2017 01: +0,0.586,50
Apr 20 2017 01: +0,0.584,44
Apr 21 2017 01: +0,0.601,67
Apr 22 2017 01: +0,0.635,62
Apr 23 2017 01: +0,0.629,44
Apr 24 2017 01: +0,0.599,38
Apr 25 2017 01: +0,0.616,44
Apr 26 2017 01: +0,0.596,19
Apr 27 2017 01: +0,0.576,50
Apr 28 2017 01: +0,0.584,46
Apr 29 2017 01: +0,0.587,77
Apr 30 2017 01: +0,0.602,37
May 01 2017 01: +0,0.588,42
May 02 2017 01: +0,0.567,41
May 03 2017 01: +0,0.554,31
May 04 2017 01: +0,0.515,65
May 05 2017 01: +0,0.498,78
May 06 2017 01: +0,0.523,53
May 07 2017 01: +0,0.515,87
May 08 2017 01: +0,0.497,61
May 09 2017 01: +0,0.515,48
May 10 2017 01: +0,0.547,40
May 11 2017 01: +0,0.547,37
May 12 2017 01: +0,0.538,43
May 13 2017 01: +0,0.559,56
May 14 2017 01: +0,0.559,45
May 15 2017 01: +0,0.546,41
May 16 2017 01: +0,0.551,43
May 17 2017 01: +0,0.566,59
May 18 2017 01: +0,0.574,27
May 19 2017 01: +0,0.564,34
May 20 2017 01: +0,0.577,50
May 21 2017 01: +0,0.542,34
May 22 2017 01: +0,0.512,45
May 23 2017 01: +0,0.549,45
May 24 2017 01: +0,0.454,121
May 25 2017 01: +0,0.461,68
May 26 2017 01: +0,0.538,46
May 27 2017 01: +0,0.524,48
May 28 2017 01: +0,0.526,65
May 29 2017 01: +0,0.511,42
May 30 2017 01: +0,0.513,46
May 31 2017 01: +0,0.502,63
Jun 01 2017 01: +0,0.534,59
Jun 02 2017 01: +0,0.541,87
Jun 03 2017 01: +0,0.558,48
Jun 04 2017 01: +0,0.522,69
Jun 05 2017 01: +0,0.546,41
Jun 06 2017 01: +0,0.511,37
Jun 07 2017 01: +0,0.528,57
Jun 08 2017 01: +0,0.551,45
Jun 09 2017 01: +0,0.554,47
Jun 10 2017 01: +0,0.577,56
Jun 11 2017 01: +0,0.552,28
Jun 12 2017 01: +0,0.546,40
Jun 13 2017 01: +0,0.557,33
Jun 14 2017 01: +0,0.538,29
Jun 15 2017 01: +0,0.56,31
Jun 16 2017 01: +0,0.573,35
Jun 17 2017 01: +0,0.575,44
Jun 18 2017 01: +0,0.575,32
