Mar 18 2016 01: +0,1.15,270
Mar 19 2016 01: +0,1.126,156
Mar 20 2016 01: +0,1.11,115
Mar 21 2016 01: +0,1.105,81
Mar 22 2016 01: +0,1.105,75
Mar 23 2016 01: +0,1.116,65
Mar 24 2016 01: +0,1.091,81
Mar 25 2016 01: +0,1.066,57
Mar 26 2016 01: +0,1.074,77
Mar 27 2016 01: +0,1.081,72
Mar 28 2016 01: +0,1.06,74
Mar 29 2016 01: +0,1.128,204
Mar 30 2016 01: +0,1.124,375
Mar 31 2016 01: +0,0.794,1538
Apr 01 2016 01: +0,0.317,4603
Apr 02 2016 01: +0,0.309,2940
Apr 03 2016 01: +0,0.295,14252
Apr 04 2016 01: +0,0.332,4752
Apr 05 2016 01: +0,0.369,1666
Apr 06 2016 01: +0,0.375,998
Apr 07 2016 01: +0,0.348,1017
Apr 08 2016 01: +0,0.339,1153
Apr 09 2016 01: +0,0.352,1019
Apr 10 2016 01: +0,0.344,987
Apr 11 2016 01: +0,0.332,905
Apr 12 2016 01: +0,0.325,822
Apr 13 2016 01: +0,0.312,857
Apr 14 2016 01: +0,0.33,800
Apr 15 2016 01: +0,0.333,702
Apr 16 2016 01: +0,0.355,768
Apr 17 2016 01: +0,0.356,691
Apr 18 2016 01: +0,0.341,624
Apr 19 2016 01: +0,0.347,552
Apr 20 2016 01: +0,0.353,569
Apr 21 2016 01: +0,0.366,460
Apr 22 2016 01: +0,0.356,546
Apr 23 2016 01: +0,0.372,549
Apr 24 2016 01: +0,0.359,584
Apr 25 2016 01: +0,0.366,509
Apr 26 2016 01: +0,0.421,685
Apr 27 2016 01: +0,0.369,499
Apr 28 2016 01: +0,0.376,507
Apr 29 2016 01: +0,0.374,593
Apr 30 2016 01: +0,0.393,520
May 01 2016 01: +0,0.402,556
May 02 2016 01: +0,0.405,473
May 03 2016 01: +0,0.398,515
May 04 2016 01: +0,0.396,606
May 05 2016 01: +0,0.417,415
May 06 2016 01: +0,0.411,602
May 07 2016 01: +0,0.418,376
May 08 2016 01: +0,0.416,350
