tournament,team,placing,country,value
Atlanta 2017,Astralis,1,,
Atlanta 2017,Virtus.Pro,2,,
Atlanta 2017,Fnatic,4,,
Atlanta 2017,SK Gaming,4,,
Atlanta 2017,Natus Vincere,8,,
Atlanta 2017,Gambit,8,,
Atlanta 2017,North,8,,
Atlanta 2017,FaZe Clan,8,,
Atlanta 2017,Team EnVyUs,11,,
Atlanta 2017,GODSENT,11,,
Atlanta 2017,Team Liquid,11,,
Atlanta 2017,OpTic Gaming,14,,
Atlanta 2017,G2 Esports,14,,
Atlanta 2017,mousesports,14,,
Atlanta 2017,Flipsid3 Tactics,16,,
Atlanta 2017,HellRaisers,16,,
Boston 2018,Cloud9,1,,
Boston 2018,FaZe Clan,2,,
Boston 2018,Natus Vincere,4,,
Boston 2018,SK Gaming,4,,
Boston 2018,mousesports,8,,
Boston 2018,Quantum Bellator Fire,8,,
Boston 2018,G2 Esports,8,,
Boston 2018,Fnatic,8,,
Boston 2018,Space Soldiers,9,,
Boston 2018,Gambit,9,,
Boston 2018,Vega Squadron,9,,
Boston 2018,Team Liquid,12,,
Boston 2018,Astralis,12,,
Boston 2018,BIG,12,,
Boston 2018,North,15,,
Boston 2018,Virtus.pro,15,,
Cluj-Napoca 2015,Team EnVyUs,1,,
Cluj-Napoca 2015,Natus Vincere,2,,
Cluj-Napoca 2015,G2 Esports,4,,
Cluj-Napoca 2015,Ninjas in Pyjamas,4,,
Cluj-Napoca 2015,Fnatic,8,,
Cluj-Napoca 2015,Virtus.pro,8,,
Cluj-Napoca 2015,Team SoloMid,8,,
Cluj-Napoca 2015,Luminosity Gaming,8,,
Cluj-Napoca 2015,Cloud9,12,,
Cluj-Napoca 2015,mousesports,12,,
Cluj-Napoca 2015,Titan,12,,
Cluj-Napoca 2015,Counter Logic Gaming,12,,
Cluj-Napoca 2015,Vexed Gaming,16,,
Cluj-Napoca 2015,FlipSid3 Tactics,16,,
Cluj-Napoca 2015,Team Liquid,16,,
Cluj-Napoca 2015,Team Dignitas,16,,
Cologne 2014,Ninjas in Pyjamas,1,,
Cologne 2014,Fnatic,2,,
Cologne 2014,Team Dignitas,4,,
Cologne 2014,Team LDLC.com,4,,
Cologne 2014,Natus Vincere,8,,
Cologne 2014,Epsilon eSports,8,,
Cologne 2014,Virtus.pro,8,,
Cologne 2014,Cloud9,8,,
Cologne 2014,HellRaisers,12,,
Cologne 2014,Copenhagen Wolves,12,,
Cologne 2014,Team iBUYPOWER,12,,
Cologne 2014,Titan,12,,
Cologne 2014,MTS GameGod Wolf,16,,
Cologne 2014,London Conspiracy,16,,
Cologne 2014,dAT Team,16,,
Cologne 2014,Vox Eminor,16,,
Cologne 2015,Fnatic,1,,
Cologne 2015,Team EnVyUs,2,,
Cologne 2015,Team SoloMid,4,,
Cologne 2015,Virtus.pro,4,,
Cologne 2015,Natus Vincere,8,,
Cologne 2015,Team Kinguin,8,,
Cologne 2015,Ninjas in Pyjamas,8,,
Cologne 2015,Luminosity Gaming,8,,
Cologne 2015,Counter Logic Gaming,12,,
Cologne 2015,Cloud9,12,,
Cologne 2015,Renegades,12,,
Cologne 2015,FlipSid3 Tactics,12,,
Cologne 2015,Team eBettle,16,,
Cologne 2015,Team Immunity,16,,
Cologne 2015,Titan,16,,
Cologne 2015,mousesports,16,,
Cologne 2016,SK Gaming,1,,
Cologne 2016,Team Liquid,2,,
Cologne 2016,Virtus.pro,4,,
Cologne 2016,Fnatic,4,,
Cologne 2016,Astralis,8,,
Cologne 2016,FlipSid3 Tactics,8,,
Cologne 2016,Natus Vincere,8,,
Cologne 2016,Gambit,8,,
Cologne 2016,Team Dignitas,12,,
Cologne 2016,Ninjas in Pyjamas,12,,
Cologne 2016,mousesports,12,,
Cologne 2016,FaZe Clan,12,,
Cologne 2016,Counter Logic Gaming,16,,
Cologne 2016,OpTic Gaming,16,,
Cologne 2016,Team EnVyUs,16,,
Cologne 2016,G2 Esports,16,,
Katowice 2015,Fnatic,1,,
Katowice 2015,Ninjas in Pyjamas,2,,
Katowice 2015,Virtus.pro,4,,
Katowice 2015,Team EnVyUs,4,,
Katowice 2015,PENTA Sports,8,,
Katowice 2015,Keyd Stars,8,,
Katowice 2015,Natus Vincere,8,,
Katowice 2015,Team SoloMid,8,,
Katowice 2015,Vox Eminor,12,,
Katowice 2015,LGB eSports,12,,
Katowice 2015,Counter Logic Gaming,12,,
Katowice 2015,Cloud9,12,,
Katowice 2015,FlipSid3 Tactics,16,,
Katowice 2015,Titan,16,,
Katowice 2015,HellRaisers,16,,
Katowice 2015,3DMAX,16,,
Krakow 2017,Gambit,1,,
Krakow 2017,Immortals,2,,
